,Language,Binarytrees,Fannkuchredux,Fasta,Mandelbrot,Nbody,Revcomp,Spectralnorm
0,java-,"(148.54345935360408, 149.9668944252424, 12.504845932335614, 110.81643663194444, 182.4403203164881)","(483.58461288374588, 257.35895551234091, 78.748116229487948, 174.1965333333334, 1179.659116319448)","(105.46762769959108, 89.986965266559054, 20.77460537502504, 79.43471039396475, 137.2919493613138)","(233.0757626685218, 123.47024574745762, 88.536579327266253, 109.15979166666668, 659.9295294793269)","(147.15372660766246, 146.1134331244595, 6.1977932002914304, 131.473997829861, 169.12571392827334)","(46.838467867010294, 37.344451743241507, 37.374398131572228, 33.50259423076927, 83.6785315860214)","(132.446980102396, 126.37897570093452, 11.446825765866791, 110.00806058772699, 157.55117631806377)"
1,javascript-,"(736.58281436761115, 737.67344421315522, 2.2885850945318666, 709.8873112927197, 770.0560482388969)","(2885.5379311567558, 1014.3424679572743, 93.930716275198094, 815.8330281782448, 6941.408871567043)","(1542.9903667760066, 1543.6120892494891, 2.351693056386793, 1447.777715384618, 1685.7079121565305)","('NaN', 'NaN')","(187.05300740235765, 175.35061948522065, 16.087985769747135, 150.0987293577983, 261.4834604496249)","(132.00936499577401, 130.86600235116822, 40.751223144593155, 73.49033333333338, 195.4877829153604)","(128.43628904766095, 115.4562168530352, 20.550953056169448, 90.41833544726292, 185.27138888888874)"
2,python3-,"(4364.1195812522301, 2963.7249016227174, 34.281774878914597, 2832.900903669723, 6062.802331987084)","(38687.664813890951, 43121.668362923097, 32.087514401138776, 17799.925526041578, 51819.781423897184)","(3241.5773170432212, 3498.7999225219155, 15.710140687230478, 2437.8680091883552, 3800.140444104176)","(18421.579571482896, 18430.695958611817, 0.88963091381662662, 18074.1702193212, 18908.99510624076)","(18320.066459327565, 18293.939592652248, 2.2814777799022723, 17320.359564834605, 19035.48786979136)","(81.861032280020467, 73.010291597106288, 20.215456419066378, 59.868236747155095, 103.90882929456112)","(14162.562041461671, 12741.356016079641, 12.091766293501314, 12316.478087289506, 16455.698624373967)"
3,php-,"(18323.405044072308, 14390.413938909918, 32.375556303622659, 13360.140873626196, 27544.86334856611)","(32438.138980067859, 36665.760479288117, 39.383155192307733, 15582.492834454955, 48115.00371712397)","(3063.1871237715463, 2088.4485000000009, 69.691344295455977, 961.2242285714294, 6213.0932205206445)","(11225.095502350132, 10960.767182893615, 42.970407105297291, 6327.701818496082, 16392.12366889014)","(10574.944528953041, 10453.941822580598, 3.2560328008196802, 10100.3983351649, 11322.018123175341)","(20.663157223952545, 13.646224627398462, 49.344933965424694, 10.599180013458954, 37.321563894716746)","(4938.3991890072903, 6481.3501414270795, 38.072032728824738, 2951.41237775061, 6979.980293103691)"
4,cs-,"(1356.2759958067177, 1139.4054009154552, 48.171729688662104, 667.7077703296701, 2526.842000000001)","(1267.7219418106624, 1299.1708320926382, 12.714774186328526, 996.6110029337808, 1544.9929816513845)","(151.03171523494763, 151.96849207387913, 10.17019597533805, 123.3948377020531, 180.91966263440858)","(533.77354266430893, 254.47585923330809, 118.00761621418441, 215.78849972175863, 2053.6250310173755)","(305.81388131305664, 276.28855478260863, 27.871855853673416, 237.1066063094201, 542.1615969044419)","(39.450807910349404, 30.717943677732201, 56.642170789538895, 21.877120290936247, 93.85854897050643)","(131.28327204961536, 42.394256548789087, 80.83886043346331, 12.077380831643016, 252.5744624373956)"
5,yarv-,"(2925.8949220353838, 2969.7839065108465, 6.6001455894761225, 2569.0531998514057, 3203.4573821339964)","(48906.895008544809, 48754.264273140798, 3.6957490991458215, 45727.53957362957, 51749.45125455751)","(2606.4353271463874, 2683.1081666666701, 22.294527607678326, 1788.0841736566226, 3658.9378644703465)","(21452.342698808741, 15926.008634290405, 43.088160046429962, 13247.584654278253, 38127.37112520808)","(8563.0238811897871, 8561.6018436723225, 1.3989094055718152, 8301.167764165486, 8781.584162591693)","(100.57126784414149, 75.045667702218765, 33.489741605066371, 60.61845045795164, 142.4442412353923)","(5078.8060045341135, 4934.4742177419594, 14.140117752704404, 4158.702225274714, 6153.304896997339)"
6,c-flags-,"(422.008955883608, 473.06944347826078, 15.604809080328108, 335.621770529197, 504.9449615384617)","(563.34946985166732, 602.0547124712408, 50.80121625926094, 203.7149352078237, 1027.6141572008094)","(79.06041907214869, 78.840572710808118, 37.761540569378909, 46.46068653516293, 163.78532116788318)","(211.78507974622346, 166.11275125208678, 89.170846614279114, 35.00861677710558, 548.7188985330058)","(110.8208064809005, 111.81109526421849, 8.5603396081860961, 90.5488935726211, 133.04702182235837)","(18.645292886555669, 16.780021217016699, 23.935204040167065, 13.602252248126545, 28.375947394540947)","(47.718604305213134, 25.864253992854966, 76.560719109814357, 20.171431927643365, 116.64716666666666)"
7,c-noflags-,"(483.74250446581732, 487.25244624660871, 17.600842633123698, 369.8379155450872, 608.4700733944971)","(1078.620306598483, 741.99089216430457, 64.600097739981337, 273.162873626374, 2229.0441632859993)","(154.58238662532224, 170.71535109890112, 26.528259846543861, 60.50548306451614, 188.33935669975207)","(488.2256657746052, 315.19293394781198, 87.372996629328441, 96.66087098009184, 1241.2449103942654)","(378.17353112782371, 347.41405245022975, 36.340383019894546, 222.43826923076915, 683.7701271856746)","(31.338247080698785, 32.648334674987154, 32.84088171804018, 16.23401258411844, 45.87189332220368)","(99.801406202162127, 80.077448521053057, 50.237910434019227, 51.928602754591026, 188.61588503649625)"
8,c++-flags-,"(78.74267400052068, 79.839479704885804, 4.4044121560461313, 70.91195726210346, 84.87982870182552)","(417.70608901324067, 307.96818347990882, 41.28917172744967, 195.3596068459657, 636.5473795620436)","(74.832460188371314, 65.248042212701591, 21.516716154472675, 51.52266066323614, 108.65605555555555)","(307.14273342915948, 265.60689660743117, 99.500548077022273, 23.770648194099824, 963.8272413793086)","(110.22379621912701, 112.68127115308673, 12.954365309018298, 86.33128520536471, 137.05652530017156)","(89.900684302749255, 31.941869699499172, 134.24398005462186, 14.911305832241153, 348.67169547657534)","(53.510520196056802, 51.021620022970893, 65.669490623315212, 20.27974187418085, 119.15159658246658)"
9,c++-noflags-,"(877.35508939058195, 878.19794063179097, 2.2456383244981653, 833.6539318681296, 921.790833333334)","(2052.7702378649001, 1893.3970632178123, 38.388385963964971, 1077.7214377457403, 3356.7607526881734)","(544.04947466409499, 436.82119949916535, 56.001048623925861, 137.59048848439826, 959.1424249492853)","(2029.3483854924634, 1202.1834965382809, 96.206347737710388, 809.6673021978032, 6635.124900750478)","(769.40347268948346, 862.1044442581732, 42.713582975503307, 301.8167610198785, 1250.596484787016)","(226.40382922787492, 49.406682234185794, 115.00394402493069, 17.891398353751914, 753.8949397810215)","(123.66246354477168, 30.746655862533331, 116.06712331651995, 28.569705191693288, 381.7321450874269)"
