,Program1,Program2,d,p
0,java-3.problem0,java-6.problem0,0.16000000000000003,0.8774132527980119
1,javascript-1.problem2,javascript-2.problem2,0.2676923076923077,0.2742685990054726
2,javascript-1.problem2,javascript-3.problem2,0.15384615384615385,0.8921769959310172
3,javascript-2.problem2,javascript-3.problem2,0.3076923076923077,0.14533569673272465
4,javascript-1.problem6,javascript-3.problem6,0.14245014245014243,0.9326581685489518
5,javascript-1.problem6,javascript-5.problem6,0.23076923076923073,0.4401871083558308
6,javascript-3.problem6,javascript-5.problem6,0.24216524216524216,0.36873766623246157
7,python3-2.problem3,python3-5.problem3,0.28,0.22782452274162304
8,cs-1.problem2,cs-3.problem2,0.3076923076923077,0.13827398942138064
9,cs-4.problem3,cs-6.problem3,0.35327635327635326,0.05548864890115426
10,cs-3.problem4,cs-5.problem4,0.15384615384615385,0.8921769959310172
11,cs-4.problem4,cs-6.problem4,0.1923076923076923,0.6738309195262773
12,c-flags-2.problem2,c-flags-5.problem2,0.31259259259259253,0.1274121054326764
13,c-noflags-1.problem2,c-noflags-2.problem2,0.19999999999999996,0.6369918317351432
14,c-noflags-4.problem2,c-noflags-5.problem2,0.2630769230769231,0.29334527650056524
15,c-flags-2.problem4,c-flags-3.problem4,0.30615384615384617,0.1491815523211684
16,c-noflags-1.problem4,c-noflags-6.problem4,0.19230769230769232,0.673830919526277
17,c-flags-1.problem5,c-flags-3.problem5,0.34307692307692306,0.07684314044211171
18,c-flags-1.problem5,c-flags-6.problem5,0.30666666666666664,0.16297167908084842
19,c-flags-3.problem5,c-flags-6.problem5,0.21794871794871795,0.5394497867545631
20,c-noflags-4.problem5,c-noflags-5.problem5,0.3176638176638176,0.11020333992927604
21,c++-flags-1.problem0,c++-flags-8.problem0,0.17948717948717946,0.743909310053971
22,c++-noflags-1.problem0,c++-noflags-3.problem0,0.23076923076923084,0.44018710835583014
23,c++-noflags-1.problem0,c++-noflags-8.problem0,0.23076923076923084,0.44018710835583014
24,c++-noflags-3.problem0,c++-noflags-8.problem0,0.11538461538461542,0.9918780643253124
25,c++-flags-1.problem2,c++-flags-2.problem2,0.22756410256410256,0.48324752440569496
26,c++-flags-3.problem4,c++-flags-8.problem4,0.23076923076923078,0.46514091944122404
27,c++-flags-4.problem4,c++-flags-6.problem4,0.29666666666666663,0.19134164493259123
28,c++-noflags-5.problem6,c++-noflags-6.problem6,0.19230769230769235,0.6738309195262769
