,Language,Problem,ID,Runtimes
0,Java,Binarytrees,2,2
1,Java,Binarytrees,3,2
2,Java,Binarytrees,4,3
3,Java,Binarytrees,6,2
4,Java,Binarytrees,7,5
5,Java,Fannkuchredux,1,4
6,Java,Fannkuchredux,2,1
7,Java,Fannkuchredux,3,5
8,Java,Fasta,2,2
9,Java,Fasta,4,2
10,Java,Mandelbrot,1,8
11,Java,Mandelbrot,2,8
12,Java,Mandelbrot,3,8
13,Java,Mandelbrot,4,8
14,Java,Mandelbrot,6,8
15,Java,Nbody,1,2
16,Java,Nbody,2,2
17,Java,Nbody,3,2
18,Java,Nbody,4,2
19,Java,Nbody,5,2
20,Java,Revcomp,3,8
21,Java,Revcomp,4,8
22,Java,Revcomp,5,8
23,Java,Revcomp,6,8
24,Java,Revcomp,8,8
25,Java,Spectralnorm,1,1
26,Java,Spectralnorm,2,5
27,JavaScript,Binarytrees,1,1
28,JavaScript,Fannkuchredux,1,1
29,JavaScript,Fannkuchredux,3,1
30,JavaScript,Fannkuchredux,4,1
31,JavaScript,Fasta,1,1
32,JavaScript,Fasta,2,1
33,JavaScript,Fasta,3,1
34,JavaScript,Fasta,4,1
35,JavaScript,Nbody,1,1
36,JavaScript,Nbody,2,1
37,JavaScript,Nbody,4,1
38,JavaScript,Nbody,5,1
39,JavaScript,Revcomp,2,2
40,JavaScript,Revcomp,7,3
41,JavaScript,Spectralnorm,1,2
42,JavaScript,Spectralnorm,2,2
43,JavaScript,Spectralnorm,3,2
44,JavaScript,Spectralnorm,5,2
45,Python3,Binarytrees,1,1
46,Python3,Binarytrees,2,1
47,Python3,Fannkuchredux,1,1
48,Python3,Fannkuchredux,2,1
49,Python3,Fannkuchredux,4,1
50,Python3,Fannkuchredux,6,1
51,Python3,Fasta,1,1
52,Python3,Fasta,2,1
53,Python3,Fasta,3,1
54,Python3,Mandelbrot,2,1
55,Python3,Mandelbrot,5,1
56,Python3,Nbody,1,1
57,Python3,Nbody,2,1
58,Python3,Revcomp,4,3
59,Python3,Revcomp,6,3
60,Python3,Spectralnorm,5,1
61,Python3,Spectralnorm,6,1
62,PHP,Binarytrees,1,1
63,PHP,Binarytrees,2,1
64,PHP,Binarytrees,3,1
65,PHP,Fannkuchredux,1,1
66,PHP,Fannkuchredux,2,1
67,PHP,Fannkuchredux,3,1
68,PHP,Fasta,2,1
69,PHP,Fasta,3,1
70,PHP,Fasta,4,1
71,PHP,Mandelbrot,1,1
72,PHP,Mandelbrot,3,1
73,PHP,Nbody,3,1
74,PHP,Revcomp,1,14
75,PHP,Revcomp,2,14
76,PHP,Revcomp,3,7
77,PHP,Spectralnorm,2,1
78,PHP,Spectralnorm,3,1
79,C#,Binarytrees,1,1
80,C#,Binarytrees,2,1
81,C#,Binarytrees,3,1
82,C#,Binarytrees,4,1
83,C#,Fannkuchredux,1,1
84,C#,Fannkuchredux,2,1
85,C#,Fannkuchredux,3,1
86,C#,Fannkuchredux,4,1
87,C#,Fannkuchredux,5,1
88,C#,Fannkuchredux,6,1
89,C#,Fasta,1,3
90,C#,Fasta,2,2
91,C#,Fasta,3,3
92,C#,Fasta,4,3
93,C#,Mandelbrot,1,3
94,C#,Mandelbrot,2,2
95,C#,Mandelbrot,3,4
96,C#,Mandelbrot,4,3
97,C#,Mandelbrot,5,4
98,C#,Mandelbrot,6,3
99,C#,Nbody,1,1
100,C#,Nbody,2,1
101,C#,Nbody,3,1
102,C#,Nbody,4,1
103,C#,Nbody,5,1
104,C#,Nbody,6,1
105,C#,Nbody,8,1
106,C#,Revcomp,1,7
107,C#,Revcomp,2,7
108,C#,Revcomp,3,3
109,C#,Revcomp,4,7
110,C#,Revcomp,5,7
111,C#,Revcomp,6,7
112,C#,Spectralnorm,1,1
113,C#,Spectralnorm,3,2
114,Ruby,Binarytrees,1,1
115,Ruby,Binarytrees,2,1
116,Ruby,Binarytrees,3,1
117,Ruby,Binarytrees,4,1
118,Ruby,Fannkuchredux,1,1
119,Ruby,Fannkuchredux,2,1
120,Ruby,Fasta,2,1
121,Ruby,Fasta,3,1
122,Ruby,Fasta,4,1
123,Ruby,Fasta,5,1
124,Ruby,Fasta,6,1
125,Ruby,Mandelbrot,1,1
126,Ruby,Mandelbrot,2,1
127,Ruby,Mandelbrot,3,1
128,Ruby,Mandelbrot,6,1
129,Ruby,Mandelbrot,7,1
130,Ruby,Nbody,2,1
131,Ruby,Revcomp,2,2
132,Ruby,Revcomp,3,4
133,Ruby,Spectralnorm,1,1
134,Ruby,Spectralnorm,4,1
135,Ruby,Spectralnorm,5,1
