Power(W), TimePDU(S), TimeNODE(mS)
161, 1558589724, 1558589723568
161, 1558589724, 1558589723682
161, 1558589724, 1558589723799
161, 1558589724, 1558589723913
161, 1558589724, 1558589724028
161, 1558589724, 1558589724148
161, 1558589724, 1558589724268
190, 1558589724, 1558589724387
190, 1558589725, 1558589724507
190, 1558589725, 1558589724620
190, 1558589725, 1558589724734
190, 1558589725, 1558589724846
190, 1558589725, 1558589724958
190, 1558589725, 1558589725071
190, 1558589725, 1558589725185
190, 1558589725, 1558589725296
190, 1558589725, 1558589725404
229, 1558589725, 1558589725517
229, 1558589726, 1558589725631
229, 1558589726, 1558589725744
229, 1558589726, 1558589725857
229, 1558589726, 1558589725970
229, 1558589726, 1558589726081
229, 1558589726, 1558589726192
229, 1558589726, 1558589726301
229, 1558589726, 1558589726415
229, 1558589726, 1558589726529
229, 1558589726, 1558589726640
238, 1558589726, 1558589726753
238, 1558589727, 1558589726864
238, 1558589727, 1558589726975
238, 1558589727, 1558589727088
238, 1558589727, 1558589727201
238, 1558589727, 1558589727311
238, 1558589727, 1558589727423
238, 1558589728, 1558589727540
238, 1558589728, 1558589727648
238, 1558589728, 1558589727757
238, 1558589728, 1558589727868
238, 1558589728, 1558589727979
238, 1558589728, 1558589728093
238, 1558589728, 1558589728208
238, 1558589728, 1558589728323
238, 1558589728, 1558589728434
238, 1558589728, 1558589728550
238, 1558589728, 1558589728663
209, 1558589729, 1558589728777
209, 1558589729, 1558589728890
209, 1558589729, 1558589729002
209, 1558589729, 1558589729116
209, 1558589729, 1558589729228
209, 1558589729, 1558589729340
182, 1558589729, 1558589729451
182, 1558589730, 1558589729575
182, 1558589730, 1558589729693
182, 1558589730, 1558589729810
182, 1558589730, 1558589729929
182, 1558589730, 1558589730045
182, 1558589730, 1558589730163
182, 1558589730, 1558589730280
182, 1558589730, 1558589730397
182, 1558589730, 1558589730521
182, 1558589730, 1558589730639
228, 1558589731, 1558589730758
228, 1558589731, 1558589730871
228, 1558589731, 1558589730985
228, 1558589731, 1558589731101
228, 1558589731, 1558589731216
228, 1558589731, 1558589731328
238, 1558589731, 1558589731440
238, 1558589732, 1558589731555
238, 1558589732, 1558589731666
238, 1558589732, 1558589731778
238, 1558589732, 1558589731889
238, 1558589732, 1558589732001
238, 1558589732, 1558589732114
238, 1558589732, 1558589732230
238, 1558589732, 1558589732341
239, 1558589732, 1558589732455
239, 1558589733, 1558589732571
239, 1558589733, 1558589732686
239, 1558589733, 1558589732802
239, 1558589733, 1558589732918
239, 1558589733, 1558589733036
239, 1558589733, 1558589733151
239, 1558589733, 1558589733268
239, 1558589733, 1558589733385
235, 1558589733, 1558589733502
235, 1558589734, 1558589733621
235, 1558589734, 1558589733738
235, 1558589734, 1558589733854
235, 1558589734, 1558589733972
235, 1558589734, 1558589734091
235, 1558589734, 1558589734209
235, 1558589734, 1558589734326
235, 1558589734, 1558589734444
235, 1558589734, 1558589734564
235, 1558589734, 1558589734684
235, 1558589734, 1558589734804
190, 1558589734, 1558589734925
