Power(W), TimePDU(S), TimeNODE(mS)
162, 1558271940, 1558271940751
162, 1558271940, 1558271940830
162, 1558271940, 1558271940908
162, 1558271940, 1558271940985
162, 1558271940, 1558271941063
162, 1558271940, 1558271941142
162, 1558271940, 1558271941221
162, 1558271940, 1558271941297
162, 1558271940, 1558271941375
162, 1558271940, 1558271941454
162, 1558271940, 1558271941533
162, 1558271940, 1558271941612
162, 1558271940, 1558271941691
197, 1558271940, 1558271941773
197, 1558271942, 1558271941851
197, 1558271942, 1558271941931
197, 1558271942, 1558271942011
197, 1558271942, 1558271942087
197, 1558271942, 1558271942166
197, 1558271942, 1558271942243
197, 1558271942, 1558271942323
197, 1558271942, 1558271942400
197, 1558271942, 1558271942478
197, 1558271942, 1558271942557
197, 1558271942, 1558271942635
197, 1558271942, 1558271942713
234, 1558271942, 1558271942794
234, 1558271943, 1558271942873
234, 1558271943, 1558271942951
234, 1558271943, 1558271943028
234, 1558271943, 1558271943107
234, 1558271943, 1558271943184
234, 1558271943, 1558271943263
234, 1558271943, 1558271943342
234, 1558271943, 1558271943420
234, 1558271943, 1558271943499
234, 1558271943, 1558271943576
234, 1558271943, 1558271943654
234, 1558271943, 1558271943731
238, 1558271944, 1558271943811
238, 1558271944, 1558271943888
238, 1558271944, 1558271943964
238, 1558271944, 1558271944042
238, 1558271944, 1558271944119
238, 1558271944, 1558271944198
238, 1558271944, 1558271944277
238, 1558271944, 1558271944355
238, 1558271944, 1558271944433
238, 1558271944, 1558271944511
238, 1558271944, 1558271944589
238, 1558271944, 1558271944666
239, 1558271944, 1558271944743
239, 1558271945, 1558271944823
239, 1558271945, 1558271944900
239, 1558271945, 1558271944978
239, 1558271945, 1558271945056
239, 1558271945, 1558271945133
239, 1558271945, 1558271945213
239, 1558271945, 1558271945289
239, 1558271945, 1558271945367
239, 1558271945, 1558271945445
239, 1558271945, 1558271945523
239, 1558271945, 1558271945602
239, 1558271945, 1558271945679
230, 1558271945, 1558271945756
230, 1558271946, 1558271945836
230, 1558271946, 1558271945914
230, 1558271946, 1558271945992
230, 1558271946, 1558271946072
230, 1558271946, 1558271946151
230, 1558271946, 1558271946228
230, 1558271946, 1558271946306
230, 1558271946, 1558271946383
230, 1558271946, 1558271946461
230, 1558271946, 1558271946540
230, 1558271946, 1558271946618
230, 1558271946, 1558271946695
230, 1558271946, 1558271946774
189, 1558271947, 1558271946854
189, 1558271947, 1558271946930
189, 1558271947, 1558271947008
189, 1558271947, 1558271947084
189, 1558271947, 1558271947163
189, 1558271947, 1558271947241
189, 1558271947, 1558271947319
189, 1558271947, 1558271947396
189, 1558271947, 1558271947475
189, 1558271947, 1558271947552
189, 1558271947, 1558271947632
189, 1558271947, 1558271947711
202, 1558271947, 1558271947789
202, 1558271948, 1558271947869
202, 1558271948, 1558271947945
202, 1558271948, 1558271948023
202, 1558271948, 1558271948102
202, 1558271948, 1558271948180
202, 1558271948, 1558271948258
202, 1558271948, 1558271948335
202, 1558271948, 1558271948414
202, 1558271948, 1558271948493
202, 1558271948, 1558271948572
202, 1558271948, 1558271948652
202, 1558271948, 1558271948730
238, 1558271948, 1558271948809
238, 1558271949, 1558271948887
238, 1558271949, 1558271948964
238, 1558271949, 1558271949043
238, 1558271949, 1558271949123
238, 1558271949, 1558271949201
238, 1558271949, 1558271949278
238, 1558271949, 1558271949356
238, 1558271949, 1558271949432
238, 1558271949, 1558271949510
238, 1558271949, 1558271949589
238, 1558271949, 1558271949666
238, 1558271949, 1558271949743
241, 1558271950, 1558271949830
241, 1558271950, 1558271949907
241, 1558271950, 1558271949985
241, 1558271950, 1558271950062
241, 1558271950, 1558271950142
241, 1558271950, 1558271950218
241, 1558271950, 1558271950296
241, 1558271950, 1558271950373
241, 1558271950, 1558271950451
241, 1558271950, 1558271950529
241, 1558271950, 1558271950607
241, 1558271950, 1558271950684
241, 1558271950, 1558271950761
242, 1558271951, 1558271950855
242, 1558271951, 1558271950933
242, 1558271951, 1558271951011
242, 1558271951, 1558271951089
242, 1558271951, 1558271951166
242, 1558271951, 1558271951243
242, 1558271951, 1558271951364
242, 1558271951, 1558271951487
242, 1558271951, 1558271951608
231, 1558271951, 1558271951727
231, 1558271952, 1558271951881
231, 1558271952, 1558271952003
231, 1558271952, 1558271952125
231, 1558271952, 1558271952246
231, 1558271952, 1558271952367
231, 1558271952, 1558271952486
231, 1558271952, 1558271952607
231, 1558271952, 1558271952727
199, 1558271952, 1558271952846
