Power(W), TimePDU(S), TimeNODE(mS)
160, 1558379163, 1558379163070
160, 1558379163, 1558379163149
160, 1558379163, 1558379163227
160, 1558379163, 1558379163307
160, 1558379163, 1558379163387
160, 1558379163, 1558379163466
180, 1558379163, 1558379163546
180, 1558379164, 1558379163627
180, 1558379164, 1558379163706
180, 1558379164, 1558379163785
180, 1558379164, 1558379163865
180, 1558379164, 1558379163943
180, 1558379164, 1558379164020
180, 1558379164, 1558379164099
180, 1558379164, 1558379164176
180, 1558379164, 1558379164254
180, 1558379164, 1558379164333
180, 1558379164, 1558379164410
180, 1558379164, 1558379164487
180, 1558379164, 1558379164565
190, 1558379165, 1558379164653
190, 1558379165, 1558379164732
190, 1558379165, 1558379164810
190, 1558379165, 1558379164907
190, 1558379165, 1558379165001
190, 1558379165, 1558379165097
190, 1558379165, 1558379165193
190, 1558379165, 1558379165287
190, 1558379165, 1558379165383
190, 1558379165, 1558379165479
190, 1558379165, 1558379165577
190, 1558379165, 1558379165674
190, 1558379165, 1558379165771
190, 1558379165, 1558379165869
190, 1558379166, 1558379165970
190, 1558379166, 1558379166068
190, 1558379166, 1558379166167
190, 1558379166, 1558379166266
190, 1558379166, 1558379166365
190, 1558379166, 1558379166464
190, 1558379166, 1558379166561
185, 1558379166, 1558379166659
185, 1558379167, 1558379166760
185, 1558379167, 1558379166860
185, 1558379167, 1558379166959
185, 1558379167, 1558379167058
185, 1558379167, 1558379167156
185, 1558379167, 1558379167259
185, 1558379167, 1558379167359
185, 1558379167, 1558379167458
185, 1558379167, 1558379167558
185, 1558379167, 1558379167660
185, 1558379167, 1558379167762
185, 1558379167, 1558379167863
185, 1558379167, 1558379167963
185, 1558379167, 1558379168062
188, 1558379167, 1558379168164
188, 1558379168, 1558379168261
188, 1558379168, 1558379168359
188, 1558379168, 1558379168457
188, 1558379168, 1558379168555
188, 1558379168, 1558379168651
188, 1558379169, 1558379168752
188, 1558379169, 1558379168845
188, 1558379169, 1558379168939
188, 1558379169, 1558379169035
188, 1558379169, 1558379169128
188, 1558379169, 1558379169224
188, 1558379169, 1558379169317
188, 1558379169, 1558379169412
188, 1558379169, 1558379169507
188, 1558379169, 1558379169602
188, 1558379169, 1558379169700
188, 1558379169, 1558379169798
188, 1558379169, 1558379169894
190, 1558379169, 1558379169994
190, 1558379170, 1558379170089
190, 1558379170, 1558379170184
190, 1558379170, 1558379170279
190, 1558379170, 1558379170373
190, 1558379170, 1558379170469
190, 1558379170, 1558379170564
195, 1558379171, 1558379170669
195, 1558379171, 1558379170765
195, 1558379171, 1558379170859
195, 1558379171, 1558379170954
195, 1558379171, 1558379171049
195, 1558379171, 1558379171145
195, 1558379171, 1558379171239
195, 1558379171, 1558379171335
195, 1558379171, 1558379171430
195, 1558379171, 1558379171526
195, 1558379171, 1558379171622
201, 1558379172, 1558379171721
201, 1558379172, 1558379171818
201, 1558379172, 1558379171912
201, 1558379172, 1558379172007
201, 1558379172, 1558379172101
201, 1558379172, 1558379172194
201, 1558379172, 1558379172289
201, 1558379172, 1558379172386
201, 1558379172, 1558379172480
201, 1558379172, 1558379172575
201, 1558379172, 1558379172670
203, 1558379173, 1558379172766
203, 1558379173, 1558379172859
203, 1558379173, 1558379172954
203, 1558379173, 1558379173051
203, 1558379173, 1558379173146
203, 1558379173, 1558379173239
203, 1558379173, 1558379173332
203, 1558379173, 1558379173426
203, 1558379173, 1558379173522
203, 1558379173, 1558379173619
203, 1558379173, 1558379173713
201, 1558379174, 1558379173813
201, 1558379174, 1558379173907
201, 1558379174, 1558379174001
201, 1558379174, 1558379174096
201, 1558379174, 1558379174191
201, 1558379174, 1558379174288
201, 1558379174, 1558379174380
201, 1558379174, 1558379174476
201, 1558379174, 1558379174572
201, 1558379174, 1558379174669
201, 1558379174, 1558379174764
201, 1558379174, 1558379174857
204, 1558379174, 1558379174957
204, 1558379175, 1558379175053
204, 1558379175, 1558379175149
204, 1558379175, 1558379175246
204, 1558379175, 1558379175343
204, 1558379175, 1558379175440
204, 1558379175, 1558379175538
205, 1558379176, 1558379175643
205, 1558379176, 1558379175742
205, 1558379176, 1558379175843
205, 1558379176, 1558379175942
205, 1558379176, 1558379176041
205, 1558379176, 1558379176138
205, 1558379176, 1558379176234
205, 1558379176, 1558379176330
205, 1558379176, 1558379176426
205, 1558379176, 1558379176520
201, 1558379176, 1558379176615
201, 1558379177, 1558379176713
201, 1558379177, 1558379176810
201, 1558379177, 1558379176905
201, 1558379177, 1558379176999
201, 1558379177, 1558379177094
201, 1558379177, 1558379177189
201, 1558379177, 1558379177282
201, 1558379177, 1558379177378
201, 1558379177, 1558379177473
201, 1558379177, 1558379177570
201, 1558379177, 1558379177666
209, 1558379178, 1558379177767
209, 1558379178, 1558379177864
209, 1558379178, 1558379177958
209, 1558379178, 1558379178053
209, 1558379178, 1558379178147
209, 1558379178, 1558379178242
209, 1558379178, 1558379178337
209, 1558379178, 1558379178432
209, 1558379178, 1558379178530
209, 1558379178, 1558379178623
206, 1558379179, 1558379178726
206, 1558379179, 1558379178821
206, 1558379179, 1558379178916
206, 1558379179, 1558379179012
206, 1558379179, 1558379179106
206, 1558379179, 1558379179203
206, 1558379179, 1558379179298
206, 1558379179, 1558379179393
206, 1558379179, 1558379179486
206, 1558379179, 1558379179581
206, 1558379179, 1558379179674
206, 1558379179, 1558379179774
206, 1558379179, 1558379179867
206, 1558379179, 1558379179964
201, 1558379180, 1558379180059
201, 1558379180, 1558379180153
201, 1558379180, 1558379180250
201, 1558379180, 1558379180345
201, 1558379180, 1558379180440
201, 1558379180, 1558379180537
201, 1558379180, 1558379180641
201, 1558379181, 1558379180738
201, 1558379181, 1558379180834
201, 1558379181, 1558379180933
201, 1558379181, 1558379181032
201, 1558379181, 1558379181131
201, 1558379181, 1558379181230
201, 1558379181, 1558379181327
201, 1558379181, 1558379181427
201, 1558379181, 1558379181527
201, 1558379181, 1558379181625
200, 1558379182, 1558379181727
200, 1558379182, 1558379181826
200, 1558379182, 1558379181924
200, 1558379182, 1558379182023
200, 1558379182, 1558379182123
200, 1558379182, 1558379182221
200, 1558379182, 1558379182325
200, 1558379182, 1558379182425
200, 1558379182, 1558379182527
200, 1558379182, 1558379182625
202, 1558379183, 1558379182727
202, 1558379183, 1558379182823
202, 1558379183, 1558379182918
202, 1558379183, 1558379183015
202, 1558379183, 1558379183113
202, 1558379183, 1558379183209
202, 1558379183, 1558379183306
202, 1558379183, 1558379183401
202, 1558379183, 1558379183495
202, 1558379183, 1558379183591
202, 1558379183, 1558379183685
204, 1558379184, 1558379183790
204, 1558379184, 1558379183889
204, 1558379184, 1558379183988
204, 1558379184, 1558379184086
204, 1558379184, 1558379184183
204, 1558379184, 1558379184279
204, 1558379184, 1558379184372
204, 1558379184, 1558379184465
204, 1558379184, 1558379184562
204, 1558379184, 1558379184657
197, 1558379185, 1558379184754
197, 1558379185, 1558379184849
197, 1558379185, 1558379184942
197, 1558379185, 1558379185036
197, 1558379185, 1558379185132
197, 1558379185, 1558379185226
197, 1558379185, 1558379185321
197, 1558379185, 1558379185414
197, 1558379185, 1558379185510
197, 1558379185, 1558379185607
193, 1558379185, 1558379185699
193, 1558379186, 1558379185795
193, 1558379186, 1558379185890
193, 1558379186, 1558379185986
193, 1558379186, 1558379186077
193, 1558379186, 1558379186171
193, 1558379186, 1558379186267
193, 1558379186, 1558379186363
193, 1558379186, 1558379186459
193, 1558379186, 1558379186554
193, 1558379186, 1558379186647
192, 1558379187, 1558379186747
192, 1558379187, 1558379186843
192, 1558379187, 1558379186940
192, 1558379187, 1558379187035
192, 1558379187, 1558379187131
192, 1558379187, 1558379187221
192, 1558379187, 1558379187314
192, 1558379187, 1558379187411
192, 1558379187, 1558379187505
192, 1558379187, 1558379187601
192, 1558379187, 1558379187695
190, 1558379188, 1558379187793
190, 1558379188, 1558379187887
190, 1558379188, 1558379187982
190, 1558379188, 1558379188076
190, 1558379188, 1558379188173
190, 1558379188, 1558379188269
190, 1558379188, 1558379188364
190, 1558379188, 1558379188459
190, 1558379188, 1558379188552
190, 1558379188, 1558379188647
182, 1558379189, 1558379188751
182, 1558379189, 1558379188844
