Power(W), TimePDU(S), TimeNODE(mS)
259, 1558499236, 1558499236534
259, 1558499236, 1558499236612
259, 1558499236, 1558499236692
259, 1558499236, 1558499236770
259, 1558499236, 1558499236848
259, 1558499236, 1558499236927
259, 1558499236, 1558499237005
259, 1558499236, 1558499237083
319, 1558499237, 1558499237164
319, 1558499237, 1558499237241
319, 1558499237, 1558499237318
319, 1558499237, 1558499237395
319, 1558499237, 1558499237473
319, 1558499237, 1558499237552
319, 1558499237, 1558499237630
319, 1558499237, 1558499237708
319, 1558499237, 1558499237785
319, 1558499237, 1558499237862
319, 1558499237, 1558499237940
319, 1558499237, 1558499238018
319, 1558499237, 1558499238096
331, 1558499237, 1558499238174
331, 1558499238, 1558499238254
331, 1558499238, 1558499238332
331, 1558499238, 1558499238411
331, 1558499238, 1558499238488
331, 1558499238, 1558499238565
331, 1558499238, 1558499238643
331, 1558499238, 1558499238720
331, 1558499238, 1558499238799
331, 1558499238, 1558499238877
331, 1558499238, 1558499238955
331, 1558499238, 1558499239034
326, 1558499238, 1558499239113
326, 1558499239, 1558499239193
326, 1558499239, 1558499239273
326, 1558499239, 1558499239351
326, 1558499239, 1558499239429
326, 1558499239, 1558499239505
326, 1558499239, 1558499239584
326, 1558499239, 1558499239663
326, 1558499239, 1558499239740
326, 1558499239, 1558499239818
326, 1558499239, 1558499239896
326, 1558499239, 1558499239974
326, 1558499239, 1558499240053
326, 1558499239, 1558499240129
332, 1558499240, 1558499240208
332, 1558499240, 1558499240284
332, 1558499240, 1558499240363
332, 1558499240, 1558499240443
332, 1558499240, 1558499240522
332, 1558499240, 1558499240601
332, 1558499240, 1558499240678
332, 1558499240, 1558499240756
332, 1558499240, 1558499240834
332, 1558499240, 1558499240910
332, 1558499240, 1558499240987
332, 1558499240, 1558499241064
338, 1558499240, 1558499241144
338, 1558499241, 1558499241222
338, 1558499241, 1558499241301
338, 1558499241, 1558499241381
338, 1558499241, 1558499241458
338, 1558499241, 1558499241535
338, 1558499241, 1558499241613
338, 1558499241, 1558499241691
338, 1558499241, 1558499241768
338, 1558499241, 1558499241847
338, 1558499241, 1558499241925
338, 1558499241, 1558499242003
338, 1558499241, 1558499242083
339, 1558499241, 1558499242162
339, 1558499242, 1558499242241
339, 1558499242, 1558499242321
339, 1558499242, 1558499242400
339, 1558499242, 1558499242477
339, 1558499242, 1558499242555
339, 1558499242, 1558499242631
339, 1558499242, 1558499242708
339, 1558499242, 1558499242786
339, 1558499242, 1558499242865
339, 1558499242, 1558499242943
339, 1558499242, 1558499243022
339, 1558499242, 1558499243102
334, 1558499242, 1558499243181
334, 1558499243, 1558499243260
334, 1558499243, 1558499243337
334, 1558499243, 1558499243415
334, 1558499243, 1558499243494
334, 1558499243, 1558499243571
334, 1558499243, 1558499243650
334, 1558499243, 1558499243727
334, 1558499243, 1558499243806
334, 1558499243, 1558499243884
334, 1558499243, 1558499243964
334, 1558499243, 1558499244042
334, 1558499243, 1558499244120
320, 1558499244, 1558499244200
320, 1558499244, 1558499244277
320, 1558499244, 1558499244356
320, 1558499244, 1558499244432
320, 1558499244, 1558499244507
320, 1558499244, 1558499244585
320, 1558499244, 1558499244663
320, 1558499244, 1558499244744
320, 1558499244, 1558499244823
320, 1558499244, 1558499244903
320, 1558499244, 1558499244982
320, 1558499244, 1558499245062
326, 1558499244, 1558499245141
326, 1558499245, 1558499245222
326, 1558499245, 1558499245301
326, 1558499245, 1558499245379
326, 1558499245, 1558499245458
326, 1558499245, 1558499245537
326, 1558499245, 1558499245616
326, 1558499245, 1558499245696
326, 1558499245, 1558499245774
326, 1558499245, 1558499245853
326, 1558499245, 1558499245929
