Power(W), TimePDU(S), TimeNODE(mS)
257, 1558562776, 1558562777401
257, 1558562776, 1558562777509
257, 1558562776, 1558562777615
257, 1558562776, 1558562777721
257, 1558562776, 1558562777826
265, 1558562776, 1558562777932
265, 1558562777, 1558562778040
265, 1558562777, 1558562778144
265, 1558562777, 1558562778249
265, 1558562777, 1558562778352
265, 1558562777, 1558562778454
281, 1558562777, 1558562778557
281, 1558562778, 1558562778663
281, 1558562778, 1558562778766
281, 1558562778, 1558562778869
281, 1558562778, 1558562778973
281, 1558562778, 1558562779077
281, 1558562778, 1558562779183
281, 1558562778, 1558562779290
281, 1558562778, 1558562779400
281, 1558562778, 1558562779509
282, 1558562778, 1558562779618
282, 1558562779, 1558562779734
282, 1558562779, 1558562779845
282, 1558562779, 1558562779956
282, 1558562779, 1558562780068
282, 1558562779, 1558562780179
282, 1558562779, 1558562780289
282, 1558562779, 1558562780398
282, 1558562779, 1558562780507
282, 1558562780, 1558562780620
282, 1558562780, 1558562780731
282, 1558562780, 1558562780841
282, 1558562780, 1558562780952
282, 1558562780, 1558562781066
282, 1558562780, 1558562781177
282, 1558562780, 1558562781256
282, 1558562780, 1558562781335
282, 1558562780, 1558562781413
282, 1558562780, 1558562781493
282, 1558562780, 1558562781570
282, 1558562781, 1558562781648
282, 1558562781, 1558562781726
282, 1558562781, 1558562781804
282, 1558562781, 1558562781883
282, 1558562781, 1558562781960
282, 1558562781, 1558562782037
282, 1558562781, 1558562782110
282, 1558562781, 1558562782187
282, 1558562781, 1558562782264
282, 1558562781, 1558562782343
282, 1558562781, 1558562782417
282, 1558562781, 1558562782495
282, 1558562782, 1558562782576
282, 1558562782, 1558562782654
282, 1558562782, 1558562782733
282, 1558562782, 1558562782812
282, 1558562782, 1558562782890
282, 1558562782, 1558562782967
282, 1558562782, 1558562783046
282, 1558562782, 1558562783124
282, 1558562782, 1558562783202
282, 1558562782, 1558562783281
282, 1558562782, 1558562783358
282, 1558562782, 1558562783434
282, 1558562782, 1558562783515
282, 1558562782, 1558562783591
282, 1558562783, 1558562783669
282, 1558562783, 1558562783746
282, 1558562783, 1558562783824
282, 1558562783, 1558562783900
282, 1558562783, 1558562783976
282, 1558562783, 1558562784054
282, 1558562783, 1558562784130
282, 1558562783, 1558562784207
282, 1558562783, 1558562784286
282, 1558562783, 1558562784364
282, 1558562783, 1558562784444
282, 1558562783, 1558562784522
282, 1558562784, 1558562784602
282, 1558562784, 1558562784680
282, 1558562784, 1558562784755
282, 1558562784, 1558562784834
282, 1558562784, 1558562784913
282, 1558562784, 1558562784992
282, 1558562784, 1558562785073
282, 1558562784, 1558562785151
282, 1558562784, 1558562785230
282, 1558562784, 1558562785308
282, 1558562784, 1558562785386
282, 1558562784, 1558562785465
282, 1558562784, 1558562785542
281, 1558562785, 1558562785622
281, 1558562785, 1558562785699
281, 1558562785, 1558562785777
281, 1558562785, 1558562785856
281, 1558562785, 1558562785932
281, 1558562785, 1558562786012
281, 1558562785, 1558562786089
281, 1558562785, 1558562786168
281, 1558562785, 1558562786246
281, 1558562785, 1558562786325
281, 1558562785, 1558562786402
281, 1558562785, 1558562786479
281, 1558562785, 1558562786557
281, 1558562786, 1558562786636
281, 1558562786, 1558562786715
281, 1558562786, 1558562786794
281, 1558562786, 1558562786873
281, 1558562786, 1558562786951
281, 1558562786, 1558562787028
281, 1558562786, 1558562787106
281, 1558562786, 1558562787183
281, 1558562786, 1558562787262
281, 1558562786, 1558562787339
281, 1558562786, 1558562787417
281, 1558562786, 1558562787495
282, 1558562786, 1558562787574
282, 1558562787, 1558562787653
282, 1558562787, 1558562787732
282, 1558562787, 1558562787811
282, 1558562787, 1558562787887
282, 1558562787, 1558562787963
282, 1558562787, 1558562788044
282, 1558562787, 1558562788122
282, 1558562787, 1558562788201
282, 1558562787, 1558562788279
282, 1558562787, 1558562788357
282, 1558562787, 1558562788435
282, 1558562787, 1558562788513
282, 1558562788, 1558562788594
282, 1558562788, 1558562788671
282, 1558562788, 1558562788747
282, 1558562788, 1558562788824
282, 1558562788, 1558562788904
282, 1558562788, 1558562788983
282, 1558562788, 1558562789062
282, 1558562788, 1558562789140
282, 1558562788, 1558562789216
282, 1558562788, 1558562789294
282, 1558562788, 1558562789372
282, 1558562788, 1558562789448
282, 1558562788, 1558562789525
282, 1558562788, 1558562789603
282, 1558562789, 1558562789682
282, 1558562789, 1558562789759
282, 1558562789, 1558562789837
282, 1558562789, 1558562789914
282, 1558562789, 1558562789996
282, 1558562789, 1558562790072
282, 1558562789, 1558562790149
282, 1558562789, 1558562790226
282, 1558562789, 1558562790303
282, 1558562789, 1558562790383
282, 1558562789, 1558562790462
282, 1558562789, 1558562790540
282, 1558562790, 1558562790619
282, 1558562790, 1558562790696
282, 1558562790, 1558562790773
282, 1558562790, 1558562790852
282, 1558562790, 1558562790930
282, 1558562790, 1558562791008
282, 1558562790, 1558562791087
282, 1558562790, 1558562791165
282, 1558562790, 1558562791243
282, 1558562790, 1558562791322
282, 1558562790, 1558562791400
282, 1558562790, 1558562791476
282, 1558562790, 1558562791554
282, 1558562791, 1558562791634
282, 1558562791, 1558562791714
282, 1558562791, 1558562791790
282, 1558562791, 1558562791871
282, 1558562791, 1558562791968
282, 1558562791, 1558562792066
282, 1558562791, 1558562792158
282, 1558562791, 1558562792253
282, 1558562791, 1558562792348
282, 1558562791, 1558562792446
282, 1558562791, 1558562792542
282, 1558562792, 1558562792641
282, 1558562792, 1558562792736
282, 1558562792, 1558562792832
282, 1558562792, 1558562792927
282, 1558562792, 1558562793023
282, 1558562792, 1558562793118
282, 1558562792, 1558562793211
282, 1558562792, 1558562793305
282, 1558562792, 1558562793402
282, 1558562792, 1558562793501
282, 1558562792, 1558562793594
282, 1558562793, 1558562793695
282, 1558562793, 1558562793792
282, 1558562793, 1558562793888
282, 1558562793, 1558562793982
282, 1558562793, 1558562794077
282, 1558562793, 1558562794172
282, 1558562793, 1558562794269
282, 1558562793, 1558562794361
282, 1558562793, 1558562794455
282, 1558562793, 1558562794552
282, 1558562793, 1558562794648
282, 1558562794, 1558562794748
282, 1558562794, 1558562795200
282, 1558562794, 1558562795320
282, 1558562794, 1558562795439
282, 1558562795, 1558562795974
282, 1558562795, 1558562796095
282, 1558562795, 1558562796215
282, 1558562795, 1558562796333
282, 1558562795, 1558562796449
283, 1558562795, 1558562796566
283, 1558562796, 1558562796683
283, 1558562796, 1558562796799
283, 1558562796, 1558562796910
283, 1558562796, 1558562797026
283, 1558562796, 1558562797140
283, 1558562796, 1558562797258
283, 1558562796, 1558562797375
283, 1558562796, 1558562797491
283, 1558562796, 1558562797610
283, 1558562797, 1558562797728
283, 1558562797, 1558562797843
283, 1558562797, 1558562797961
283, 1558562797, 1558562798079
283, 1558562797, 1558562798196
283, 1558562797, 1558562798312
283, 1558562797, 1558562798428
