Power(W), TimePDU(S), TimeNODE(mS)
248, 1558909871, 1558909872861
248, 1558909872, 1558909872941
248, 1558909872, 1558909873019
248, 1558909872, 1558909873095
248, 1558909872, 1558909873174
248, 1558909872, 1558909873250
248, 1558909872, 1558909873328
248, 1558909872, 1558909873406
248, 1558909872, 1558909873483
248, 1558909872, 1558909873561
248, 1558909872, 1558909873638
248, 1558909872, 1558909873716
248, 1558909872, 1558909873795
248, 1558909872, 1558909873873
272, 1558909873, 1558909873951
272, 1558909873, 1558909874030
272, 1558909873, 1558909874107
272, 1558909873, 1558909874186
272, 1558909873, 1558909874264
272, 1558909873, 1558909874342
272, 1558909873, 1558909874421
272, 1558909873, 1558909874498
272, 1558909873, 1558909874575
272, 1558909873, 1558909874652
272, 1558909873, 1558909874731
272, 1558909873, 1558909874808
270, 1558909873, 1558909874887
270, 1558909874, 1558909874966
270, 1558909874, 1558909875045
270, 1558909874, 1558909875124
270, 1558909874, 1558909875203
270, 1558909874, 1558909875281
270, 1558909874, 1558909875358
270, 1558909874, 1558909875437
270, 1558909874, 1558909875515
270, 1558909874, 1558909875594
270, 1558909874, 1558909875671
270, 1558909874, 1558909875749
270, 1558909874, 1558909875825
279, 1558909874, 1558909875903
279, 1558909875, 1558909875981
279, 1558909875, 1558909876058
279, 1558909875, 1558909876136
279, 1558909875, 1558909876215
279, 1558909875, 1558909876294
279, 1558909875, 1558909876372
279, 1558909875, 1558909876450
279, 1558909875, 1558909876527
279, 1558909875, 1558909876605
279, 1558909875, 1558909876686
279, 1558909875, 1558909876764
279, 1558909875, 1558909876843
279, 1558909875, 1558909876921
279, 1558909877, 1558909876998
279, 1558909877, 1558909877076
279, 1558909877, 1558909877155
279, 1558909877, 1558909877234
279, 1558909877, 1558909877314
279, 1558909877, 1558909877393
279, 1558909877, 1558909877471
279, 1558909877, 1558909877548
279, 1558909877, 1558909877626
279, 1558909877, 1558909877703
279, 1558909877, 1558909877779
279, 1558909877, 1558909877857
278, 1558909877, 1558909877934
278, 1558909878, 1558909878012
278, 1558909878, 1558909878090
278, 1558909878, 1558909878168
278, 1558909878, 1558909878246
278, 1558909878, 1558909878323
278, 1558909878, 1558909878401
278, 1558909878, 1558909878480
278, 1558909878, 1558909878557
278, 1558909878, 1558909878636
278, 1558909878, 1558909878713
278, 1558909878, 1558909878793
278, 1558909878, 1558909878871
278, 1558909878, 1558909878949
278, 1558909879, 1558909879028
278, 1558909879, 1558909879106
278, 1558909879, 1558909879183
278, 1558909879, 1558909879261
278, 1558909879, 1558909879339
278, 1558909879, 1558909879416
278, 1558909879, 1558909879493
278, 1558909879, 1558909879572
278, 1558909879, 1558909879649
278, 1558909879, 1558909879726
278, 1558909879, 1558909879818
278, 1558909879, 1558909879913
281, 1558909880, 1558909880013
281, 1558909880, 1558909880107
281, 1558909880, 1558909880200
281, 1558909880, 1558909880294
281, 1558909880, 1558909880390
281, 1558909880, 1558909880487
281, 1558909880, 1558909880582
281, 1558909880, 1558909880674
281, 1558909880, 1558909880773
281, 1558909880, 1558909880868
281, 1558909880, 1558909880964
281, 1558909881, 1558909881061
281, 1558909881, 1558909881155
281, 1558909881, 1558909881251
281, 1558909881, 1558909881347
281, 1558909881, 1558909881443
281, 1558909881, 1558909881538
281, 1558909881, 1558909881635
281, 1558909881, 1558909881730
281, 1558909881, 1558909881826
281, 1558909881, 1558909881919
281, 1558909882, 1558909882018
281, 1558909882, 1558909882116
281, 1558909882, 1558909882210
281, 1558909882, 1558909882308
281, 1558909882, 1558909882402
281, 1558909882, 1558909882497
281, 1558909882, 1558909882592
281, 1558909882, 1558909882687
281, 1558909882, 1558909882782
281, 1558909882, 1558909882880
281, 1558909882, 1558909882975
279, 1558909883, 1558909883089
279, 1558909883, 1558909883183
279, 1558909883, 1558909883277
279, 1558909883, 1558909883372
279, 1558909883, 1558909883467
