Power(W), TimePDU(S), TimeNODE(mS)
258, 1558393622, 1558393622213
258, 1558393622, 1558393622291
258, 1558393622, 1558393622369
258, 1558393622, 1558393622447
258, 1558393622, 1558393622523
258, 1558393622, 1558393622600
258, 1558393622, 1558393622678
258, 1558393622, 1558393622756
258, 1558393622, 1558393622834
258, 1558393622, 1558393622913
258, 1558393622, 1558393622992
277, 1558393622, 1558393623067
277, 1558393623, 1558393623145
277, 1558393623, 1558393623222
277, 1558393623, 1558393623299
277, 1558393623, 1558393623376
277, 1558393623, 1558393623454
277, 1558393623, 1558393623535
277, 1558393623, 1558393623614
277, 1558393623, 1558393623692
277, 1558393623, 1558393623771
277, 1558393623, 1558393623848
277, 1558393623, 1558393623926
277, 1558393623, 1558393624004
288, 1558393623, 1558393624083
288, 1558393624, 1558393624163
288, 1558393624, 1558393624240
288, 1558393624, 1558393624316
288, 1558393624, 1558393624394
288, 1558393624, 1558393624473
288, 1558393624, 1558393624551
288, 1558393624, 1558393624629
288, 1558393624, 1558393624706
288, 1558393624, 1558393624784
288, 1558393624, 1558393624861
288, 1558393624, 1558393624939
288, 1558393624, 1558393625015
286, 1558393624, 1558393625095
286, 1558393625, 1558393625173
286, 1558393625, 1558393625279
286, 1558393625, 1558393625383
286, 1558393625, 1558393625491
286, 1558393625, 1558393625599
286, 1558393625, 1558393625705
286, 1558393625, 1558393625809
286, 1558393625, 1558393625914
286, 1558393625, 1558393626020
287, 1558393625, 1558393626127
287, 1558393626, 1558393626236
287, 1558393626, 1558393626340
287, 1558393626, 1558393626444
287, 1558393626, 1558393626549
287, 1558393626, 1558393626652
287, 1558393626, 1558393626756
287, 1558393626, 1558393626859
287, 1558393626, 1558393626963
287, 1558393626, 1558393627067
286, 1558393626, 1558393627168
286, 1558393627, 1558393627273
286, 1558393627, 1558393627376
286, 1558393627, 1558393627481
286, 1558393627, 1558393627585
286, 1558393627, 1558393627690
286, 1558393627, 1558393627795
286, 1558393627, 1558393627900
286, 1558393627, 1558393628004
287, 1558393627, 1558393628107
287, 1558393628, 1558393628209
287, 1558393628, 1558393628306
287, 1558393628, 1558393628404
287, 1558393628, 1558393628502
287, 1558393628, 1558393628600
287, 1558393628, 1558393628696
287, 1558393628, 1558393628792
287, 1558393628, 1558393628888
287, 1558393628, 1558393628984
287, 1558393628, 1558393629083
286, 1558393628, 1558393629183
286, 1558393629, 1558393629284
286, 1558393629, 1558393629385
286, 1558393629, 1558393629485
286, 1558393629, 1558393629584
286, 1558393629, 1558393629682
286, 1558393629, 1558393629781
286, 1558393629, 1558393629879
286, 1558393629, 1558393629977
286, 1558393629, 1558393630076
286, 1558393629, 1558393630178
286, 1558393629, 1558393630278
286, 1558393629, 1558393630373
287, 1558393630, 1558393630471
287, 1558393630, 1558393630566
287, 1558393630, 1558393630660
287, 1558393630, 1558393630754
287, 1558393630, 1558393630849
287, 1558393630, 1558393630945
287, 1558393630, 1558393631044
287, 1558393631, 1558393631147
287, 1558393631, 1558393631245
287, 1558393631, 1558393631342
287, 1558393631, 1558393631437
287, 1558393631, 1558393631532
287, 1558393631, 1558393631626
287, 1558393631, 1558393631721
287, 1558393631, 1558393631818
287, 1558393631, 1558393631915
287, 1558393631, 1558393632013
287, 1558393631, 1558393632113
287, 1558393632, 1558393632218
287, 1558393632, 1558393632320
287, 1558393632, 1558393632422
287, 1558393632, 1558393632525
287, 1558393632, 1558393632630
287, 1558393632, 1558393632733
287, 1558393632, 1558393632836
287, 1558393632, 1558393632940
287, 1558393632, 1558393633043
287, 1558393633, 1558393633149
287, 1558393633, 1558393633254
287, 1558393633, 1558393633359
287, 1558393633, 1558393633463
287, 1558393633, 1558393633568
287, 1558393633, 1558393633671
287, 1558393633, 1558393633775
287, 1558393633, 1558393633880
287, 1558393633, 1558393633987
287, 1558393633, 1558393634095
287, 1558393633, 1558393634205
287, 1558393633, 1558393634314
288, 1558393633, 1558393634427
288, 1558393634, 1558393634542
288, 1558393634, 1558393634658
288, 1558393634, 1558393634773
288, 1558393634, 1558393634888
288, 1558393634, 1558393634999
288, 1558393634, 1558393635115
288, 1558393635, 1558393635233
288, 1558393635, 1558393635351
288, 1558393635, 1558393635469
288, 1558393635, 1558393635587
288, 1558393635, 1558393635701
288, 1558393635, 1558393635814
288, 1558393635, 1558393635928
288, 1558393635, 1558393636042
288, 1558393635, 1558393636157
288, 1558393636, 1558393636274
288, 1558393636, 1558393636386
288, 1558393636, 1558393636500
288, 1558393636, 1558393636614
288, 1558393636, 1558393636726
288, 1558393636, 1558393636839
288, 1558393636, 1558393636951
288, 1558393636, 1558393637064
287, 1558393636, 1558393637178
287, 1558393637, 1558393637292
287, 1558393637, 1558393637405
287, 1558393637, 1558393637519
287, 1558393637, 1558393637635
287, 1558393637, 1558393637751
287, 1558393637, 1558393637866
287, 1558393637, 1558393637976
287, 1558393637, 1558393638091
287, 1558393638, 1558393638206
287, 1558393638, 1558393638323
287, 1558393638, 1558393638440
287, 1558393638, 1558393638555
287, 1558393638, 1558393638671
287, 1558393638, 1558393638785
287, 1558393638, 1558393638897
287, 1558393638, 1558393639010
287, 1558393638, 1558393639123
287, 1558393639, 1558393639239
287, 1558393639, 1558393639356
287, 1558393639, 1558393639468
287, 1558393639, 1558393639581
287, 1558393639, 1558393639697
287, 1558393639, 1558393639812
287, 1558393639, 1558393639889
287, 1558393639, 1558393639967
287, 1558393639, 1558393640046
287, 1558393639, 1558393640124
287, 1558393640, 1558393640204
287, 1558393640, 1558393640281
287, 1558393640, 1558393640360
287, 1558393640, 1558393640438
287, 1558393640, 1558393640515
287, 1558393640, 1558393640592
287, 1558393640, 1558393640668
287, 1558393640, 1558393640746
287, 1558393640, 1558393640822
287, 1558393640, 1558393640901
287, 1558393640, 1558393640977
287, 1558393640, 1558393641053
288, 1558393640, 1558393641131
288, 1558393641, 1558393641208
288, 1558393641, 1558393641286
288, 1558393641, 1558393641366
288, 1558393641, 1558393641446
288, 1558393641, 1558393641523
288, 1558393641, 1558393641601
288, 1558393641, 1558393641679
288, 1558393641, 1558393641756
288, 1558393641, 1558393641831
288, 1558393641, 1558393641908
288, 1558393641, 1558393641986
288, 1558393641, 1558393642063
288, 1558393642, 1558393642143
288, 1558393642, 1558393642221
288, 1558393642, 1558393642298
288, 1558393642, 1558393642375
288, 1558393642, 1558393642453
288, 1558393642, 1558393642532
288, 1558393642, 1558393642612
288, 1558393642, 1558393642689
288, 1558393642, 1558393642767
288, 1558393642, 1558393642845
288, 1558393642, 1558393642923
288, 1558393642, 1558393642999
288, 1558393642, 1558393643076
287, 1558393642, 1558393643154
287, 1558393643, 1558393643234
287, 1558393643, 1558393643313
287, 1558393643, 1558393643392
287, 1558393643, 1558393643469
287, 1558393643, 1558393643545
287, 1558393643, 1558393643624
287, 1558393643, 1558393643703
287, 1558393643, 1558393643781
287, 1558393643, 1558393643860
287, 1558393643, 1558393643936
287, 1558393643, 1558393644016
287, 1558393643, 1558393644094
289, 1558393643, 1558393644173
289, 1558393644, 1558393644252
289, 1558393644, 1558393644331
289, 1558393644, 1558393644412
289, 1558393644, 1558393644490
289, 1558393644, 1558393644568
289, 1558393644, 1558393644646
289, 1558393644, 1558393644725
289, 1558393644, 1558393644804
289, 1558393644, 1558393644883
289, 1558393644, 1558393644962
289, 1558393644, 1558393645041
287, 1558393644, 1558393645120
287, 1558393645, 1558393645198
287, 1558393645, 1558393645275
287, 1558393645, 1558393645353
287, 1558393645, 1558393645432
287, 1558393645, 1558393645511
287, 1558393645, 1558393645589
287, 1558393645, 1558393645667
287, 1558393645, 1558393645745
287, 1558393645, 1558393645823
287, 1558393645, 1558393645900
287, 1558393645, 1558393645977
287, 1558393645, 1558393646055
287, 1558393645, 1558393646134
287, 1558393646, 1558393646212
287, 1558393646, 1558393646292
287, 1558393646, 1558393646369
287, 1558393646, 1558393646444
287, 1558393646, 1558393646523
