Power(W), TimePDU(S), TimeNODE(mS)
256, 1558112826, 1558112826874
256, 1558112826, 1558112826973
256, 1558112826, 1558112827072
267, 1558112826, 1558112827170
267, 1558112827, 1558112827272
267, 1558112827, 1558112827374
267, 1558112827, 1558112827478
267, 1558112827, 1558112827582
267, 1558112827, 1558112827684
267, 1558112827, 1558112827788
267, 1558112827, 1558112827893
267, 1558112827, 1558112827996
286, 1558112828, 1558112828797
286, 1558112828, 1558112828917
286, 1558112828, 1558112829036
286, 1558112828, 1558112829153
288, 1558112828, 1558112829270
288, 1558112829, 1558112829388
288, 1558112829, 1558112829558
288, 1558112829, 1558112829667
288, 1558112829, 1558112829777
288, 1558112829, 1558112829890
288, 1558112829, 1558112830002
288, 1558112829, 1558112830115
288, 1558112829, 1558112830230
288, 1558112830, 1558112830346
288, 1558112830, 1558112830460
288, 1558112830, 1558112830575
288, 1558112830, 1558112830691
288, 1558112830, 1558112830808
288, 1558112830, 1558112830927
288, 1558112830, 1558112831046
288, 1558112830, 1558112831170
288, 1558112830, 1558112831294
288, 1558112831, 1558112831414
288, 1558112831, 1558112831537
288, 1558112831, 1558112831658
288, 1558112831, 1558112831778
288, 1558112831, 1558112831899
288, 1558112831, 1558112832017
288, 1558112831, 1558112832134
289, 1558112831, 1558112832253
289, 1558112832, 1558112832375
289, 1558112832, 1558112832494
289, 1558112832, 1558112832612
289, 1558112832, 1558112832729
289, 1558112832, 1558112832845
289, 1558112832, 1558112832963
289, 1558112832, 1558112833084
289, 1558112832, 1558112833204
289, 1558112833, 1558112833326
289, 1558112833, 1558112833446
289, 1558112833, 1558112833572
289, 1558112833, 1558112833695
289, 1558112833, 1558112833813
289, 1558112833, 1558112833931
289, 1558112833, 1558112834049
289, 1558112833, 1558112834166
289, 1558112834, 1558112834288
289, 1558112834, 1558112834404
289, 1558112834, 1558112835151
289, 1558112834, 1558112835245
289, 1558112835, 1558112835342
289, 1558112835, 1558112835438
289, 1558112835, 1558112835533
289, 1558112835, 1558112835631
289, 1558112835, 1558112835727
289, 1558112835, 1558112835828
289, 1558112835, 1558112835927
