Power(W), TimePDU(S), TimeNODE(mS)
246, 1558739628, 1558739629204
246, 1558739628, 1558739629283
246, 1558739628, 1558739629361
246, 1558739628, 1558739629438
246, 1558739628, 1558739629515
258, 1558739628, 1558739629592
258, 1558739629, 1558739629672
258, 1558739629, 1558739629749
258, 1558739629, 1558739629829
258, 1558739629, 1558739629907
258, 1558739629, 1558739629985
258, 1558739629, 1558739630062
258, 1558739629, 1558739630141
258, 1558739629, 1558739630219
258, 1558739629, 1558739630296
258, 1558739629, 1558739630375
258, 1558739629, 1558739630453
258, 1558739629, 1558739630530
275, 1558739629, 1558739630606
275, 1558739630, 1558739630685
275, 1558739630, 1558739630763
275, 1558739630, 1558739630840
275, 1558739630, 1558739630917
275, 1558739630, 1558739630995
275, 1558739630, 1558739631072
275, 1558739630, 1558739631149
275, 1558739630, 1558739631226
275, 1558739630, 1558739631305
275, 1558739630, 1558739631385
275, 1558739630, 1558739631464
275, 1558739630, 1558739631543
276, 1558739631, 1558739631625
276, 1558739631, 1558739631703
276, 1558739631, 1558739631779
276, 1558739631, 1558739631857
276, 1558739631, 1558739631933
276, 1558739631, 1558739632012
276, 1558739631, 1558739632091
276, 1558739631, 1558739632168
276, 1558739631, 1558739632247
276, 1558739631, 1558739632324
276, 1558739631, 1558739632404
276, 1558739631, 1558739632483
276, 1558739631, 1558739632562
276, 1558739631, 1558739632637
276, 1558739631, 1558739632714
276, 1558739631, 1558739632792
276, 1558739631, 1558739632871
276, 1558739631, 1558739632949
276, 1558739632, 1558739633027
276, 1558739632, 1558739633104
276, 1558739632, 1558739633184
276, 1558739632, 1558739633263
276, 1558739632, 1558739633341
276, 1558739632, 1558739633419
276, 1558739632, 1558739633496
276, 1558739632, 1558739633574
276, 1558739632, 1558739633651
276, 1558739633, 1558739633728
276, 1558739633, 1558739633805
276, 1558739633, 1558739633884
276, 1558739633, 1558739633962
276, 1558739633, 1558739634040
276, 1558739633, 1558739634118
276, 1558739633, 1558739634196
276, 1558739633, 1558739634275
276, 1558739633, 1558739634355
276, 1558739633, 1558739634435
276, 1558739633, 1558739634512
276, 1558739633, 1558739634589
301, 1558739634, 1558739634670
301, 1558739634, 1558739634747
301, 1558739634, 1558739634822
301, 1558739634, 1558739634901
301, 1558739634, 1558739634979
301, 1558739634, 1558739635057
301, 1558739634, 1558739635135
301, 1558739634, 1558739635215
301, 1558739634, 1558739635290
301, 1558739634, 1558739635367
301, 1558739634, 1558739635444
301, 1558739634, 1558739635521
301, 1558739634, 1558739635599
312, 1558739634, 1558739635678
312, 1558739635, 1558739635757
312, 1558739635, 1558739635836
312, 1558739635, 1558739635914
312, 1558739635, 1558739636025
312, 1558739635, 1558739636137
312, 1558739635, 1558739636247
312, 1558739635, 1558739636357
312, 1558739635, 1558739636466
312, 1558739635, 1558739636577
327, 1558739636, 1558739636689
327, 1558739636, 1558739636796
327, 1558739636, 1558739636904
327, 1558739636, 1558739637012
327, 1558739636, 1558739637124
327, 1558739636, 1558739637235
327, 1558739636, 1558739637350
327, 1558739636, 1558739637463
327, 1558739636, 1558739637578
328, 1558739636, 1558739637691
328, 1558739637, 1558739637804
328, 1558739637, 1558739637919
328, 1558739637, 1558739638030
328, 1558739637, 1558739638144
328, 1558739637, 1558739638257
328, 1558739637, 1558739638368
328, 1558739637, 1558739638478
328, 1558739637, 1558739638591
330, 1558739637, 1558739638700
330, 1558739638, 1558739638810
330, 1558739638, 1558739638916
330, 1558739638, 1558739639022
330, 1558739638, 1558739639127
330, 1558739638, 1558739639233
330, 1558739638, 1558739639341
330, 1558739638, 1558739639447
