Power(W), TimePDU(S), TimeNODE(mS)
245, 1558811509, 1558811510058
253, 1558811509, 1558811510182
253, 1558811510, 1558811510304
253, 1558811510, 1558811510423
253, 1558811510, 1558811510542
253, 1558811510, 1558811510660
253, 1558811510, 1558811510774
270, 1558811510, 1558811510892
270, 1558811511, 1558811511011
270, 1558811511, 1558811511127
270, 1558811511, 1558811511243
270, 1558811511, 1558811511358
270, 1558811511, 1558811511475
270, 1558811511, 1558811511590
270, 1558811511, 1558811511703
270, 1558811511, 1558811511817
273, 1558811512, 1558811511933
273, 1558811512, 1558811512046
273, 1558811512, 1558811512160
273, 1558811512, 1558811512274
273, 1558811512, 1558811512390
273, 1558811512, 1558811512508
273, 1558811512, 1558811512627
273, 1558811512, 1558811512746
273, 1558811512, 1558811512863
272, 1558811513, 1558811512986
272, 1558811513, 1558811513103
272, 1558811513, 1558811513218
272, 1558811513, 1558811513330
272, 1558811513, 1558811513445
272, 1558811513, 1558811513559
272, 1558811513, 1558811513672
272, 1558811513, 1558811513786
272, 1558811513, 1558811513901
272, 1558811513, 1558811514014
272, 1558811513, 1558811514129
275, 1558811513, 1558811514253
275, 1558811514, 1558811514375
275, 1558811514, 1558811514495
275, 1558811514, 1558811514615
275, 1558811514, 1558811514734
275, 1558811514, 1558811514855
276, 1558811514, 1558811514975
276, 1558811515, 1558811515095
276, 1558811515, 1558811515214
276, 1558811515, 1558811515336
276, 1558811515, 1558811515455
276, 1558811515, 1558811515578
276, 1558811515, 1558811515696
276, 1558811515, 1558811515815
276, 1558811515, 1558811515935
276, 1558811515, 1558811516053
276, 1558811515, 1558811516171
276, 1558811516, 1558811516290
276, 1558811516, 1558811516407
276, 1558811516, 1558811516521
276, 1558811516, 1558811516640
276, 1558811516, 1558811516755
275, 1558811516, 1558811516872
275, 1558811517, 1558811516990
275, 1558811517, 1558811517105
275, 1558811517, 1558811517222
275, 1558811517, 1558811517337
275, 1558811517, 1558811517453
275, 1558811517, 1558811517569
275, 1558811517, 1558811517685
275, 1558811517, 1558811517801
276, 1558811517, 1558811517918
276, 1558811518, 1558811518035
276, 1558811518, 1558811518149
276, 1558811518, 1558811518262
276, 1558811518, 1558811518376
276, 1558811518, 1558811518490
276, 1558811518, 1558811518603
276, 1558811518, 1558811518719
276, 1558811518, 1558811518834
275, 1558811518, 1558811518950
275, 1558811519, 1558811519067
275, 1558811519, 1558811519182
275, 1558811519, 1558811519300
275, 1558811519, 1558811519417
275, 1558811519, 1558811519534
275, 1558811519, 1558811519653
275, 1558811519, 1558811519770
275, 1558811519, 1558811519886
276, 1558811520, 1558811520006
276, 1558811520, 1558811520228
276, 1558811520, 1558811520349
276, 1558811520, 1558811520460
276, 1558811520, 1558811520535
