Power(W), TimePDU(S), TimeNODE(mS)
176, 1558936034, 1558936034002
176, 1558936034, 1558936034108
176, 1558936034, 1558936034210
176, 1558936034, 1558936034313
176, 1558936034, 1558936034415
176, 1558936034, 1558936034520
176, 1558936034, 1558936034622
176, 1558936034, 1558936034725
218, 1558936035, 1558936034828
218, 1558936035, 1558936034927
218, 1558936035, 1558936035026
218, 1558936035, 1558936035126
218, 1558936035, 1558936035224
218, 1558936035, 1558936035323
218, 1558936035, 1558936035421
218, 1558936035, 1558936035519
218, 1558936035, 1558936035616
218, 1558936035, 1558936035717
237, 1558936035, 1558936035821
237, 1558936036, 1558936035920
237, 1558936036, 1558936036018
237, 1558936036, 1558936036113
237, 1558936036, 1558936036207
237, 1558936036, 1558936036302
237, 1558936036, 1558936036396
237, 1558936036, 1558936036491
237, 1558936036, 1558936036588
237, 1558936036, 1558936036685
237, 1558936036, 1558936036784
237, 1558936036, 1558936036879
237, 1558936036, 1558936036973
237, 1558936037, 1558936037070
237, 1558936037, 1558936037166
237, 1558936037, 1558936037245
237, 1558936037, 1558936037323
237, 1558936037, 1558936037400
237, 1558936037, 1558936037479
237, 1558936037, 1558936037557
237, 1558936037, 1558936037636
237, 1558936037, 1558936037715
237, 1558936038, 1558936037795
237, 1558936038, 1558936037872
237, 1558936038, 1558936037950
237, 1558936038, 1558936038028
237, 1558936038, 1558936038106
237, 1558936038, 1558936038183
237, 1558936038, 1558936038260
237, 1558936038, 1558936038337
237, 1558936038, 1558936038415
237, 1558936038, 1558936038494
237, 1558936038, 1558936038572
237, 1558936038, 1558936038651
237, 1558936038, 1558936038730
237, 1558936039, 1558936038807
237, 1558936039, 1558936038886
237, 1558936039, 1558936038964
237, 1558936039, 1558936039041
237, 1558936039, 1558936039118
237, 1558936039, 1558936039195
237, 1558936039, 1558936039274
237, 1558936039, 1558936039353
237, 1558936039, 1558936039432
237, 1558936039, 1558936039511
237, 1558936039, 1558936039587
237, 1558936039, 1558936039665
237, 1558936040, 1558936039753
237, 1558936040, 1558936039829
237, 1558936040, 1558936039907
237, 1558936040, 1558936039985
237, 1558936040, 1558936040065
237, 1558936040, 1558936040142
237, 1558936040, 1558936040220
237, 1558936040, 1558936040298
237, 1558936040, 1558936040374
237, 1558936040, 1558936040454
237, 1558936040, 1558936040531
237, 1558936040, 1558936040608
237, 1558936040, 1558936040687
238, 1558936040, 1558936040766
238, 1558936041, 1558936040844
238, 1558936041, 1558936040921
238, 1558936041, 1558936041000
238, 1558936041, 1558936041079
238, 1558936041, 1558936041156
238, 1558936041, 1558936041232
238, 1558936041, 1558936041312
238, 1558936041, 1558936041387
238, 1558936041, 1558936041465
238, 1558936041, 1558936041543
238, 1558936041, 1558936041620
238, 1558936041, 1558936041698
238, 1558936041, 1558936041775
238, 1558936042, 1558936041853
238, 1558936042, 1558936041930
238, 1558936042, 1558936042007
238, 1558936042, 1558936042086
238, 1558936042, 1558936042164
238, 1558936042, 1558936042243
238, 1558936042, 1558936042319
238, 1558936042, 1558936042396
238, 1558936042, 1558936042473
238, 1558936042, 1558936042551
238, 1558936042, 1558936042630
238, 1558936042, 1558936042706
231, 1558936042, 1558936042785
231, 1558936043, 1558936042862
231, 1558936043, 1558936042940
231, 1558936043, 1558936043018
231, 1558936043, 1558936043096
