Power(W), TimePDU(S), TimeNODE(mS)
159, 1558130690, 1558130691320
159, 1558130690, 1558130691417
159, 1558130690, 1558130691516
173, 1558130691, 1558130691617
173, 1558130691, 1558130691713
173, 1558130691, 1558130691809
173, 1558130691, 1558130691905
173, 1558130691, 1558130692000
173, 1558130691, 1558130692110
173, 1558130691, 1558130692231
173, 1558130691, 1558130692352
173, 1558130691, 1558130692469
212, 1558130691, 1558130692586
212, 1558130692, 1558130692706
212, 1558130692, 1558130692826
212, 1558130692, 1558130692945
212, 1558130692, 1558130693064
212, 1558130692, 1558130693182
212, 1558130692, 1558130693300
212, 1558130692, 1558130693416
212, 1558130692, 1558130693532
220, 1558130692, 1558130693647
220, 1558130693, 1558130693765
220, 1558130693, 1558130693880
220, 1558130693, 1558130693996
220, 1558130693, 1558130694111
220, 1558130693, 1558130694225
220, 1558130693, 1558130694339
220, 1558130693, 1558130694452
220, 1558130693, 1558130694563
220, 1558130694, 1558130694694
220, 1558130694, 1558130694814
220, 1558130694, 1558130694931
220, 1558130694, 1558130695048
220, 1558130694, 1558130695166
220, 1558130694, 1558130695283
220, 1558130694, 1558130695399
220, 1558130694, 1558130695515
220, 1558130697, 1558130697709
220, 1558130697, 1558130697828
220, 1558130697, 1558130697947
220, 1558130697, 1558130698068
220, 1558130697, 1558130698190
220, 1558130697, 1558130698313
220, 1558130697, 1558130698434
220, 1558130697, 1558130698551
220, 1558130698, 1558130698673
220, 1558130698, 1558130698794
220, 1558130698, 1558130698915
220, 1558130698, 1558130699037
220, 1558130698, 1558130699158
220, 1558130698, 1558130699279
220, 1558130698, 1558130699398
220, 1558130698, 1558130699520
220, 1558130699, 1558130699640
220, 1558130699, 1558130699759
220, 1558130699, 1558130699878
220, 1558130699, 1558130699997
220, 1558130699, 1558130700117
220, 1558130699, 1558130700235
220, 1558130699, 1558130700355
220, 1558130699, 1558130700474
220, 1558130699, 1558130700595
220, 1558130700, 1558130700716
220, 1558130700, 1558130700832
220, 1558130700, 1558130700948
