Power(W), TimePDU(S), TimeNODE(mS)
178, 1558838914, 1558838914375
178, 1558838914, 1558838914481
178, 1558838914, 1558838914585
178, 1558838914, 1558838914687
178, 1558838914, 1558838914791
178, 1558838914, 1558838914894
178, 1558838914, 1558838915000
178, 1558838914, 1558838915105
178, 1558838914, 1558838915206
178, 1558838914, 1558838915311
190, 1558838914, 1558838915413
190, 1558838915, 1558838915519
190, 1558838915, 1558838915619
190, 1558838915, 1558838915723
190, 1558838915, 1558838915828
190, 1558838915, 1558838915928
190, 1558838915, 1558838916028
190, 1558838915, 1558838916126
190, 1558838915, 1558838916224
190, 1558838915, 1558838916324
193, 1558838915, 1558838916424
193, 1558838916, 1558838916526
193, 1558838916, 1558838916625
193, 1558838916, 1558838916724
193, 1558838916, 1558838916821
193, 1558838916, 1558838916917
193, 1558838916, 1558838917014
193, 1558838916, 1558838917111
193, 1558838916, 1558838917206
193, 1558838916, 1558838917301
193, 1558838916, 1558838917396
193, 1558838916, 1558838917494
193, 1558838916, 1558838917592
193, 1558838916, 1558838917691
193, 1558838918, 1558838917794
193, 1558838918, 1558838917891
193, 1558838918, 1558838917986
193, 1558838918, 1558838918081
193, 1558838921, 1558838921775
193, 1558838921, 1558838921897
193, 1558838921, 1558838922015
193, 1558838921, 1558838922137
193, 1558838921, 1558838922259
193, 1558838921, 1558838922383
193, 1558838922, 1558838922505
193, 1558838922, 1558838922626
193, 1558838922, 1558838922747
193, 1558838922, 1558838922869
193, 1558838922, 1558838922989
193, 1558838922, 1558838923113
193, 1558838922, 1558838923232
193, 1558838922, 1558838923352
193, 1558838922, 1558838923471
193, 1558838923, 1558838923586
193, 1558838923, 1558838923701
193, 1558838923, 1558838923818
193, 1558838923, 1558838923934
193, 1558838923, 1558838924048
193, 1558838923, 1558838924162
193, 1558838923, 1558838924277
194, 1558838923, 1558838924392
194, 1558838924, 1558838924509
194, 1558838924, 1558838924623
194, 1558838924, 1558838924739
194, 1558838924, 1558838924853
194, 1558838924, 1558838924968
194, 1558838924, 1558838925082
194, 1558838924, 1558838925197
194, 1558838924, 1558838925313
193, 1558838925, 1558838925427
193, 1558838925, 1558838925540
193, 1558838925, 1558838925652
193, 1558838925, 1558838925766
193, 1558838925, 1558838925879
193, 1558838925, 1558838925990
193, 1558838925, 1558838926103
193, 1558838925, 1558838926219
193, 1558838925, 1558838926335
193, 1558838925, 1558838926451
193, 1558838926, 1558838926568
193, 1558838926, 1558838926685
193, 1558838926, 1558838926801
193, 1558838926, 1558838926917
193, 1558838926, 1558838927030
193, 1558838926, 1558838927144
193, 1558838926, 1558838927262
194, 1558838926, 1558838927382
194, 1558838927, 1558838927503
194, 1558838927, 1558838927621
194, 1558838927, 1558838927738
194, 1558838927, 1558838927853
194, 1558838927, 1558838927968
194, 1558838927, 1558838928083
194, 1558838927, 1558838928199
194, 1558838927, 1558838928315
194, 1558838927, 1558838928434
194, 1558838928, 1558838928552
194, 1558838928, 1558838928670
194, 1558838928, 1558838928785
194, 1558838928, 1558838928903
194, 1558838928, 1558838929016
194, 1558838928, 1558838929133
194, 1558838928, 1558838929250
193, 1558838928, 1558838929369
193, 1558838929, 1558838929488
193, 1558838929, 1558838929606
193, 1558838929, 1558838929724
193, 1558838929, 1558838929840
193, 1558838929, 1558838929958
193, 1558838929, 1558838930073
193, 1558838929, 1558838930189
193, 1558838929, 1558838930300
194, 1558838929, 1558838930412
194, 1558838930, 1558838930527
194, 1558838930, 1558838930636
194, 1558838930, 1558838930745
194, 1558838930, 1558838930857
194, 1558838930, 1558838930968
194, 1558838930, 1558838931077
194, 1558838930, 1558838931188
194, 1558838930, 1558838931298
194, 1558838930, 1558838931409
194, 1558838931, 1558838931520
194, 1558838931, 1558838931631
194, 1558838931, 1558838931744
194, 1558838931, 1558838931858
194, 1558838931, 1558838931970
194, 1558838931, 1558838932084
194, 1558838931, 1558838932201
194, 1558838931, 1558838932315
194, 1558838931, 1558838932428
194, 1558838932, 1558838932539
194, 1558838932, 1558838932650
194, 1558838932, 1558838932758
194, 1558838932, 1558838932867
194, 1558838932, 1558838932974
194, 1558838932, 1558838933082
194, 1558838932, 1558838933188
194, 1558838932, 1558838933295
193, 1558838932, 1558838933403
193, 1558838933, 1558838933513
193, 1558838933, 1558838933624
193, 1558838933, 1558838933732
193, 1558838933, 1558838933838
193, 1558838933, 1558838933941
193, 1558838933, 1558838934045
193, 1558838933, 1558838934148
193, 1558838933, 1558838934253
193, 1558838933, 1558838934357
194, 1558838934, 1558838934464
194, 1558838934, 1558838934567
194, 1558838934, 1558838934668
194, 1558838934, 1558838934767
194, 1558838934, 1558838934865
194, 1558838934, 1558838934963
194, 1558838934, 1558838935057
194, 1558838934, 1558838935151
194, 1558838934, 1558838935244
194, 1558838934, 1558838935339
194, 1558838934, 1558838935433
194, 1558838935, 1558838935533
194, 1558838935, 1558838935627
194, 1558838935, 1558838935721
194, 1558838935, 1558838935815
194, 1558838935, 1558838935910
194, 1558838935, 1558838936005
194, 1558838935, 1558838936100
194, 1558838935, 1558838936195
194, 1558838935, 1558838936288
194, 1558838935, 1558838936384
194, 1558838935, 1558838936480
194, 1558838936, 1558838936579
194, 1558838936, 1558838936676
194, 1558838936, 1558838936772
194, 1558838936, 1558838936869
194, 1558838936, 1558838936965
194, 1558838936, 1558838937060
194, 1558838936, 1558838937152
194, 1558838936, 1558838937247
194, 1558838936, 1558838937343
193, 1558838936, 1558838937440
193, 1558838937, 1558838937537
193, 1558838937, 1558838937631
193, 1558838937, 1558838937725
193, 1558838937, 1558838937822
193, 1558838937, 1558838937917
193, 1558838937, 1558838938012
193, 1558838937, 1558838938107
193, 1558838937, 1558838938202
193, 1558838937, 1558838938296
193, 1558838937, 1558838938393
194, 1558838938, 1558838938496
194, 1558838938, 1558838938592
194, 1558838938, 1558838938689
194, 1558838938, 1558838938785
194, 1558838938, 1558838938883
194, 1558838938, 1558838938977
194, 1558838938, 1558838939071
194, 1558838938, 1558838939166
194, 1558838938, 1558838939261
194, 1558838938, 1558838939357
194, 1558838938, 1558838939454
194, 1558838939, 1558838939553
194, 1558838939, 1558838939647
194, 1558838939, 1558838939742
194, 1558838939, 1558838939835
194, 1558838939, 1558838939932
194, 1558838939, 1558838940026
194, 1558838939, 1558838940122
194, 1558838939, 1558838940217
194, 1558838939, 1558838940312
194, 1558838939, 1558838940410
195, 1558838940, 1558838940513
195, 1558838940, 1558838940612
195, 1558838940, 1558838940706
195, 1558838940, 1558838940803
195, 1558838940, 1558838940899
195, 1558838940, 1558838940994
195, 1558838940, 1558838941092
195, 1558838940, 1558838941191
195, 1558838940, 1558838941289
195, 1558838940, 1558838941386
195, 1558838940, 1558838941480
195, 1558838941, 1558838941578
195, 1558838941, 1558838941671
195, 1558838941, 1558838941766
195, 1558838941, 1558838941860
195, 1558838941, 1558838941954
195, 1558838941, 1558838942049
195, 1558838941, 1558838942144
195, 1558838941, 1558838942238
195, 1558838941, 1558838942332
195, 1558838941, 1558838942426
194, 1558838942, 1558838942526
194, 1558838942, 1558838942619
194, 1558838942, 1558838942712
194, 1558838942, 1558838942809
194, 1558838942, 1558838942902
194, 1558838942, 1558838942997
194, 1558838942, 1558838943092
194, 1558838942, 1558838943186
194, 1558838942, 1558838943280
194, 1558838942, 1558838943375
194, 1558838942, 1558838943472
194, 1558838943, 1558838943567
194, 1558838943, 1558838943661
194, 1558838943, 1558838943756
194, 1558838943, 1558838943850
194, 1558838943, 1558838943946
194, 1558838943, 1558838944041
194, 1558838943, 1558838944136
194, 1558838943, 1558838944232
194, 1558838943, 1558838944324
194, 1558838943, 1558838944420
194, 1558838944, 1558838944524
194, 1558838944, 1558838944620
194, 1558838944, 1558838944714
194, 1558838944, 1558838944809
194, 1558838944, 1558838944904
194, 1558838944, 1558838944998
194, 1558838944, 1558838945092
194, 1558838944, 1558838945186
194, 1558838944, 1558838945280
194, 1558838944, 1558838945378
194, 1558838944, 1558838945472
194, 1558838945, 1558838945567
194, 1558838945, 1558838945660
194, 1558838945, 1558838945756
194, 1558838945, 1558838945853
194, 1558838945, 1558838945949
194, 1558838945, 1558838946041
194, 1558838945, 1558838946141
194, 1558838945, 1558838946240
194, 1558838945, 1558838946339
193, 1558838945, 1558838946437
193, 1558838946, 1558838946540
193, 1558838946, 1558838946640
193, 1558838946, 1558838946740
193, 1558838946, 1558838946839
193, 1558838946, 1558838946936
193, 1558838946, 1558838947035
193, 1558838946, 1558838947134
193, 1558838946, 1558838947232
193, 1558838946, 1558838947328
193, 1558838946, 1558838947424
193, 1558838946, 1558838947521
194, 1558838948, 1558838947634
194, 1558838948, 1558838947730
194, 1558838948, 1558838947827
194, 1558838948, 1558838947924
194, 1558838948, 1558838948019
194, 1558838948, 1558838948114
194, 1558838948, 1558838948209
194, 1558838948, 1558838948306
194, 1558838948, 1558838948404
194, 1558838948, 1558838948509
194, 1558838948, 1558838948602
194, 1558838948, 1558838948696
194, 1558838948, 1558838948792
194, 1558838948, 1558838948885
194, 1558838948, 1558838948981
194, 1558838948, 1558838949076
194, 1558838948, 1558838949171
194, 1558838948, 1558838949265
194, 1558838948, 1558838949361
194, 1558838948, 1558838949456
194, 1558838949, 1558838949558
194, 1558838949, 1558838949651
194, 1558838949, 1558838949746
194, 1558838949, 1558838949841
194, 1558838949, 1558838949934
194, 1558838949, 1558838950028
194, 1558838949, 1558838950123
194, 1558838949, 1558838950220
194, 1558838949, 1558838950314
194, 1558838949, 1558838950412
194, 1558838949, 1558838950505
194, 1558838950, 1558838950606
194, 1558838950, 1558838950704
194, 1558838950, 1558838950801
194, 1558838950, 1558838950897
194, 1558838950, 1558838950995
194, 1558838950, 1558838951090
194, 1558838950, 1558838951186
194, 1558838950, 1558838951281
194, 1558838950, 1558838951379
193, 1558838950, 1558838951476
193, 1558838951, 1558838951576
193, 1558838951, 1558838951674
193, 1558838951, 1558838951771
193, 1558838951, 1558838951868
193, 1558838951, 1558838951965
193, 1558838951, 1558838952062
193, 1558838951, 1558838952160
193, 1558838951, 1558838952260
193, 1558838951, 1558838952353
193, 1558838951, 1558838952448
194, 1558838952, 1558838952544
194, 1558838952, 1558838952642
194, 1558838952, 1558838952737
194, 1558838952, 1558838952831
194, 1558838952, 1558838952927
194, 1558838952, 1558838953024
194, 1558838952, 1558838953120
194, 1558838952, 1558838953215
194, 1558838952, 1558838953310
194, 1558838952, 1558838953406
194, 1558838953, 1558838953507
194, 1558838953, 1558838953604
194, 1558838953, 1558838953702
194, 1558838953, 1558838953796
194, 1558838953, 1558838953890
194, 1558838953, 1558838953984
194, 1558838953, 1558838954077
194, 1558838953, 1558838954172
194, 1558838953, 1558838954267
194, 1558838953, 1558838954363
194, 1558838953, 1558838954457
193, 1558838954, 1558838954553
193, 1558838954, 1558838954647
193, 1558838954, 1558838954745
193, 1558838954, 1558838954840
193, 1558838954, 1558838954936
193, 1558838954, 1558838955031
193, 1558838954, 1558838955125
193, 1558838954, 1558838955220
193, 1558838954, 1558838955315
193, 1558838954, 1558838955412
193, 1558838954, 1558838955506
193, 1558838954, 1558838955602
193, 1558838954, 1558838955696
193, 1558838954, 1558838955794
193, 1558838954, 1558838955889
193, 1558838954, 1558838955984
194, 1558838954, 1558838956079
194, 1558838956, 1558838956176
194, 1558838956, 1558838956270
194, 1558838956, 1558838956365
194, 1558838956, 1558838956463
194, 1558838956, 1558838956563
194, 1558838956, 1558838956659
194, 1558838956, 1558838956755
194, 1558838956, 1558838956849
194, 1558838956, 1558838956943
194, 1558838956, 1558838957038
194, 1558838956, 1558838957133
194, 1558838956, 1558838957227
194, 1558838956, 1558838957323
194, 1558838956, 1558838957418
195, 1558838957, 1558838957522
195, 1558838957, 1558838957616
195, 1558838957, 1558838957710
195, 1558838957, 1558838957804
195, 1558838957, 1558838957900
195, 1558838957, 1558838957994
195, 1558838957, 1558838958087
195, 1558838957, 1558838958183
195, 1558838957, 1558838958276
195, 1558838957, 1558838958374
195, 1558838957, 1558838958469
194, 1558838957, 1558838958563
194, 1558838959, 1558838958661
194, 1558838959, 1558838958758
194, 1558838959, 1558838958855
194, 1558838959, 1558838958949
194, 1558838959, 1558838959045
194, 1558838959, 1558838959140
194, 1558838959, 1558838959235
194, 1558838959, 1558838959329
194, 1558838959, 1558838959424
194, 1558838959, 1558838959525
194, 1558838959, 1558838959623
194, 1558838959, 1558838959717
194, 1558838959, 1558838959811
194, 1558838959, 1558838959909
194, 1558838959, 1558838960003
194, 1558838959, 1558838960099
194, 1558838959, 1558838960194
194, 1558838959, 1558838960290
194, 1558838959, 1558838960384
194, 1558838959, 1558838960479
194, 1558838959, 1558838960573
194, 1558838961, 1558838960675
194, 1558838961, 1558838960772
194, 1558838961, 1558838960866
194, 1558838961, 1558838960961
194, 1558838961, 1558838961056
194, 1558838961, 1558838961150
194, 1558838961, 1558838961244
194, 1558838961, 1558838961337
194, 1558838961, 1558838961433
194, 1558838961, 1558838961531
194, 1558838961, 1558838961627
194, 1558838961, 1558838961724
194, 1558838961, 1558838961821
194, 1558838961, 1558838961916
194, 1558838961, 1558838962011
194, 1558838961, 1558838962105
194, 1558838961, 1558838962201
194, 1558838961, 1558838962296
194, 1558838961, 1558838962392
195, 1558838961, 1558838962487
195, 1558838962, 1558838962584
195, 1558838962, 1558838962680
195, 1558838962, 1558838962777
195, 1558838962, 1558838962870
195, 1558838962, 1558838962965
195, 1558838962, 1558838963057
195, 1558838962, 1558838963152
195, 1558838962, 1558838963248
195, 1558838962, 1558838963343
195, 1558838962, 1558838963439
195, 1558838962, 1558838963534
195, 1558838963, 1558838963629
195, 1558838963, 1558838963726
195, 1558838963, 1558838963821
195, 1558838963, 1558838963916
195, 1558838963, 1558838964011
195, 1558838963, 1558838964107
195, 1558838963, 1558838964199
195, 1558838963, 1558838964291
195, 1558838963, 1558838964386
195, 1558838963, 1558838964483
194, 1558838963, 1558838964581
194, 1558838965, 1558838964683
194, 1558838965, 1558838964784
194, 1558838965, 1558838964880
194, 1558838965, 1558838964975
194, 1558838965, 1558838965070
194, 1558838965, 1558838965165
194, 1558838965, 1558838965261
194, 1558838965, 1558838965358
194, 1558838965, 1558838965454
195, 1558838965, 1558838965549
