Power(W), TimePDU(S), TimeNODE(mS)
158, 1558277340, 1558277340575
158, 1558277340, 1558277340669
158, 1558277340, 1558277340765
158, 1558277340, 1558277340862
158, 1558277340, 1558277340958
158, 1558277340, 1558277341053
158, 1558277340, 1558277341148
171, 1558277341, 1558277341249
171, 1558277341, 1558277341345
171, 1558277341, 1558277341440
171, 1558277341, 1558277341534
171, 1558277341, 1558277341629
171, 1558277341, 1558277341726
171, 1558277341, 1558277341821
171, 1558277341, 1558277341915
171, 1558277341, 1558277342010
171, 1558277341, 1558277342107
171, 1558277341, 1558277342201
182, 1558277343, 1558277342300
182, 1558277343, 1558277342396
182, 1558277343, 1558277342490
182, 1558277343, 1558277342586
182, 1558277343, 1558277342680
182, 1558277343, 1558277342774
182, 1558277343, 1558277342871
182, 1558277343, 1558277342965
182, 1558277343, 1558277343060
182, 1558277343, 1558277343157
182, 1558277343, 1558277343254
182, 1558277344, 1558277343352
182, 1558277344, 1558277343447
182, 1558277344, 1558277343541
182, 1558277344, 1558277343635
182, 1558277344, 1558277343731
182, 1558277344, 1558277343825
182, 1558277344, 1558277343920
182, 1558277344, 1558277344015
182, 1558277344, 1558277344108
182, 1558277344, 1558277344200
182, 1558277344, 1558277344298
182, 1558277344, 1558277344392
182, 1558277344, 1558277344487
182, 1558277344, 1558277344582
182, 1558277344, 1558277344677
182, 1558277344, 1558277344770
182, 1558277344, 1558277344866
182, 1558277344, 1558277344959
182, 1558277344, 1558277345053
182, 1558277344, 1558277345147
182, 1558277344, 1558277345241
182, 1558277345, 1558277345338
182, 1558277345, 1558277345434
182, 1558277345, 1558277345529
182, 1558277345, 1558277345622
182, 1558277345, 1558277345716
182, 1558277345, 1558277345811
182, 1558277345, 1558277345906
182, 1558277345, 1558277346001
182, 1558277345, 1558277346094
182, 1558277345, 1558277346190
182, 1558277346, 1558277346286
182, 1558277346, 1558277346382
182, 1558277346, 1558277346480
182, 1558277346, 1558277346574
182, 1558277346, 1558277346669
182, 1558277346, 1558277346765
182, 1558277346, 1558277346859
182, 1558277346, 1558277346954
182, 1558277346, 1558277347046
182, 1558277346, 1558277347142
182, 1558277346, 1558277347235
182, 1558277348, 1558277347334
182, 1558277348, 1558277347427
182, 1558277348, 1558277347521
182, 1558277348, 1558277347617
182, 1558277348, 1558277347711
182, 1558277348, 1558277347807
182, 1558277348, 1558277347903
182, 1558277348, 1558277347998
182, 1558277348, 1558277348092
182, 1558277348, 1558277348187
182, 1558277348, 1558277348286
182, 1558277348, 1558277348382
182, 1558277348, 1558277348480
182, 1558277348, 1558277348576
182, 1558277348, 1558277348668
182, 1558277348, 1558277348763
182, 1558277348, 1558277348858
182, 1558277348, 1558277348954
182, 1558277348, 1558277349050
182, 1558277348, 1558277349154
182, 1558277349, 1558277349258
182, 1558277349, 1558277349359
182, 1558277349, 1558277349458
182, 1558277349, 1558277349557
182, 1558277349, 1558277349654
182, 1558277349, 1558277349752
182, 1558277349, 1558277349850
182, 1558277349, 1558277349949
182, 1558277349, 1558277350048
182, 1558277349, 1558277350146
182, 1558277349, 1558277350242
182, 1558277350, 1558277350343
182, 1558277350, 1558277350441
182, 1558277350, 1558277350544
182, 1558277350, 1558277350642
182, 1558277350, 1558277350742
182, 1558277350, 1558277350840
182, 1558277350, 1558277350936
182, 1558277350, 1558277351028
182, 1558277350, 1558277351125
182, 1558277350, 1558277351222
182, 1558277351, 1558277351317
182, 1558277351, 1558277351411
182, 1558277351, 1558277351506
182, 1558277351, 1558277351600
182, 1558277351, 1558277351697
182, 1558277351, 1558277351793
182, 1558277351, 1558277351892
182, 1558277351, 1558277351991
182, 1558277351, 1558277352088
182, 1558277351, 1558277352184
182, 1558277352, 1558277352282
182, 1558277352, 1558277352378
182, 1558277352, 1558277352473
182, 1558277352, 1558277352569
182, 1558277352, 1558277352666
182, 1558277352, 1558277352762
182, 1558277352, 1558277352858
182, 1558277352, 1558277352956
182, 1558277352, 1558277353053
182, 1558277352, 1558277353155
182, 1558277352, 1558277353255
182, 1558277354, 1558277353355
182, 1558277354, 1558277353454
182, 1558277354, 1558277353553
182, 1558277354, 1558277353654
182, 1558277354, 1558277353754
182, 1558277354, 1558277353856
182, 1558277354, 1558277353960
182, 1558277354, 1558277354061
182, 1558277354, 1558277354164
182, 1558277354, 1558277354268
182, 1558277354, 1558277354374
182, 1558277354, 1558277354480
182, 1558277354, 1558277354588
182, 1558277354, 1558277354696
182, 1558277354, 1558277354803
182, 1558277354, 1558277354913
182, 1558277354, 1558277355024
182, 1558277354, 1558277355134
182, 1558277354, 1558277355244
182, 1558277355, 1558277355357
182, 1558277355, 1558277355469
182, 1558277355, 1558277355581
182, 1558277355, 1558277355695
182, 1558277355, 1558277355809
182, 1558277355, 1558277355926
182, 1558277355, 1558277356035
182, 1558277355, 1558277356146
182, 1558277355, 1558277356259
182, 1558277357, 1558277356375
182, 1558277357, 1558277356487
182, 1558277357, 1558277356598
182, 1558277357, 1558277356708
182, 1558277357, 1558277356820
182, 1558277357, 1558277356928
182, 1558277357, 1558277357037
182, 1558277357, 1558277357147
182, 1558277357, 1558277357260
182, 1558277357, 1558277357369
182, 1558277357, 1558277357481
182, 1558277357, 1558277357594
182, 1558277357, 1558277357707
182, 1558277357, 1558277357819
182, 1558277357, 1558277357934
182, 1558277357, 1558277358050
182, 1558277357, 1558277358166
182, 1558277357, 1558277358282
182, 1558277359, 1558277358398
182, 1558277359, 1558277358514
182, 1558277359, 1558277358633
182, 1558277359, 1558277358755
182, 1558277359, 1558277358873
182, 1558277359, 1558277358994
182, 1558277359, 1558277359116
183, 1558277359, 1558277359237
183, 1558277359, 1558277359359
183, 1558277359, 1558277359483
183, 1558277359, 1558277359603
183, 1558277359, 1558277359725
183, 1558277359, 1558277359844
183, 1558277359, 1558277359968
183, 1558277359, 1558277360091
182, 1558277359, 1558277360213
182, 1558277360, 1558277360338
182, 1558277360, 1558277360459
182, 1558277360, 1558277360580
182, 1558277360, 1558277360698
182, 1558277360, 1558277360817
182, 1558277360, 1558277360933
182, 1558277360, 1558277361051
182, 1558277360, 1558277361169
182, 1558277360, 1558277361287
182, 1558277362, 1558277361408
182, 1558277362, 1558277361528
182, 1558277362, 1558277361645
182, 1558277362, 1558277361763
182, 1558277362, 1558277361881
182, 1558277362, 1558277361996
182, 1558277362, 1558277362111
182, 1558277362, 1558277362226
182, 1558277362, 1558277362343
182, 1558277362, 1558277362458
182, 1558277362, 1558277362573
182, 1558277362, 1558277362690
182, 1558277362, 1558277362807
182, 1558277362, 1558277362923
182, 1558277362, 1558277363042
183, 1558277362, 1558277363159
183, 1558277363, 1558277363277
183, 1558277363, 1558277363393
183, 1558277363, 1558277363510
183, 1558277363, 1558277363625
183, 1558277363, 1558277363740
183, 1558277363, 1558277363854
183, 1558277363, 1558277363968
183, 1558277363, 1558277364082
183, 1558277363, 1558277364195
183, 1558277364, 1558277364310
183, 1558277364, 1558277364423
183, 1558277364, 1558277364538
183, 1558277364, 1558277364651
183, 1558277364, 1558277364765
183, 1558277364, 1558277364879
183, 1558277364, 1558277364992
183, 1558277364, 1558277365103
183, 1558277364, 1558277365216
183, 1558277365, 1558277365332
183, 1558277365, 1558277365450
183, 1558277365, 1558277365564
183, 1558277365, 1558277365681
183, 1558277365, 1558277365797
183, 1558277365, 1558277365909
183, 1558277365, 1558277366024
183, 1558277365, 1558277366140
184, 1558277365, 1558277366257
184, 1558277366, 1558277366376
184, 1558277366, 1558277366494
184, 1558277366, 1558277366613
184, 1558277366, 1558277366731
184, 1558277366, 1558277366847
184, 1558277366, 1558277366963
184, 1558277366, 1558277367081
184, 1558277366, 1558277367199
183, 1558277366, 1558277367315
183, 1558277368, 1558277367436
183, 1558277368, 1558277367551
183, 1558277368, 1558277367666
183, 1558277368, 1558277367780
183, 1558277368, 1558277367894
183, 1558277368, 1558277368011
183, 1558277368, 1558277368125
183, 1558277368, 1558277368242
183, 1558277368, 1558277368361
182, 1558277368, 1558277368478
182, 1558277369, 1558277368597
182, 1558277369, 1558277368714
182, 1558277369, 1558277368832
182, 1558277369, 1558277368952
182, 1558277369, 1558277369075
182, 1558277369, 1558277369197
