Power(W), TimePDU(S), TimeNODE(mS)
175, 1558626443, 1558626445095
175, 1558626444, 1558626445214
175, 1558626444, 1558626445332
175, 1558626444, 1558626445448
175, 1558626444, 1558626445563
175, 1558626444, 1558626445674
175, 1558626444, 1558626445786
175, 1558626444, 1558626445897
175, 1558626444, 1558626446007
175, 1558626444, 1558626446115
189, 1558626444, 1558626446223
189, 1558626445, 1558626446331
189, 1558626445, 1558626446438
189, 1558626445, 1558626446545
189, 1558626445, 1558626446654
189, 1558626445, 1558626446764
189, 1558626445, 1558626446878
189, 1558626445, 1558626446992
189, 1558626445, 1558626447105
191, 1558626445, 1558626447218
191, 1558626446, 1558626447333
191, 1558626446, 1558626447444
191, 1558626446, 1558626447556
191, 1558626446, 1558626447669
191, 1558626446, 1558626447784
191, 1558626446, 1558626447900
191, 1558626446, 1558626448015
192, 1558626446, 1558626448132
192, 1558626447, 1558626448255
192, 1558626447, 1558626448373
192, 1558626447, 1558626448492
192, 1558626447, 1558626448613
192, 1558626447, 1558626448733
192, 1558626447, 1558626448854
192, 1558626447, 1558626448971
191, 1558626447, 1558626449091
191, 1558626448, 1558626449214
191, 1558626448, 1558626449334
191, 1558626448, 1558626449449
191, 1558626448, 1558626449566
191, 1558626448, 1558626449683
191, 1558626448, 1558626449801
191, 1558626448, 1558626449918
191, 1558626448, 1558626450035
191, 1558626448, 1558626450152
191, 1558626449, 1558626450269
191, 1558626449, 1558626450387
191, 1558626449, 1558626450508
191, 1558626449, 1558626450628
191, 1558626449, 1558626450748
191, 1558626449, 1558626450869
191, 1558626449, 1558626450988
191, 1558626449, 1558626451108
191, 1558626450, 1558626451231
191, 1558626450, 1558626451349
191, 1558626450, 1558626451468
191, 1558626450, 1558626451588
191, 1558626450, 1558626451708
191, 1558626450, 1558626451828
191, 1558626450, 1558626451945
191, 1558626450, 1558626452063
191, 1558626450, 1558626452180
191, 1558626451, 1558626452297
191, 1558626451, 1558626452412
191, 1558626451, 1558626452530
191, 1558626451, 1558626452646
191, 1558626451, 1558626452763
191, 1558626451, 1558626452881
191, 1558626451, 1558626452999
191, 1558626451, 1558626453117
191, 1558626451, 1558626453233
191, 1558626452, 1558626453353
191, 1558626452, 1558626453470
191, 1558626452, 1558626453586
191, 1558626452, 1558626453702
191, 1558626452, 1558626453818
191, 1558626452, 1558626453933
191, 1558626452, 1558626454049
191, 1558626452, 1558626454161
191, 1558626452, 1558626454275
191, 1558626452, 1558626454388
191, 1558626452, 1558626454499
191, 1558626453, 1558626454609
191, 1558626453, 1558626454718
191, 1558626453, 1558626454828
191, 1558626453, 1558626454936
191, 1558626453, 1558626455045
191, 1558626453, 1558626455154
191, 1558626453, 1558626455264
191, 1558626453, 1558626455374
191, 1558626454, 1558626455482
191, 1558626454, 1558626455591
191, 1558626454, 1558626455700
191, 1558626454, 1558626455807
191, 1558626454, 1558626455914
191, 1558626454, 1558626456022
191, 1558626454, 1558626456132
191, 1558626455, 1558626456242
191, 1558626455, 1558626456351
191, 1558626455, 1558626456457
191, 1558626455, 1558626456562
191, 1558626455, 1558626456668
191, 1558626455, 1558626456775
191, 1558626455, 1558626456879
191, 1558626455, 1558626456982
191, 1558626455, 1558626457085
191, 1558626455, 1558626457190
191, 1558626456, 1558626457299
191, 1558626456, 1558626457405
191, 1558626456, 1558626457509
191, 1558626456, 1558626457613
191, 1558626456, 1558626457716
191, 1558626456, 1558626457818
191, 1558626456, 1558626457920
191, 1558626456, 1558626458024
191, 1558626456, 1558626458127
191, 1558626457, 1558626458235
191, 1558626457, 1558626458341
191, 1558626457, 1558626458445
191, 1558626457, 1558626458549
191, 1558626457, 1558626458654
191, 1558626457, 1558626458760
191, 1558626457, 1558626458866
191, 1558626457, 1558626458969
191, 1558626457, 1558626459073
192, 1558626457, 1558626459181
192, 1558626458, 1558626459289
192, 1558626458, 1558626459396
192, 1558626458, 1558626459501
192, 1558626458, 1558626459604
192, 1558626458, 1558626459707
192, 1558626458, 1558626459812
192, 1558626458, 1558626459917
192, 1558626458, 1558626460019
192, 1558626458, 1558626460124
191, 1558626459, 1558626460229
