Power(W), TimePDU(S), TimeNODE(mS)
257, 1558561231, 1558561232316
257, 1558561231, 1558561232393
257, 1558561231, 1558561232470
257, 1558561231, 1558561232546
265, 1558561232, 1558561232625
265, 1558561232, 1558561232702
265, 1558561232, 1558561232778
265, 1558561232, 1558561232856
265, 1558561232, 1558561232932
265, 1558561232, 1558561233009
265, 1558561232, 1558561233086
265, 1558561232, 1558561233163
265, 1558561232, 1558561233241
265, 1558561232, 1558561233318
265, 1558561232, 1558561233438
265, 1558561232, 1558561233558
279, 1558561232, 1558561233676
279, 1558561233, 1558561233794
279, 1558561233, 1558561233909
279, 1558561233, 1558561234024
279, 1558561233, 1558561234136
279, 1558561233, 1558561234249
279, 1558561233, 1558561234361
279, 1558561233, 1558561234474
280, 1558561233, 1558561234589
280, 1558561234, 1558561234705
280, 1558561234, 1558561234817
280, 1558561234, 1558561234928
280, 1558561234, 1558561235037
280, 1558561234, 1558561235146
280, 1558561234, 1558561235258
280, 1558561234, 1558561235370
280, 1558561234, 1558561235482
279, 1558561234, 1558561235596
279, 1558561235, 1558561235714
279, 1558561235, 1558561235831
279, 1558561235, 1558561235945
279, 1558561235, 1558561236051
279, 1558561235, 1558561236162
279, 1558561235, 1558561236274
279, 1558561235, 1558561236390
279, 1558561235, 1558561236505
280, 1558561235, 1558561236622
280, 1558561236, 1558561236738
280, 1558561236, 1558561237324
280, 1558561236, 1558561237424
280, 1558561236, 1558561237528
281, 1558561236, 1558561237630
281, 1558561237, 1558561237731
281, 1558561237, 1558561237831
281, 1558561237, 1558561237931
281, 1558561237, 1558561238031
281, 1558561237, 1558561238129
281, 1558561237, 1558561238228
281, 1558561237, 1558561238327
281, 1558561237, 1558561238429
281, 1558561237, 1558561238531
281, 1558561237, 1558561238631
281, 1558561237, 1558561238731
281, 1558561237, 1558561238830
282, 1558561239, 1558561238932
282, 1558561239, 1558561239033
282, 1558561239, 1558561239131
282, 1558561239, 1558561239226
282, 1558561239, 1558561239322
282, 1558561239, 1558561239418
282, 1558561239, 1558561239513
282, 1558561239, 1558561239609
282, 1558561239, 1558561239714
282, 1558561239, 1558561239809
282, 1558561239, 1558561239903
282, 1558561239, 1558561240001
282, 1558561239, 1558561240094
282, 1558561239, 1558561240192
282, 1558561239, 1558561240288
282, 1558561239, 1558561240383
282, 1558561239, 1558561240479
282, 1558561239, 1558561240576
282, 1558561239, 1558561240671
282, 1558561239, 1558561240768
282, 1558561239, 1558561240864
281, 1558561239, 1558561240961
281, 1558561241, 1558561241059
281, 1558561241, 1558561241156
281, 1558561241, 1558561241251
281, 1558561241, 1558561241349
281, 1558561241, 1558561241444
281, 1558561241, 1558561241543
281, 1558561241, 1558561241637
281, 1558561241, 1558561241735
281, 1558561241, 1558561241832
281, 1558561241, 1558561241925
281, 1558561241, 1558561242018
281, 1558561241, 1558561242114
281, 1558561241, 1558561242210
281, 1558561241, 1558561242306
281, 1558561241, 1558561242399
281, 1558561241, 1558561242494
281, 1558561241, 1558561242587
281, 1558561242, 1558561242685
281, 1558561242, 1558561242781
281, 1558561242, 1558561242879
281, 1558561242, 1558561242976
281, 1558561242, 1558561243073
