Power(W), TimePDU(S), TimeNODE(mS)
252, 1558647464, 1558647464583
252, 1558647464, 1558647464678
252, 1558647464, 1558647464773
252, 1558647464, 1558647464868
252, 1558647464, 1558647464964
252, 1558647464, 1558647465058
252, 1558647464, 1558647465156
252, 1558647464, 1558647465250
252, 1558647464, 1558647465344
252, 1558647464, 1558647465441
252, 1558647464, 1558647465535
293, 1558647465, 1558647465636
293, 1558647465, 1558647465734
293, 1558647465, 1558647465828
293, 1558647465, 1558647465923
293, 1558647465, 1558647466018
293, 1558647465, 1558647466110
293, 1558647465, 1558647466204
293, 1558647465, 1558647466296
293, 1558647465, 1558647466392
310, 1558647465, 1558647466490
310, 1558647466, 1558647466585
310, 1558647466, 1558647466676
310, 1558647466, 1558647466775
310, 1558647466, 1558647466872
310, 1558647466, 1558647466967
310, 1558647466, 1558647467057
310, 1558647466, 1558647467153
310, 1558647466, 1558647467251
310, 1558647466, 1558647467346
310, 1558647466, 1558647467441
310, 1558647467, 1558647467542
310, 1558647467, 1558647467640
310, 1558647467, 1558647467735
310, 1558647467, 1558647467828
310, 1558647467, 1558647467924
310, 1558647467, 1558647468018
310, 1558647467, 1558647468111
310, 1558647467, 1558647468206
310, 1558647467, 1558647468301
310, 1558647467, 1558647468397
310, 1558647467, 1558647468492
310, 1558647468, 1558647468587
310, 1558647468, 1558647468683
310, 1558647468, 1558647468777
310, 1558647468, 1558647468873
310, 1558647468, 1558647468967
310, 1558647468, 1558647469062
310, 1558647468, 1558647469159
310, 1558647468, 1558647469254
310, 1558647468, 1558647469350
310, 1558647468, 1558647469446
310, 1558647468, 1558647469544
310, 1558647470, 1558647469641
310, 1558647470, 1558647469737
310, 1558647470, 1558647469831
310, 1558647470, 1558647469929
310, 1558647470, 1558647470024
310, 1558647470, 1558647470119
310, 1558647470, 1558647470213
310, 1558647470, 1558647470305
310, 1558647470, 1558647470402
311, 1558647470, 1558647470497
311, 1558647470, 1558647470597
311, 1558647470, 1558647470691
311, 1558647470, 1558647470784
311, 1558647470, 1558647470880
311, 1558647470, 1558647470978
311, 1558647470, 1558647471072
311, 1558647470, 1558647471169
311, 1558647470, 1558647471264
311, 1558647470, 1558647471365
311, 1558647470, 1558647471462
313, 1558647471, 1558647471564
313, 1558647471, 1558647471664
313, 1558647471, 1558647471762
313, 1558647471, 1558647471861
313, 1558647471, 1558647471957
313, 1558647471, 1558647472054
313, 1558647471, 1558647472152
313, 1558647471, 1558647472247
313, 1558647471, 1558647472341
313, 1558647471, 1558647472438
313, 1558647471, 1558647472534
314, 1558647471, 1558647472635
314, 1558647473, 1558647472729
314, 1558647473, 1558647472822
314, 1558647473, 1558647472919
314, 1558647473, 1558647473015
314, 1558647473, 1558647473107
314, 1558647473, 1558647473203
314, 1558647473, 1558647473298
314, 1558647473, 1558647473394
314, 1558647473, 1558647473488
304, 1558647473, 1558647473599
304, 1558647473, 1558647473698
304, 1558647473, 1558647473796
304, 1558647473, 1558647473895
304, 1558647473, 1558647473996
304, 1558647473, 1558647474097
304, 1558647473, 1558647474196
304, 1558647473, 1558647474297
304, 1558647473, 1558647474397
301, 1558647473, 1558647474498
301, 1558647474, 1558647474594
301, 1558647474, 1558647474694
301, 1558647474, 1558647474793
301, 1558647474, 1558647474892
301, 1558647474, 1558647474991
301, 1558647474, 1558647475089
301, 1558647474, 1558647475186
301, 1558647474, 1558647475280
301, 1558647474, 1558647475374
283, 1558647474, 1558647475471
283, 1558647475, 1558647475566
