Power(W), TimePDU(S), TimeNODE(mS)
257, 1558565615, 1558565614529
257, 1558565615, 1558565614624
257, 1558565615, 1558565614719
257, 1558565615, 1558565614813
257, 1558565615, 1558565614906
257, 1558565615, 1558565615000
257, 1558565615, 1558565615094
270, 1558565615, 1558565615189
270, 1558565616, 1558565615289
270, 1558565616, 1558565615390
270, 1558565616, 1558565615491
270, 1558565616, 1558565615591
270, 1558565616, 1558565615692
270, 1558565616, 1558565615793
270, 1558565616, 1558565615895
270, 1558565616, 1558565615998
270, 1558565616, 1558565616102
282, 1558565616, 1558565616211
282, 1558565617, 1558565616315
282, 1558565617, 1558565616417
282, 1558565617, 1558565616518
282, 1558565617, 1558565616620
282, 1558565617, 1558565616719
282, 1558565617, 1558565616819
282, 1558565617, 1558565616917
282, 1558565617, 1558565617012
282, 1558565617, 1558565617108
282, 1558565618, 1558565617212
282, 1558565618, 1558565617307
282, 1558565618, 1558565617402
282, 1558565618, 1558565617501
282, 1558565618, 1558565617595
282, 1558565618, 1558565617690
282, 1558565618, 1558565617782
282, 1558565618, 1558565617872
282, 1558565618, 1558565617969
282, 1558565618, 1558565618065
282, 1558565618, 1558565618158
282, 1558565619, 1558565618261
282, 1558565619, 1558565618357
282, 1558565619, 1558565618452
282, 1558565619, 1558565618547
282, 1558565619, 1558565618641
282, 1558565619, 1558565618735
282, 1558565619, 1558565618830
282, 1558565619, 1558565618926
282, 1558565619, 1558565619022
282, 1558565619, 1558565619119
282, 1558565620, 1558565619224
282, 1558565620, 1558565619328
282, 1558565620, 1558565619433
282, 1558565620, 1558565619537
282, 1558565620, 1558565619639
282, 1558565620, 1558565619743
282, 1558565620, 1558565619848
282, 1558565620, 1558565619953
282, 1558565620, 1558565620061
282, 1558565620, 1558565620168
282, 1558565621, 1558565620277
282, 1558565621, 1558565620386
282, 1558565621, 1558565620496
282, 1558565621, 1558565620608
282, 1558565621, 1558565620720
282, 1558565621, 1558565620829
282, 1558565621, 1558565620940
