Power(W), TimePDU(S), TimeNODE(mS)
257, 1558546624, 1558546624554
257, 1558546624, 1558546624651
257, 1558546624, 1558546624747
257, 1558546624, 1558546624843
257, 1558546624, 1558546624941
257, 1558546624, 1558546625036
257, 1558546624, 1558546625132
269, 1558546625, 1558546625236
269, 1558546625, 1558546625334
269, 1558546625, 1558546625433
269, 1558546625, 1558546625532
269, 1558546625, 1558546625630
269, 1558546625, 1558546625726
269, 1558546625, 1558546625823
269, 1558546625, 1558546625922
269, 1558546625, 1558546626023
269, 1558546625, 1558546626125
282, 1558546626, 1558546626227
282, 1558546626, 1558546626327
282, 1558546626, 1558546626428
282, 1558546626, 1558546626526
282, 1558546626, 1558546626624
282, 1558546626, 1558546626720
282, 1558546626, 1558546626816
282, 1558546626, 1558546626913
282, 1558546626, 1558546627006
282, 1558546626, 1558546627105
281, 1558546626, 1558546627204
281, 1558546627, 1558546627299
281, 1558546627, 1558546627396
281, 1558546627, 1558546627493
281, 1558546627, 1558546627589
281, 1558546627, 1558546627687
281, 1558546627, 1558546627783
281, 1558546627, 1558546627879
281, 1558546627, 1558546627975
281, 1558546627, 1558546628076
281, 1558546627, 1558546628177
282, 1558546628, 1558546628278
282, 1558546628, 1558546628378
282, 1558546628, 1558546628479
282, 1558546628, 1558546628579
282, 1558546628, 1558546628678
282, 1558546628, 1558546628777
282, 1558546628, 1558546628877
282, 1558546628, 1558546628976
282, 1558546628, 1558546629079
282, 1558546628, 1558546629182
282, 1558546629, 1558546629291
282, 1558546629, 1558546629395
282, 1558546629, 1558546629497
282, 1558546629, 1558546629598
282, 1558546629, 1558546629699
282, 1558546629, 1558546629801
282, 1558546629, 1558546629905
282, 1558546629, 1558546630010
282, 1558546629, 1558546630115
282, 1558546630, 1558546630223
282, 1558546630, 1558546630333
282, 1558546630, 1558546630446
282, 1558546630, 1558546630559
282, 1558546630, 1558546630672
282, 1558546630, 1558546630786
282, 1558546630, 1558546630904
282, 1558546630, 1558546631020
281, 1558546630, 1558546631136
281, 1558546631, 1558546631254
281, 1558546631, 1558546631371
281, 1558546631, 1558546631487
281, 1558546631, 1558546631605
281, 1558546631, 1558546631723
281, 1558546631, 1558546631841
281, 1558546631, 1558546631953
281, 1558546631, 1558546632068
281, 1558546631, 1558546632179
281, 1558546631, 1558546632292
281, 1558546631, 1558546632405
282, 1558546631, 1558546632517
282, 1558546632, 1558546632630
282, 1558546632, 1558546632742
282, 1558546632, 1558546632854
282, 1558546632, 1558546632966
281, 1558546632, 1558546633080
281, 1558546633, 1558546633197
281, 1558546633, 1558546633309
281, 1558546633, 1558546633420
281, 1558546633, 1558546633532
281, 1558546633, 1558546633646
281, 1558546633, 1558546633758
281, 1558546633, 1558546633870
281, 1558546633, 1558546633983
281, 1558546633, 1558546634099
282, 1558546633, 1558546634212
282, 1558546634, 1558546634329
282, 1558546634, 1558546634444
282, 1558546634, 1558546634556
282, 1558546634, 1558546634669
282, 1558546634, 1558546634781
282, 1558546634, 1558546634895
282, 1558546634, 1558546635009
282, 1558546634, 1558546635124
282, 1558546635, 1558546635241
282, 1558546635, 1558546635356
282, 1558546635, 1558546635470
282, 1558546635, 1558546635584
282, 1558546635, 1558546635699
282, 1558546635, 1558546635813
282, 1558546635, 1558546635928
282, 1558546635, 1558546636041
282, 1558546635, 1558546636155
282, 1558546636, 1558546636269
282, 1558546636, 1558546636381
282, 1558546636, 1558546636490
282, 1558546636, 1558546636601
282, 1558546636, 1558546636712
282, 1558546636, 1558546636824
282, 1558546636, 1558546636935
282, 1558546636, 1558546637047
282, 1558546636, 1558546637158
282, 1558546637, 1558546637272
282, 1558546637, 1558546637384
282, 1558546637, 1558546637498
282, 1558546637, 1558546637608
282, 1558546637, 1558546637719
282, 1558546637, 1558546637832
282, 1558546637, 1558546637944
282, 1558546637, 1558546638056
282, 1558546637, 1558546638169
282, 1558546638, 1558546638286
282, 1558546638, 1558546638398
282, 1558546638, 1558546638513
282, 1558546638, 1558546638626
282, 1558546638, 1558546638739
282, 1558546638, 1558546638852
282, 1558546638, 1558546638969
282, 1558546638, 1558546639085
282, 1558546638, 1558546639201
282, 1558546638, 1558546639318
282, 1558546639, 1558546639434
282, 1558546639, 1558546639550
282, 1558546639, 1558546639667
282, 1558546639, 1558546639784
282, 1558546639, 1558546639902
282, 1558546639, 1558546640021
282, 1558546639, 1558546640137
282, 1558546640, 1558546640254
282, 1558546640, 1558546640371
282, 1558546640, 1558546640489
282, 1558546640, 1558546640605
282, 1558546640, 1558546640722
282, 1558546640, 1558546640839
282, 1558546640, 1558546640957
282, 1558546640, 1558546641075
282, 1558546641, 1558546641193
282, 1558546641, 1558546641311
282, 1558546641, 1558546641428
282, 1558546641, 1558546641544
282, 1558546641, 1558546641661
282, 1558546641, 1558546641776
282, 1558546641, 1558546641891
282, 1558546641, 1558546642008
282, 1558546641, 1558546642124
282, 1558546642, 1558546642241
282, 1558546642, 1558546642356
282, 1558546642, 1558546642472
282, 1558546642, 1558546642588
282, 1558546642, 1558546642704
282, 1558546642, 1558546642819
282, 1558546642, 1558546642937
282, 1558546642, 1558546643055
282, 1558546643, 1558546643176
282, 1558546643, 1558546643293
282, 1558546643, 1558546643413
282, 1558546643, 1558546643533
282, 1558546643, 1558546643652
282, 1558546643, 1558546643773
282, 1558546643, 1558546643895
282, 1558546643, 1558546644015
282, 1558546643, 1558546644134
282, 1558546644, 1558546644252
282, 1558546644, 1558546644371
282, 1558546644, 1558546644492
282, 1558546644, 1558546644612
282, 1558546644, 1558546644731
282, 1558546644, 1558546644847
282, 1558546644, 1558546644961
282, 1558546644, 1558546645077
282, 1558546645, 1558546645199
282, 1558546645, 1558546645314
282, 1558546645, 1558546645432
282, 1558546645, 1558546645549
282, 1558546645, 1558546645666
282, 1558546645, 1558546645784
282, 1558546645, 1558546645904
282, 1558546645, 1558546646024
282, 1558546645, 1558546646143
282, 1558546645, 1558546646260
282, 1558546645, 1558546646378
282, 1558546645, 1558546646495
282, 1558546646, 1558546646614
282, 1558546646, 1558546646731
282, 1558546646, 1558546646848
282, 1558546646, 1558546646964
282, 1558546646, 1558546647080
282, 1558546647, 1558546647198
282, 1558546647, 1558546647312
282, 1558546647, 1558546647425
282, 1558546647, 1558546647540
282, 1558546647, 1558546647653
282, 1558546647, 1558546647768
282, 1558546647, 1558546647880
282, 1558546647, 1558546647989
282, 1558546647, 1558546648101
282, 1558546647, 1558546648215
282, 1558546648, 1558546648326
282, 1558546648, 1558546648439
282, 1558546648, 1558546648552
282, 1558546648, 1558546648668
282, 1558546648, 1558546648784
282, 1558546648, 1558546648902
282, 1558546648, 1558546649019
282, 1558546648, 1558546649137
282, 1558546648, 1558546649269
282, 1558546649, 1558546649385
282, 1558546649, 1558546649502
282, 1558546649, 1558546649617
282, 1558546649, 1558546649728
282, 1558546649, 1558546649841
282, 1558546649, 1558546649952
282, 1558546649, 1558546650064
282, 1558546649, 1558546650175
282, 1558546650, 1558546650290
282, 1558546650, 1558546650406
282, 1558546650, 1558546650522
282, 1558546650, 1558546650640
282, 1558546650, 1558546650756
282, 1558546650, 1558546650871
282, 1558546650, 1558546650988
282, 1558546650, 1558546651103
282, 1558546650, 1558546651219
282, 1558546651, 1558546651334
282, 1558546651, 1558546651447
282, 1558546651, 1558546651565
282, 1558546651, 1558546651676
282, 1558546651, 1558546651786
282, 1558546651, 1558546651896
282, 1558546651, 1558546652002
282, 1558546651, 1558546652115
283, 1558546652, 1558546652230
283, 1558546652, 1558546652341
283, 1558546652, 1558546652449
283, 1558546652, 1558546652559
283, 1558546652, 1558546652667
283, 1558546652, 1558546652773
283, 1558546652, 1558546652882
283, 1558546652, 1558546652989
283, 1558546652, 1558546653096
283, 1558546652, 1558546653203
283, 1558546652, 1558546653314
283, 1558546652, 1558546653426
283, 1558546653, 1558546653542
283, 1558546653, 1558546653651
283, 1558546653, 1558546653764
283, 1558546653, 1558546653876
283, 1558546653, 1558546653988
283, 1558546653, 1558546654098
283, 1558546653, 1558546654209
283, 1558546654, 1558546654322
