Power(W), TimePDU(S), TimeNODE(mS)
255, 1558179920, 1558179920378
255, 1558179920, 1558179920478
255, 1558179920, 1558179920574
255, 1558179920, 1558179920671
255, 1558179920, 1558179920766
265, 1558179921, 1558179920876
265, 1558179921, 1558179920977
265, 1558179921, 1558179921079
265, 1558179921, 1558179921173
265, 1558179921, 1558179921295
265, 1558179921, 1558179921415
265, 1558179921, 1558179921535
265, 1558179921, 1558179921655
280, 1558179921, 1558179921776
280, 1558179922, 1558179921896
280, 1558179922, 1558179922016
280, 1558179922, 1558179922137
280, 1558179922, 1558179922257
280, 1558179922, 1558179922378
280, 1558179922, 1558179922499
280, 1558179922, 1558179922617
282, 1558179922, 1558179922735
282, 1558179923, 1558179922856
282, 1558179923, 1558179922975
282, 1558179923, 1558179923095
282, 1558179923, 1558179923213
282, 1558179923, 1558179923326
282, 1558179923, 1558179923435
282, 1558179923, 1558179923550
282, 1558179923, 1558179923659
282, 1558179923, 1558179923766
282, 1558179924, 1558179923874
282, 1558179924, 1558179923980
282, 1558179924, 1558179924085
282, 1558179924, 1558179924195
282, 1558179924, 1558179924303
282, 1558179924, 1558179924410
282, 1558179924, 1558179924514
282, 1558179924, 1558179924619
282, 1558179924, 1558179924726
282, 1558179924, 1558179924834
282, 1558179925, 1558179924941
282, 1558179925, 1558179925046
282, 1558179925, 1558179925151
282, 1558179925, 1558179925257
282, 1558179925, 1558179925363
282, 1558179925, 1558179925467
282, 1558179925, 1558179925570
282, 1558179925, 1558179925673
282, 1558179925, 1558179925777
282, 1558179926, 1558179925875
282, 1558179926, 1558179925973
282, 1558179926, 1558179926072
282, 1558179926, 1558179926207
282, 1558179926, 1558179926318
282, 1558179926, 1558179926431
282, 1558179926, 1558179926544
282, 1558179926, 1558179926657
281, 1558179926, 1558179926771
281, 1558179927, 1558179926884
281, 1558179927, 1558179926998
281, 1558179927, 1558179927112
281, 1558179927, 1558179927226
281, 1558179927, 1558179927342
281, 1558179927, 1558179927455
281, 1558179927, 1558179927572
281, 1558179927, 1558179927689
282, 1558179928, 1558179927807
282, 1558179928, 1558179927923
282, 1558179928, 1558179928041
282, 1558179928, 1558179928158
282, 1558179928, 1558179928274
282, 1558179928, 1558179928386
282, 1558179928, 1558179928497
282, 1558179928, 1558179928611
282, 1558179928, 1558179928725
282, 1558179928, 1558179928831
282, 1558179929, 1558179928944
282, 1558179929, 1558179929053
282, 1558179929, 1558179929163
282, 1558179929, 1558179929273
282, 1558179929, 1558179929383
282, 1558179929, 1558179929494
282, 1558179929, 1558179929604
282, 1558179929, 1558179929713
282, 1558179930, 1558179929826
282, 1558179930, 1558179929931
282, 1558179930, 1558179930038
282, 1558179930, 1558179930152
282, 1558179930, 1558179930269
282, 1558179930, 1558179930385
282, 1558179930, 1558179930503
282, 1558179930, 1558179930620
282, 1558179930, 1558179930738
282, 1558179931, 1558179930859
282, 1558179931, 1558179930975
282, 1558179931, 1558179931092
282, 1558179931, 1558179931206
282, 1558179931, 1558179931290
282, 1558179931, 1558179931411
282, 1558179931, 1558179931532
282, 1558179931, 1558179931655
283, 1558179931, 1558179931775
283, 1558179932, 1558179931895
283, 1558179932, 1558179932013
283, 1558179932, 1558179932131
283, 1558179932, 1558179932250
283, 1558179932, 1558179932366
283, 1558179932, 1558179932481
283, 1558179932, 1558179932593
