Power(W), TimePDU(S), TimeNODE(mS)
158, 1558133386, 1558133386421
158, 1558133386, 1558133386519
158, 1558133386, 1558133386618
158, 1558133386, 1558133386719
167, 1558133386, 1558133386820
167, 1558133387, 1558133386924
167, 1558133387, 1558133387029
167, 1558133387, 1558133387131
167, 1558133387, 1558133387231
167, 1558133387, 1558133387332
167, 1558133387, 1558133387429
167, 1558133387, 1558133387528
167, 1558133387, 1558133387628
167, 1558133387, 1558133387730
182, 1558133387, 1558133387835
182, 1558133388, 1558133387940
182, 1558133388, 1558133388043
182, 1558133388, 1558133388147
182, 1558133388, 1558133388249
182, 1558133388, 1558133388351
182, 1558133388, 1558133388451
182, 1558133388, 1558133388552
182, 1558133388, 1558133388653
182, 1558133388, 1558133388753
182, 1558133388, 1558133388849
182, 1558133388, 1558133388944
183, 1558133390, 1558133389046
183, 1558133390, 1558133389141
183, 1558133390, 1558133389233
183, 1558133390, 1558133389311
183, 1558133390, 1558133389389
183, 1558133390, 1558133389467
183, 1558133390, 1558133389545
183, 1558133390, 1558133389623
183, 1558133390, 1558133389700
184, 1558133390, 1558133389777
184, 1558133390, 1558133389854
184, 1558133390, 1558133389930
184, 1558133390, 1558133390004
184, 1558133390, 1558133390079
184, 1558133390, 1558133390157
184, 1558133390, 1558133390235
184, 1558133390, 1558133390313
184, 1558133390, 1558133390392
184, 1558133390, 1558133390468
184, 1558133390, 1558133390547
184, 1558133390, 1558133390625
184, 1558133390, 1558133390703
174, 1558133390, 1558133390782
174, 1558133391, 1558133390861
174, 1558133391, 1558133390941
174, 1558133391, 1558133391017
174, 1558133391, 1558133391095
174, 1558133391, 1558133391173
174, 1558133391, 1558133391251
174, 1558133391, 1558133391331
174, 1558133391, 1558133391409
174, 1558133391, 1558133391487
174, 1558133391, 1558133391566
174, 1558133391, 1558133391645
174, 1558133391, 1558133391722
184, 1558133392, 1558133391803
184, 1558133392, 1558133391884
184, 1558133392, 1558133391964
184, 1558133392, 1558133392043
184, 1558133392, 1558133392121
184, 1558133392, 1558133392199
184, 1558133392, 1558133392278
184, 1558133392, 1558133392356
184, 1558133392, 1558133392433
184, 1558133392, 1558133392509
184, 1558133392, 1558133392586
184, 1558133392, 1558133392664
184, 1558133392, 1558133392744
184, 1558133392, 1558133392841
184, 1558133393, 1558133392916
184, 1558133393, 1558133392991
184, 1558133393, 1558133393067
184, 1558133393, 1558133393143
184, 1558133393, 1558133393221
184, 1558133393, 1558133393298
184, 1558133393, 1558133393376
184, 1558133393, 1558133393454
184, 1558133393, 1558133393533
184, 1558133393, 1558133393611
184, 1558133393, 1558133393688
181, 1558133393, 1558133393765
181, 1558133394, 1558133393842
