Power(W), TimePDU(S), TimeNODE(mS)
179, 1558751250, 1558751249584
179, 1558751250, 1558751249676
179, 1558751250, 1558751249771
179, 1558751250, 1558751249870
179, 1558751250, 1558751249965
179, 1558751250, 1558751250060
179, 1558751250, 1558751250155
179, 1558751250, 1558751250248
179, 1558751250, 1558751250343
179, 1558751250, 1558751250437
179, 1558751250, 1558751250534
193, 1558751250, 1558751250628
193, 1558751251, 1558751250727
193, 1558751251, 1558751250824
193, 1558751251, 1558751250919
193, 1558751251, 1558751251013
193, 1558751251, 1558751251110
193, 1558751251, 1558751251203
193, 1558751251, 1558751251299
193, 1558751251, 1558751251394
193, 1558751251, 1558751251489
193, 1558751251, 1558751251584
199, 1558751251, 1558751251678
199, 1558751252, 1558751251773
199, 1558751252, 1558751251870
199, 1558751252, 1558751251967
199, 1558751252, 1558751252063
199, 1558751252, 1558751252157
199, 1558751252, 1558751252253
199, 1558751252, 1558751252348
199, 1558751252, 1558751252443
199, 1558751252, 1558751252538
199, 1558751252, 1558751252631
199, 1558751253, 1558751252728
199, 1558751253, 1558751252821
199, 1558751253, 1558751252913
199, 1558751253, 1558751253009
199, 1558751253, 1558751253105
199, 1558751253, 1558751253200
199, 1558751253, 1558751253296
199, 1558751253, 1558751253393
199, 1558751253, 1558751253490
199, 1558751253, 1558751253585
199, 1558751253, 1558751253679
199, 1558751253, 1558751253771
199, 1558751253, 1558751253863
199, 1558751253, 1558751253960
198, 1558751254, 1558751254060
198, 1558751254, 1558751254152
198, 1558751254, 1558751254246
198, 1558751254, 1558751254343
198, 1558751254, 1558751254437
198, 1558751254, 1558751254532
198, 1558751254, 1558751254624
197, 1558751255, 1558751254723
197, 1558751255, 1558751254818
197, 1558751255, 1558751254914
197, 1558751255, 1558751255009
197, 1558751255, 1558751255104
197, 1558751255, 1558751255199
197, 1558751255, 1558751255293
197, 1558751255, 1558751255387
197, 1558751255, 1558751255481
197, 1558751255, 1558751255577
197, 1558751255, 1558751255671
197, 1558751256, 1558751255768
197, 1558751256, 1558751255862
197, 1558751256, 1558751255955
197, 1558751256, 1558751256049
197, 1558751256, 1558751256144
197, 1558751256, 1558751256239
197, 1558751256, 1558751256334
197, 1558751256, 1558751256428
197, 1558751256, 1558751256524
197, 1558751256, 1558751256619
197, 1558751257, 1558751256721
197, 1558751257, 1558751256816
197, 1558751257, 1558751256911
197, 1558751257, 1558751257009
197, 1558751257, 1558751257102
197, 1558751257, 1558751257196
197, 1558751257, 1558751257290
197, 1558751257, 1558751257387
197, 1558751257, 1558751257482
197, 1558751257, 1558751257576
197, 1558751257, 1558751257670
197, 1558751258, 1558751257766
197, 1558751258, 1558751257861
197, 1558751258, 1558751257959
197, 1558751258, 1558751258054
197, 1558751258, 1558751258148
197, 1558751258, 1558751258243
197, 1558751258, 1558751258338
197, 1558751258, 1558751258435
197, 1558751258, 1558751258531
197, 1558751258, 1558751258629
198, 1558751259, 1558751258733
198, 1558751259, 1558751258827
198, 1558751259, 1558751258921
198, 1558751259, 1558751259016
198, 1558751259, 1558751259109
198, 1558751259, 1558751259205
198, 1558751259, 1558751259301
198, 1558751259, 1558751259395
198, 1558751259, 1558751259489
198, 1558751259, 1558751259584
198, 1558751259, 1558751259680
197, 1558751260, 1558751259779
197, 1558751260, 1558751259874
197, 1558751260, 1558751259971
197, 1558751260, 1558751260066
197, 1558751260, 1558751260163
197, 1558751260, 1558751260257
197, 1558751260, 1558751260353
197, 1558751260, 1558751260448
197, 1558751260, 1558751260541
197, 1558751260, 1558751260637
199, 1558751261, 1558751260735
199, 1558751261, 1558751260829
199, 1558751261, 1558751260924
199, 1558751261, 1558751261019
199, 1558751261, 1558751261114
199, 1558751261, 1558751261210
199, 1558751261, 1558751261305
199, 1558751261, 1558751261400
199, 1558751261, 1558751261495
199, 1558751261, 1558751261591
199, 1558751261, 1558751261685
199, 1558751262, 1558751261782
199, 1558751262, 1558751261876
199, 1558751262, 1558751261971
199, 1558751262, 1558751262065
199, 1558751262, 1558751262159
199, 1558751262, 1558751262257
199, 1558751262, 1558751262352
199, 1558751262, 1558751262446
199, 1558751262, 1558751262542
197, 1558751262, 1558751262642
197, 1558751263, 1558751262733
197, 1558751263, 1558751262825
197, 1558751263, 1558751262919
197, 1558751263, 1558751263015
197, 1558751263, 1558751263113
197, 1558751263, 1558751263211
197, 1558751263, 1558751263306
197, 1558751263, 1558751263401
197, 1558751263, 1558751263495
197, 1558751263, 1558751263591
197, 1558751263, 1558751263686
197, 1558751264, 1558751263784
197, 1558751264, 1558751263877
197, 1558751264, 1558751263973
197, 1558751264, 1558751264070
197, 1558751264, 1558751264165
197, 1558751264, 1558751264257
197, 1558751264, 1558751264351
197, 1558751264, 1558751264449
197, 1558751264, 1558751264546
197, 1558751264, 1558751264643
197, 1558751265, 1558751264743
197, 1558751265, 1558751264837
197, 1558751265, 1558751264932
197, 1558751265, 1558751265030
197, 1558751265, 1558751265127
197, 1558751265, 1558751265221
197, 1558751265, 1558751265315
197, 1558751265, 1558751265412
197, 1558751265, 1558751265510
197, 1558751265, 1558751265605
197, 1558751265, 1558751265709
197, 1558751265, 1558751265802
197, 1558751265, 1558751265897
197, 1558751266, 1558751265993
197, 1558751266, 1558751266087
197, 1558751266, 1558751266183
197, 1558751266, 1558751266277
197, 1558751266, 1558751266372
197, 1558751266, 1558751266466
197, 1558751266, 1558751266563
198, 1558751266, 1558751266659
198, 1558751267, 1558751266753
198, 1558751267, 1558751266848
198, 1558751267, 1558751266944
198, 1558751267, 1558751267038
198, 1558751267, 1558751267133
198, 1558751267, 1558751267229
198, 1558751267, 1558751267325
198, 1558751267, 1558751267420
198, 1558751267, 1558751267514
198, 1558751267, 1558751267610
198, 1558751267, 1558751267704
198, 1558751267, 1558751267797
198, 1558751267, 1558751267891
198, 1558751268, 1558751267991
198, 1558751268, 1558751268086
198, 1558751268, 1558751268180
198, 1558751268, 1558751268274
198, 1558751268, 1558751268372
198, 1558751268, 1558751268466
198, 1558751268, 1558751268564
198, 1558751268, 1558751268660
198, 1558751268, 1558751268755
198, 1558751268, 1558751268851
198, 1558751268, 1558751268948
198, 1558751268, 1558751269045
198, 1558751268, 1558751269139
198, 1558751268, 1558751269237
198, 1558751269, 1558751269331
198, 1558751269, 1558751269426
198, 1558751269, 1558751269520
198, 1558751269, 1558751269615
198, 1558751270, 1558751269715
198, 1558751270, 1558751269814
198, 1558751270, 1558751269911
198, 1558751270, 1558751270005
198, 1558751270, 1558751270102
198, 1558751270, 1558751270198
198, 1558751270, 1558751270296
198, 1558751270, 1558751270392
198, 1558751270, 1558751270489
198, 1558751270, 1558751270586
198, 1558751271, 1558751270687
198, 1558751271, 1558751270779
198, 1558751271, 1558751270876
198, 1558751271, 1558751270969
198, 1558751271, 1558751271065
198, 1558751271, 1558751271159
198, 1558751271, 1558751271255
198, 1558751271, 1558751271349
198, 1558751271, 1558751271445
