Power(W), TimePDU(S), TimeNODE(mS)
174, 1558828873, 1558828873563
174, 1558828873, 1558828873667
174, 1558828873, 1558828873773
174, 1558828873, 1558828873881
183, 1558828873, 1558828873988
183, 1558828874, 1558828874092
183, 1558828874, 1558828874197
183, 1558828874, 1558828874302
183, 1558828874, 1558828874406
183, 1558828874, 1558828874511
183, 1558828874, 1558828874615
183, 1558828874, 1558828874718
183, 1558828874, 1558828874824
194, 1558828874, 1558828874927
194, 1558828875, 1558828875031
194, 1558828875, 1558828875131
194, 1558828875, 1558828875230
194, 1558828875, 1558828875331
194, 1558828875, 1558828875429
194, 1558828875, 1558828875529
194, 1558828875, 1558828875626
194, 1558828875, 1558828875725
194, 1558828875, 1558828875825
194, 1558828875, 1558828875927
194, 1558828876, 1558828876031
194, 1558828876, 1558828876131
194, 1558828876, 1558828876229
194, 1558828876, 1558828876328
194, 1558828876, 1558828876429
194, 1558828876, 1558828876529
194, 1558828876, 1558828876630
194, 1558828876, 1558828876730
194, 1558828876, 1558828876831
194, 1558828876, 1558828876932
194, 1558828876, 1558828877031
194, 1558828876, 1558828877129
194, 1558828877, 1558828877233
194, 1558828877, 1558828877328
194, 1558828877, 1558828877426
194, 1558828877, 1558828877522
194, 1558828877, 1558828877617
194, 1558828877, 1558828877713
194, 1558828877, 1558828877807
194, 1558828877, 1558828877903
194, 1558828877, 1558828877998
194, 1558828878, 1558828878098
194, 1558828878, 1558828878195
194, 1558828878, 1558828878294
194, 1558828878, 1558828878392
194, 1558828878, 1558828878490
194, 1558828878, 1558828878586
194, 1558828878, 1558828878682
194, 1558828878, 1558828878776
194, 1558828878, 1558828878872
195, 1558828879, 1558828878970
195, 1558828879, 1558828879064
195, 1558828879, 1558828879159
195, 1558828879, 1558828879255
195, 1558828879, 1558828879352
195, 1558828879, 1558828879449
195, 1558828879, 1558828879543
195, 1558828879, 1558828879636
195, 1558828879, 1558828879730
195, 1558828879, 1558828879826
195, 1558828880, 1558828879930
195, 1558828880, 1558828880025
195, 1558828880, 1558828880119
195, 1558828880, 1558828880213
195, 1558828880, 1558828880312
195, 1558828880, 1558828880407
195, 1558828880, 1558828880501
195, 1558828880, 1558828880596
195, 1558828880, 1558828880691
195, 1558828880, 1558828880786
195, 1558828880, 1558828880884
195, 1558828880, 1558828880978
195, 1558828880, 1558828881073
195, 1558828880, 1558828881169
194, 1558828881, 1558828881270
194, 1558828881, 1558828881366
194, 1558828881, 1558828881460
194, 1558828881, 1558828881556
194, 1558828881, 1558828881651
194, 1558828881, 1558828881747
194, 1558828881, 1558828881841
194, 1558828882, 1558828881944
194, 1558828882, 1558828882040
194, 1558828882, 1558828882132
194, 1558828882, 1558828882227
194, 1558828882, 1558828882323
194, 1558828882, 1558828882420
194, 1558828882, 1558828882515
194, 1558828882, 1558828882612
194, 1558828882, 1558828882707
194, 1558828882, 1558828882801
194, 1558828882, 1558828882897
194, 1558828883, 1558828882995
194, 1558828883, 1558828883091
194, 1558828883, 1558828883183
194, 1558828883, 1558828883277
194, 1558828883, 1558828883371
194, 1558828883, 1558828883466
194, 1558828883, 1558828883560
194, 1558828883, 1558828883651
194, 1558828883, 1558828883749
194, 1558828883, 1558828883847
194, 1558828883, 1558828883942
194, 1558828884, 1558828884038
194, 1558828884, 1558828884134
194, 1558828884, 1558828884230
194, 1558828884, 1558828884325
194, 1558828884, 1558828884420
194, 1558828884, 1558828884515
194, 1558828884, 1558828884609
194, 1558828884, 1558828884706
194, 1558828884, 1558828884803
194, 1558828884, 1558828884901
194, 1558828885, 1558828885000
194, 1558828885, 1558828885094
194, 1558828885, 1558828885192
194, 1558828885, 1558828885288
194, 1558828885, 1558828885385
194, 1558828885, 1558828885481
194, 1558828885, 1558828885574
194, 1558828885, 1558828885669
194, 1558828885, 1558828885764
194, 1558828885, 1558828885863
194, 1558828885, 1558828885960
194, 1558828886, 1558828886065
194, 1558828886, 1558828886163
194, 1558828886, 1558828886260
194, 1558828886, 1558828886356
194, 1558828886, 1558828886452
194, 1558828886, 1558828886546
194, 1558828886, 1558828886640
194, 1558828886, 1558828886735
194, 1558828886, 1558828886831
194, 1558828886, 1558828886928
194, 1558828887, 1558828887030
194, 1558828887, 1558828887125
194, 1558828887, 1558828887220
194, 1558828887, 1558828887316
194, 1558828887, 1558828887411
194, 1558828887, 1558828887505
194, 1558828887, 1558828887601
194, 1558828887, 1558828887696
194, 1558828887, 1558828887795
194, 1558828887, 1558828887889
194, 1558828887, 1558828887984
194, 1558828888, 1558828888089
194, 1558828888, 1558828888185
194, 1558828888, 1558828888282
194, 1558828888, 1558828888374
194, 1558828888, 1558828888470
194, 1558828888, 1558828888564
194, 1558828888, 1558828888659
194, 1558828888, 1558828888755
194, 1558828888, 1558828888852
194, 1558828888, 1558828888947
194, 1558828889, 1558828889046
194, 1558828889, 1558828889140
194, 1558828889, 1558828889236
194, 1558828889, 1558828889333
194, 1558828889, 1558828889427
194, 1558828889, 1558828889521
194, 1558828889, 1558828889619
194, 1558828889, 1558828889715
194, 1558828889, 1558828889811
194, 1558828889, 1558828889905
194, 1558828889, 1558828890003
194, 1558828889, 1558828890096
194, 1558828889, 1558828890191
194, 1558828889, 1558828890285
194, 1558828890, 1558828890381
194, 1558828890, 1558828890477
194, 1558828890, 1558828890572
194, 1558828890, 1558828890668
194, 1558828890, 1558828890764
194, 1558828890, 1558828890858
194, 1558828890, 1558828890950
194, 1558828890, 1558828891044
194, 1558828890, 1558828891142
194, 1558828890, 1558828891236
194, 1558828890, 1558828891330
194, 1558828890, 1558828891421
195, 1558828890, 1558828891521
195, 1558828891, 1558828891616
195, 1558828891, 1558828891711
195, 1558828891, 1558828891806
195, 1558828891, 1558828891901
195, 1558828891, 1558828891997
