Power(W), TimePDU(S), TimeNODE(mS)
259, 1558563501, 1558563501232
259, 1558563501, 1558563501344
259, 1558563501, 1558563501451
259, 1558563501, 1558563501557
259, 1558563501, 1558563501663
259, 1558563501, 1558563501770
259, 1558563501, 1558563501876
259, 1558563501, 1558563501983
275, 1558563501, 1558563502089
275, 1558563502, 1558563502201
275, 1558563502, 1558563502312
275, 1558563502, 1558563502423
275, 1558563502, 1558563502533
275, 1558563502, 1558563502646
275, 1558563502, 1558563502760
275, 1558563502, 1558563502877
286, 1558563502, 1558563502994
286, 1558563503, 1558563503114
286, 1558563503, 1558563503228
286, 1558563503, 1558563503345
286, 1558563503, 1558563503461
286, 1558563503, 1558563503580
286, 1558563503, 1558563503700
286, 1558563503, 1558563503818
285, 1558563503, 1558563503938
285, 1558563504, 1558563504059
285, 1558563504, 1558563504179
285, 1558563504, 1558563504300
285, 1558563504, 1558563504420
285, 1558563504, 1558563504538
285, 1558563504, 1558563504657
285, 1558563504, 1558563504776
285, 1558563504, 1558563504892
282, 1558563504, 1558563505007
282, 1558563505, 1558563505126
282, 1558563505, 1558563505242
282, 1558563505, 1558563505358
282, 1558563505, 1558563505476
282, 1558563505, 1558563505596
282, 1558563505, 1558563505716
282, 1558563505, 1558563505837
284, 1558563505, 1558563505958
284, 1558563506, 1558563506082
284, 1558563506, 1558563506204
284, 1558563506, 1558563506326
284, 1558563506, 1558563506447
284, 1558563506, 1558563506567
284, 1558563506, 1558563506686
284, 1558563506, 1558563506808
284, 1558563506, 1558563506927
285, 1558563506, 1558563507047
285, 1558563507, 1558563507167
285, 1558563507, 1558563507286
285, 1558563507, 1558563507405
285, 1558563507, 1558563507523
285, 1558563507, 1558563507641
285, 1558563507, 1558563507761
285, 1558563507, 1558563507881
285, 1558563507, 1558563507999
284, 1558563508, 1558563508116
284, 1558563508, 1558563508230
284, 1558563508, 1558563508347
284, 1558563508, 1558563508460
284, 1558563508, 1558563508573
284, 1558563508, 1558563508687
284, 1558563508, 1558563508802
284, 1558563508, 1558563508918
283, 1558563509, 1558563509034
283, 1558563509, 1558563509150
283, 1558563509, 1558563509263
283, 1558563509, 1558563509376
283, 1558563509, 1558563509489
283, 1558563509, 1558563509601
283, 1558563509, 1558563509713
283, 1558563509, 1558563509822
283, 1558563509, 1558563509932
285, 1558563510, 1558563510042
285, 1558563510, 1558563510153
285, 1558563510, 1558563510264
285, 1558563510, 1558563510372
285, 1558563510, 1558563510482
285, 1558563510, 1558563510592
285, 1558563510, 1558563510699
285, 1558563510, 1558563510806
285, 1558563510, 1558563510913
285, 1558563510, 1558563511021
285, 1558563511, 1558563511129
285, 1558563511, 1558563511239
285, 1558563511, 1558563511346
285, 1558563511, 1558563511454
