Power(W), TimePDU(S), TimeNODE(mS)
255, 1558245834, 1558245835680
261, 1558245834, 1558245835758
261, 1558245835, 1558245835837
261, 1558245835, 1558245835914
261, 1558245835, 1558245835991
261, 1558245835, 1558245836069
261, 1558245835, 1558245836145
261, 1558245835, 1558245836220
261, 1558245835, 1558245836293
261, 1558245835, 1558245836368
261, 1558245835, 1558245836442
261, 1558245835, 1558245836517
261, 1558245835, 1558245836592
261, 1558245835, 1558245836668
278, 1558245835, 1558245836744
278, 1558245836, 1558245836817
278, 1558245836, 1558245836890
278, 1558245836, 1558245836965
278, 1558245836, 1558245837039
278, 1558245836, 1558245837115
278, 1558245836, 1558245837192
278, 1558245836, 1558245837270
278, 1558245836, 1558245837346
278, 1558245836, 1558245837426
278, 1558245836, 1558245837505
278, 1558245836, 1558245837584
278, 1558245836, 1558245837663
284, 1558245836, 1558245837741
284, 1558245837, 1558245837821
284, 1558245837, 1558245837898
284, 1558245837, 1558245837977
284, 1558245837, 1558245838055
284, 1558245837, 1558245838134
284, 1558245837, 1558245838213
284, 1558245837, 1558245838290
284, 1558245837, 1558245838369
284, 1558245837, 1558245838447
284, 1558245837, 1558245838526
284, 1558245837, 1558245838604
284, 1558245837, 1558245838677
285, 1558245838, 1558245838757
285, 1558245838, 1558245838837
285, 1558245838, 1558245838914
285, 1558245838, 1558245838992
285, 1558245838, 1558245839072
285, 1558245838, 1558245839147
285, 1558245838, 1558245839225
285, 1558245838, 1558245839303
285, 1558245838, 1558245839382
285, 1558245838, 1558245839459
285, 1558245838, 1558245839534
285, 1558245838, 1558245839613
285, 1558245838, 1558245839691
285, 1558245838, 1558245839769
285, 1558245839, 1558245839847
285, 1558245839, 1558245839926
285, 1558245839, 1558245840002
285, 1558245839, 1558245840166
285, 1558245839, 1558245840318
285, 1558245839, 1558245840395
285, 1558245839, 1558245840470
285, 1558245839, 1558245840543
285, 1558245839, 1558245840617
285, 1558245839, 1558245840736
290, 1558245839, 1558245840811
290, 1558245840, 1558245840885
290, 1558245840, 1558245840962
290, 1558245840, 1558245841039
290, 1558245840, 1558245841116
290, 1558245840, 1558245841192
290, 1558245840, 1558245841266
290, 1558245840, 1558245841342
290, 1558245840, 1558245841421
290, 1558245840, 1558245841494
290, 1558245840, 1558245841569
290, 1558245840, 1558245841642
290, 1558245840, 1558245841719
283, 1558245841, 1558245841796
283, 1558245841, 1558245841870
283, 1558245841, 1558245841945
283, 1558245841, 1558245842022
283, 1558245841, 1558245842095
283, 1558245841, 1558245842167
283, 1558245841, 1558245842240
283, 1558245841, 1558245842313
283, 1558245841, 1558245842386
283, 1558245841, 1558245842462
283, 1558245841, 1558245842538
283, 1558245841, 1558245842614
283, 1558245841, 1558245842691
283, 1558245841, 1558245842768
287, 1558245842, 1558245842843
287, 1558245842, 1558245842921
287, 1558245842, 1558245842996
287, 1558245842, 1558245843072
287, 1558245842, 1558245843146
287, 1558245842, 1558245843221
287, 1558245842, 1558245843298
287, 1558245842, 1558245843376
287, 1558245842, 1558245843453
287, 1558245842, 1558245843529
287, 1558245842, 1558245843602
287, 1558245842, 1558245843680
287, 1558245842, 1558245843756
287, 1558245843, 1558245843862
287, 1558245843, 1558245843966
287, 1558245843, 1558245844068
287, 1558245843, 1558245844173
287, 1558245843, 1558245844278
287, 1558245843, 1558245844384
287, 1558245843, 1558245844488
287, 1558245843, 1558245844593
287, 1558245843, 1558245844697
287, 1558245843, 1558245844799
287, 1558245843, 1558245844901
287, 1558245843, 1558245845003
286, 1558245843, 1558245845103
286, 1558245844, 1558245845207
286, 1558245844, 1558245845313
286, 1558245844, 1558245845420
286, 1558245844, 1558245845526
286, 1558245844, 1558245845633
285, 1558245844, 1558245845833
285, 1558245845, 1558245845954
285, 1558245845, 1558245846074
285, 1558245845, 1558245846197
285, 1558245845, 1558245846314
285, 1558245845, 1558245846431
285, 1558245845, 1558245846549
285, 1558245845, 1558245846666
285, 1558245845, 1558245846783
285, 1558245846, 1558245846901
285, 1558245846, 1558245847018
285, 1558245846, 1558245847136
285, 1558245846, 1558245847254
285, 1558245846, 1558245847375
