Power(W), TimePDU(S), TimeNODE(mS)
249, 1558647886, 1558647886397
249, 1558647886, 1558647886505
249, 1558647886, 1558647886612
249, 1558647886, 1558647886719
249, 1558647886, 1558647886823
249, 1558647886, 1558647886926
249, 1558647886, 1558647887031
249, 1558647886, 1558647887136
249, 1558647886, 1558647887241
281, 1558647886, 1558647887348
281, 1558647887, 1558647887458
281, 1558647887, 1558647887568
281, 1558647887, 1558647887679
281, 1558647887, 1558647887793
281, 1558647887, 1558647887910
281, 1558647887, 1558647888030
281, 1558647887, 1558647888150
271, 1558647887, 1558647888271
271, 1558647888, 1558647888389
271, 1558647888, 1558647888503
271, 1558647888, 1558647888619
271, 1558647888, 1558647888736
271, 1558647888, 1558647888852
271, 1558647888, 1558647888967
271, 1558647888, 1558647889080
271, 1558647888, 1558647889196
274, 1558647889, 1558647889315
274, 1558647889, 1558647889431
274, 1558647889, 1558647889547
274, 1558647889, 1558647889663
274, 1558647889, 1558647889781
274, 1558647889, 1558647889901
274, 1558647889, 1558647890019
274, 1558647889, 1558647890139
269, 1558647889, 1558647890259
269, 1558647890, 1558647890382
269, 1558647890, 1558647890503
269, 1558647890, 1558647890625
269, 1558647890, 1558647890745
269, 1558647890, 1558647890865
269, 1558647890, 1558647890986
269, 1558647890, 1558647891106
269, 1558647890, 1558647891228
280, 1558647890, 1558647891349
280, 1558647891, 1558647891469
280, 1558647891, 1558647891587
280, 1558647891, 1558647891707
280, 1558647891, 1558647891826
280, 1558647891, 1558647891945
280, 1558647891, 1558647892063
280, 1558647891, 1558647892179
275, 1558647891, 1558647892296
275, 1558647892, 1558647892413
275, 1558647892, 1558647892530
275, 1558647892, 1558647892651
275, 1558647892, 1558647892770
275, 1558647892, 1558647892890
275, 1558647892, 1558647893008
275, 1558647892, 1558647893129
275, 1558647892, 1558647893251
281, 1558647892, 1558647893374
281, 1558647893, 1558647893496
281, 1558647893, 1558647893614
281, 1558647893, 1558647893734
281, 1558647893, 1558647893855
281, 1558647893, 1558647893973
