Power(W), TimePDU(S), TimeNODE(mS)
256, 1557957112, 1557957113003
256, 1557957112, 1557957113077
256, 1557957112, 1557957113152
256, 1557957112, 1557957113227
263, 1557957112, 1557957113301
263, 1557957114, 1557957113375
263, 1557957114, 1557957113451
263, 1557957114, 1557957113525
263, 1557957114, 1557957113601
263, 1557957114, 1557957113677
263, 1557957114, 1557957113753
263, 1557957114, 1557957113829
263, 1557957114, 1557957113904
263, 1557957114, 1557957113982
263, 1557957114, 1557957114058
263, 1557957114, 1557957114134
263, 1557957114, 1557957114211
282, 1557957117, 1557957117354
282, 1557957117, 1557957117431
282, 1557957117, 1557957117506
282, 1557957117, 1557957117582
282, 1557957117, 1557957117657
282, 1557957117, 1557957117733
282, 1557957117, 1557957117808
282, 1557957117, 1557957117880
282, 1557957117, 1557957117953
282, 1557957117, 1557957118025
282, 1557957117, 1557957118100
282, 1557957117, 1557957118175
283, 1557957117, 1557957118251
283, 1557957118, 1557957118330
283, 1557957118, 1557957118406
283, 1557957118, 1557957118484
283, 1557957118, 1557957118561
283, 1557957118, 1557957118640
283, 1557957118, 1557957118718
283, 1557957118, 1557957118795
283, 1557957118, 1557957118873
283, 1557957118, 1557957118951
283, 1557957118, 1557957119026
283, 1557957118, 1557957119103
283, 1557957118, 1557957119181
283, 1557957118, 1557957119258
283, 1557957119, 1557957119337
284, 1557957120, 1557957121045
284, 1557957120, 1557957121115
284, 1557957120, 1557957121185
284, 1557957120, 1557957121256
285, 1557957121, 1557957121329
285, 1557957121, 1557957121399
285, 1557957121, 1557957121470
285, 1557957121, 1557957121539
285, 1557957121, 1557957121609
285, 1557957121, 1557957121683
285, 1557957121, 1557957121754
285, 1557957121, 1557957121826
285, 1557957121, 1557957121901
285, 1557957121, 1557957121975
285, 1557957121, 1557957122047
285, 1557957121, 1557957122123
285, 1557957121, 1557957122198
283, 1557957121, 1557957122271
283, 1557957122, 1557957122346
283, 1557957122, 1557957122417
283, 1557957122, 1557957122492
283, 1557957122, 1557957122566
283, 1557957122, 1557957122644
283, 1557957122, 1557957122720
283, 1557957122, 1557957122796
283, 1557957122, 1557957122873
283, 1557957122, 1557957122947
283, 1557957122, 1557957123024
283, 1557957122, 1557957123101
283, 1557957122, 1557957123176
283, 1557957122, 1557957123253
283, 1557957123, 1557957123330
283, 1557957123, 1557957123402
283, 1557957123, 1557957123475
283, 1557957123, 1557957123552
283, 1557957123, 1557957123629
283, 1557957123, 1557957123706
283, 1557957123, 1557957123783
283, 1557957123, 1557957123857
283, 1557957123, 1557957123930
283, 1557957123, 1557957124005
283, 1557957123, 1557957124083
283, 1557957123, 1557957124161
283, 1557957123, 1557957124241
285, 1557957123, 1557957124319
285, 1557957125, 1557957124455
285, 1557957125, 1557957124533
285, 1557957125, 1557957124608
285, 1557957125, 1557957124684
285, 1557957125, 1557957124762
285, 1557957125, 1557957124838
285, 1557957125, 1557957124914
285, 1557957125, 1557957124989
285, 1557957125, 1557957125065
285, 1557957125, 1557957125141
285, 1557957125, 1557957125217
285, 1557957125, 1557957125293
284, 1557957126, 1557957125371
284, 1557957126, 1557957125446
284, 1557957126, 1557957125523
284, 1557957126, 1557957125599
284, 1557957126, 1557957125677
284, 1557957126, 1557957125752
284, 1557957126, 1557957125826
284, 1557957126, 1557957125901
284, 1557957126, 1557957125978
284, 1557957126, 1557957126056
284, 1557957126, 1557957126132
284, 1557957126, 1557957126209
283, 1557957126, 1557957126288
283, 1557957126, 1557957126366
283, 1557957126, 1557957126443
283, 1557957126, 1557957126518
283, 1557957126, 1557957126594
283, 1557957126, 1557957126668
283, 1557957126, 1557957126743
283, 1557957126, 1557957126818
283, 1557957126, 1557957126895
283, 1557957126, 1557957126969
