Power(W), TimePDU(S), TimeNODE(mS)
256, 1557860971, 1557860971026
256, 1557860971, 1557860971101
256, 1557860971, 1557860971176
256, 1557860971, 1557860971253
264, 1557860971, 1557860971329
264, 1557860972, 1557860971406
264, 1557860972, 1557860971483
264, 1557860972, 1557860971560
264, 1557860972, 1557860971636
264, 1557860972, 1557860971712
264, 1557860972, 1557860971787
264, 1557860972, 1557860971860
264, 1557860972, 1557860971935
264, 1557860972, 1557860972011
264, 1557860972, 1557860972087
264, 1557860972, 1557860972163
264, 1557860972, 1557860972239
274, 1557860972, 1557860972316
274, 1557860973, 1557860972393
274, 1557860973, 1557860972468
274, 1557860973, 1557860972544
274, 1557860973, 1557860972619
274, 1557860973, 1557860972696
274, 1557860973, 1557860972773
274, 1557860973, 1557860972850
274, 1557860973, 1557860972924
274, 1557860973, 1557860973000
274, 1557860973, 1557860973076
274, 1557860973, 1557860973151
274, 1557860973, 1557860973223
273, 1557860973, 1557860973300
273, 1557860974, 1557860973378
273, 1557860974, 1557860973453
273, 1557860974, 1557860973531
273, 1557860974, 1557860973608
273, 1557860974, 1557860973683
273, 1557860974, 1557860973757
273, 1557860974, 1557860973832
273, 1557860974, 1557860973909
273, 1557860974, 1557860973984
273, 1557860974, 1557860974061
273, 1557860974, 1557860974135
273, 1557860974, 1557860974211
274, 1557860974, 1557860974287
274, 1557860975, 1557860974364
274, 1557860975, 1557860974439
274, 1557860975, 1557860974516
274, 1557860975, 1557860974591
274, 1557860975, 1557860974666
274, 1557860975, 1557860974743
274, 1557860975, 1557860974821
274, 1557860975, 1557860974896
274, 1557860975, 1557860974972
274, 1557860975, 1557860975048
274, 1557860975, 1557860975123
274, 1557860975, 1557860975199
274, 1557860975, 1557860975272
272, 1557860976, 1557860975350
272, 1557860976, 1557860975424
272, 1557860976, 1557860975501
272, 1557860976, 1557860975576
272, 1557860976, 1557860975650
272, 1557860976, 1557860975727
272, 1557860976, 1557860975846
272, 1557860976, 1557860975921
272, 1557860976, 1557860975996
272, 1557860976, 1557860976071
272, 1557860976, 1557860976147
272, 1557860976, 1557860976222
272, 1557860977, 1557860976301
272, 1557860977, 1557860976376
272, 1557860977, 1557860976452
272, 1557860977, 1557860976524
