Power(W), TimePDU(S), TimeNODE(mS)
256, 1557894352, 1557894353086
256, 1557894352, 1557894353162
256, 1557894352, 1557894353239
256, 1557894352, 1557894353314
256, 1557894352, 1557894353388
256, 1557894352, 1557894353464
256, 1557894352, 1557894353539
256, 1557894352, 1557894353614
256, 1557894352, 1557894353690
273, 1557894353, 1557894353768
273, 1557894353, 1557894353841
273, 1557894353, 1557894353915
273, 1557894353, 1557894353989
273, 1557894353, 1557894354065
273, 1557894353, 1557894354142
273, 1557894353, 1557894354217
273, 1557894353, 1557894354291
273, 1557894353, 1557894354366
273, 1557894353, 1557894354442
273, 1557894353, 1557894354518
273, 1557894353, 1557894354593
273, 1557894353, 1557894354666
284, 1557894354, 1557894354741
284, 1557894354, 1557894354814
284, 1557894354, 1557894354890
284, 1557894354, 1557894354964
284, 1557894354, 1557894355039
284, 1557894354, 1557894355110
284, 1557894354, 1557894355185
284, 1557894354, 1557894355260
284, 1557894354, 1557894355334
284, 1557894354, 1557894355410
284, 1557894354, 1557894355485
284, 1557894354, 1557894355560
284, 1557894354, 1557894355635
284, 1557894354, 1557894355708
284, 1557894355, 1557894355785
284, 1557894355, 1557894355860
284, 1557894355, 1557894355935
284, 1557894355, 1557894356008
284, 1557894355, 1557894356083
284, 1557894355, 1557894356159
284, 1557894355, 1557894356233
284, 1557894355, 1557894356305
284, 1557894355, 1557894356380
284, 1557894355, 1557894356452
284, 1557894355, 1557894356529
284, 1557894355, 1557894356607
284, 1557894355, 1557894356681
283, 1557894356, 1557894356756
283, 1557894356, 1557894356831
283, 1557894356, 1557894356906
283, 1557894356, 1557894356979
283, 1557894356, 1557894357256
283, 1557894356, 1557894357329
283, 1557894356, 1557894357403
283, 1557894356, 1557894357477
283, 1557894356, 1557894357550
283, 1557894356, 1557894357624
283, 1557894356, 1557894357695
285, 1557894357, 1557894357773
285, 1557894357, 1557894357845
285, 1557894357, 1557894357919
285, 1557894357, 1557894357990
285, 1557894357, 1557894358061
285, 1557894357, 1557894358133
285, 1557894357, 1557894358208
285, 1557894357, 1557894358282
285, 1557894357, 1557894358356
285, 1557894357, 1557894358429
285, 1557894357, 1557894358503
285, 1557894357, 1557894358576
285, 1557894357, 1557894358651
283, 1557894358, 1557894358727
283, 1557894358, 1557894358802
283, 1557894358, 1557894358876
