Power(W), TimePDU(S), TimeNODE(mS)
177, 1558823794, 1558823795496
178, 1558823794, 1558823795611
178, 1558823795, 1558823795725
178, 1558823795, 1558823795835
178, 1558823795, 1558823795945
178, 1558823795, 1558823796051
178, 1558823795, 1558823796157
178, 1558823795, 1558823796260
178, 1558823795, 1558823796365
178, 1558823795, 1558823796469
178, 1558823795, 1558823796573
177, 1558823795, 1558823796677
177, 1558823796, 1558823796782
177, 1558823796, 1558823796887
177, 1558823796, 1558823796991
177, 1558823796, 1558823797097
177, 1558823796, 1558823797203
177, 1558823796, 1558823797308
177, 1558823796, 1558823797414
177, 1558823796, 1558823797518
177, 1558823796, 1558823797624
177, 1558823797, 1558823797732
177, 1558823797, 1558823797841
177, 1558823797, 1558823797947
177, 1558823797, 1558823798052
177, 1558823797, 1558823798158
177, 1558823797, 1558823798265
177, 1558823797, 1558823798370
177, 1558823797, 1558823798474
177, 1558823797, 1558823798580
177, 1558823797, 1558823798684
177, 1558823798, 1558823798790
177, 1558823798, 1558823798896
177, 1558823798, 1558823799001
177, 1558823798, 1558823799107
177, 1558823798, 1558823799215
177, 1558823798, 1558823799321
177, 1558823798, 1558823799427
177, 1558823798, 1558823799532
177, 1558823798, 1558823799636
177, 1558823799, 1558823799744
177, 1558823799, 1558823799850
177, 1558823799, 1558823799955
177, 1558823799, 1558823800059
177, 1558823799, 1558823800163
177, 1558823799, 1558823800269
177, 1558823799, 1558823800374
177, 1558823799, 1558823800479
177, 1558823799, 1558823800585
176, 1558823799, 1558823800689
176, 1558823800, 1558823800796
176, 1558823800, 1558823800903
176, 1558823800, 1558823801011
176, 1558823800, 1558823801119
176, 1558823800, 1558823801227
176, 1558823800, 1558823801336
176, 1558823800, 1558823801446
176, 1558823800, 1558823801556
176, 1558823800, 1558823801670
176, 1558823801, 1558823801784
176, 1558823801, 1558823801899
176, 1558823801, 1558823802011
176, 1558823801, 1558823802124
176, 1558823801, 1558823802239
176, 1558823801, 1558823802356
176, 1558823801, 1558823802472
176, 1558823801, 1558823802588
176, 1558823801, 1558823802703
176, 1558823802, 1558823802820
176, 1558823802, 1558823802934
176, 1558823802, 1558823803050
176, 1558823802, 1558823803167
176, 1558823802, 1558823803283
176, 1558823802, 1558823803401
176, 1558823802, 1558823803518
176, 1558823802, 1558823803636
176, 1558823802, 1558823803750
176, 1558823803, 1558823803866
176, 1558823803, 1558823803981
176, 1558823803, 1558823804095
176, 1558823803, 1558823804209
176, 1558823803, 1558823804322
176, 1558823803, 1558823804435
176, 1558823803, 1558823804547
176, 1558823803, 1558823804662
176, 1558823804, 1558823804779
176, 1558823804, 1558823804896
176, 1558823804, 1558823805013
176, 1558823804, 1558823805130
176, 1558823804, 1558823805247
176, 1558823804, 1558823805362
176, 1558823804, 1558823805478
176, 1558823804, 1558823805595
176, 1558823804, 1558823805708
176, 1558823804, 1558823805823
176, 1558823804, 1558823805938
176, 1558823804, 1558823806052
176, 1558823805, 1558823806169
176, 1558823805, 1558823806284
176, 1558823805, 1558823806400
176, 1558823805, 1558823806514
175, 1558823805, 1558823806630
175, 1558823806, 1558823806748
175, 1558823806, 1558823806864
175, 1558823806, 1558823806979
175, 1558823806, 1558823807097
175, 1558823806, 1558823807213
175, 1558823806, 1558823807329
175, 1558823806, 1558823807443
175, 1558823806, 1558823807559
177, 1558823806, 1558823807675
177, 1558823807, 1558823807784
177, 1558823807, 1558823807892
177, 1558823807, 1558823807999
177, 1558823807, 1558823808105
177, 1558823807, 1558823808211
177, 1558823807, 1558823808315
177, 1558823807, 1558823808420
177, 1558823807, 1558823808526
177, 1558823807, 1558823808633
177, 1558823807, 1558823808739
177, 1558823808, 1558823808845
177, 1558823808, 1558823808950
177, 1558823808, 1558823809053
177, 1558823808, 1558823809157
177, 1558823808, 1558823809263
177, 1558823808, 1558823809368
177, 1558823808, 1558823809472
175, 1558823812, 1558823813094
175, 1558823812, 1558823813215
175, 1558823812, 1558823813337
175, 1558823812, 1558823813457
176, 1558823812, 1558823813575
176, 1558823813, 1558823813697
176, 1558823813, 1558823813818
176, 1558823813, 1558823813938
176, 1558823813, 1558823814057
176, 1558823813, 1558823814177
176, 1558823813, 1558823814295
176, 1558823813, 1558823814415
176, 1558823813, 1558823814534
175, 1558823813, 1558823814653
175, 1558823814, 1558823814776
175, 1558823814, 1558823814895
175, 1558823814, 1558823815014
175, 1558823814, 1558823815133
175, 1558823814, 1558823815253
175, 1558823814, 1558823815374
175, 1558823814, 1558823815493
175, 1558823814, 1558823815614
176, 1558823814, 1558823815735
176, 1558823815, 1558823815858
176, 1558823815, 1558823815982
176, 1558823815, 1558823816103
176, 1558823815, 1558823816224
176, 1558823815, 1558823816347
176, 1558823815, 1558823816468
176, 1558823815, 1558823816589
174, 1558823816, 1558823816715
174, 1558823816, 1558823816834
174, 1558823816, 1558823816956
174, 1558823816, 1558823817075
174, 1558823816, 1558823817193
174, 1558823816, 1558823817313
174, 1558823816, 1558823817431
174, 1558823816, 1558823817551
175, 1558823816, 1558823817673
175, 1558823817, 1558823817791
175, 1558823817, 1558823817909
175, 1558823817, 1558823818027
175, 1558823817, 1558823818143
175, 1558823817, 1558823818258
175, 1558823817, 1558823818372
175, 1558823817, 1558823818484
175, 1558823817, 1558823818599
175, 1558823817, 1558823818718
175, 1558823818, 1558823818833
175, 1558823818, 1558823818947
175, 1558823818, 1558823819061
175, 1558823818, 1558823819173
175, 1558823818, 1558823819286
175, 1558823818, 1558823819397
175, 1558823818, 1558823819506
175, 1558823818, 1558823819619
174, 1558823818, 1558823819730
174, 1558823819, 1558823819843
174, 1558823819, 1558823819955
174, 1558823819, 1558823820068
174, 1558823819, 1558823820179
174, 1558823819, 1558823820292
174, 1558823819, 1558823820402
174, 1558823819, 1558823820512
174, 1558823819, 1558823820620
174, 1558823820, 1558823820735
174, 1558823820, 1558823820845
174, 1558823820, 1558823820951
174, 1558823820, 1558823821059
174, 1558823820, 1558823821167
174, 1558823820, 1558823821277
174, 1558823820, 1558823821392
174, 1558823820, 1558823821503
174, 1558823820, 1558823821615
177, 1558823821, 1558823821731
177, 1558823821, 1558823821840
177, 1558823821, 1558823821949
177, 1558823821, 1558823822056
