Power(W), TimePDU(S), TimeNODE(mS)
157, 1558161774, 1558161775749
159, 1558161775, 1558161775850
159, 1558161775, 1558161775948
159, 1558161775, 1558161776043
159, 1558161775, 1558161776139
159, 1558161775, 1558161776244
159, 1558161775, 1558161776345
159, 1558161775, 1558161776444
159, 1558161775, 1558161776549
159, 1558161775, 1558161776653
157, 1558161775, 1558161776757
157, 1558161776, 1558161776857
157, 1558161776, 1558161776958
157, 1558161776, 1558161777100
157, 1558161776, 1558161777223
157, 1558161776, 1558161777343
157, 1558161776, 1558161777462
157, 1558161776, 1558161777581
157, 1558161776, 1558161777701
157, 1558161776, 1558161777823
157, 1558161776, 1558161777941
157, 1558161776, 1558161778057
158, 1558161778, 1558161778178
158, 1558161778, 1558161778256
158, 1558161778, 1558161778334
158, 1558161778, 1558161778412
158, 1558161778, 1558161778490
158, 1558161778, 1558161778568
158, 1558161778, 1558161778646
157, 1558161778, 1558161778722
157, 1558161778, 1558161778799
157, 1558161778, 1558161778876
157, 1558161778, 1558161778954
157, 1558161778, 1558161779034
157, 1558161778, 1558161779113
157, 1558161778, 1558161779192
157, 1558161778, 1558161779270
157, 1558161778, 1558161779349
157, 1558161778, 1558161779427
157, 1558161778, 1558161779505
157, 1558161778, 1558161779584
157, 1558161778, 1558161779660
157, 1558161778, 1558161779738
157, 1558161779, 1558161779816
157, 1558161779, 1558161779896
157, 1558161779, 1558161779974
157, 1558161779, 1558161780050
157, 1558161779, 1558161780128
157, 1558161779, 1558161780204
157, 1558161779, 1558161780283
157, 1558161779, 1558161780361
157, 1558161779, 1558161780440
157, 1558161779, 1558161780516
157, 1558161779, 1558161780593
157, 1558161779, 1558161780673
156, 1558161780, 1558161780754
156, 1558161780, 1558161780834
156, 1558161780, 1558161780911
156, 1558161780, 1558161780988
156, 1558161780, 1558161781067
156, 1558161780, 1558161781143
156, 1558161780, 1558161781220
156, 1558161780, 1558161781297
156, 1558161780, 1558161781375
156, 1558161780, 1558161781452
156, 1558161780, 1558161781527
156, 1558161780, 1558161781606
156, 1558161780, 1558161781685
157, 1558161780, 1558161781763
157, 1558161781, 1558161781841
157, 1558161781, 1558161781918
157, 1558161781, 1558161781995
157, 1558161781, 1558161782374
157, 1558161781, 1558161782451
157, 1558161781, 1558161782526
157, 1558161781, 1558161782604
157, 1558161781, 1558161782682
156, 1558161782, 1558161782760
156, 1558161782, 1558161782835
156, 1558161782, 1558161782912
156, 1558161782, 1558161782989
156, 1558161782, 1558161783066
156, 1558161782, 1558161783146
156, 1558161782, 1558161783223
156, 1558161782, 1558161783299
156, 1558161782, 1558161783376
156, 1558161782, 1558161783455
156, 1558161782, 1558161783531
156, 1558161782, 1558161783607
156, 1558161782, 1558161783686
158, 1558161782, 1558161783764
158, 1558161783, 1558161783841
158, 1558161783, 1558161783916
158, 1558161783, 1558161783992
158, 1558161783, 1558161784071
158, 1558161783, 1558161784149
158, 1558161783, 1558161784226
158, 1558161783, 1558161784302
158, 1558161783, 1558161784381
158, 1558161783, 1558161784459
158, 1558161783, 1558161784536
158, 1558161783, 1558161784616
156, 1558161783, 1558161784693
156, 1558161784, 1558161784774
156, 1558161784, 1558161784853
156, 1558161784, 1558161784931
156, 1558161784, 1558161785008
156, 1558161784, 1558161785088
