Power(W), TimePDU(S), TimeNODE(mS)
176, 1558765332, 1558765333226
176, 1558765332, 1558765333323
176, 1558765332, 1558765333418
176, 1558765332, 1558765333512
176, 1558765332, 1558765333607
176, 1558765332, 1558765333704
176, 1558765332, 1558765333800
187, 1558765332, 1558765333898
187, 1558765333, 1558765334000
187, 1558765333, 1558765334101
187, 1558765333, 1558765334202
187, 1558765333, 1558765334302
187, 1558765333, 1558765334399
187, 1558765333, 1558765334498
187, 1558765333, 1558765334595
187, 1558765333, 1558765334692
187, 1558765333, 1558765334790
187, 1558765333, 1558765334890
198, 1558765333, 1558765334988
198, 1558765334, 1558765335091
198, 1558765334, 1558765335189
198, 1558765334, 1558765335287
198, 1558765334, 1558765335384
198, 1558765334, 1558765335479
198, 1558765334, 1558765335576
198, 1558765334, 1558765335672
198, 1558765334, 1558765335768
198, 1558765334, 1558765335864
198, 1558765334, 1558765335959
198, 1558765335, 1558765336059
198, 1558765335, 1558765336156
198, 1558765335, 1558765336254
198, 1558765335, 1558765336348
198, 1558765335, 1558765336443
198, 1558765335, 1558765336540
198, 1558765335, 1558765336636
198, 1558765335, 1558765336730
198, 1558765335, 1558765336825
198, 1558765335, 1558765336919
198, 1558765336, 1558765337021
198, 1558765336, 1558765337116
198, 1558765336, 1558765337208
198, 1558765336, 1558765337304
198, 1558765336, 1558765337400
198, 1558765336, 1558765337496
198, 1558765336, 1558765337592
198, 1558765336, 1558765337688
198, 1558765336, 1558765337782
198, 1558765336, 1558765337876
198, 1558765336, 1558765337971
198, 1558765337, 1558765338072
198, 1558765337, 1558765338168
198, 1558765337, 1558765338267
198, 1558765337, 1558765338368
198, 1558765337, 1558765338469
198, 1558765337, 1558765338569
198, 1558765337, 1558765338672
198, 1558765337, 1558765338770
198, 1558765337, 1558765338871
198, 1558765338, 1558765338981
198, 1558765338, 1558765339081
198, 1558765338, 1558765339180
198, 1558765338, 1558765339279
198, 1558765338, 1558765339379
198, 1558765338, 1558765339478
198, 1558765338, 1558765339580
198, 1558765338, 1558765339682
198, 1558765338, 1558765339787
198, 1558765338, 1558765339892
198, 1558765339, 1558765339999
198, 1558765339, 1558765340105
198, 1558765339, 1558765340208
198, 1558765339, 1558765340312
198, 1558765339, 1558765340417
198, 1558765339, 1558765340523
198, 1558765339, 1558765340629
198, 1558765339, 1558765340734
198, 1558765339, 1558765340839
198, 1558765339, 1558765340941
198, 1558765340, 1558765341047
198, 1558765340, 1558765341154
198, 1558765340, 1558765341259
198, 1558765340, 1558765341367
198, 1558765340, 1558765341475
198, 1558765340, 1558765341579
198, 1558765340, 1558765341682
198, 1558765340, 1558765341788
198, 1558765340, 1558765341894
198, 1558765341, 1558765342000
198, 1558765341, 1558765342105
198, 1558765341, 1558765342209
198, 1558765341, 1558765342314
198, 1558765341, 1558765342420
198, 1558765341, 1558765342528
198, 1558765341, 1558765342636
198, 1558765341, 1558765342743
198, 1558765341, 1558765342851
198, 1558765341, 1558765342959
198, 1558765342, 1558765343067
198, 1558765342, 1558765343174
198, 1558765342, 1558765343278
198, 1558765342, 1558765343381
198, 1558765342, 1558765343482
198, 1558765342, 1558765343582
198, 1558765342, 1558765343681
198, 1558765342, 1558765343780
198, 1558765342, 1558765343879
198, 1558765343, 1558765343979
198, 1558765343, 1558765344075
198, 1558765343, 1558765344173
198, 1558765343, 1558765344268
198, 1558765343, 1558765344364
198, 1558765343, 1558765344459
198, 1558765343, 1558765344554
198, 1558765343, 1558765344651
198, 1558765343, 1558765344748
198, 1558765343, 1558765344843
