Power(W), TimePDU(S), TimeNODE(mS)
159, 1558389287, 1558389287237
159, 1558389287, 1558389287313
159, 1558389287, 1558389287393
159, 1558389287, 1558389287471
159, 1558389287, 1558389287548
159, 1558389287, 1558389287625
196, 1558389287, 1558389287703
196, 1558389288, 1558389287783
196, 1558389288, 1558389287860
196, 1558389288, 1558389287937
196, 1558389288, 1558389288015
196, 1558389288, 1558389288093
196, 1558389288, 1558389288173
196, 1558389288, 1558389288252
196, 1558389288, 1558389288329
196, 1558389288, 1558389288406
196, 1558389288, 1558389288484
196, 1558389288, 1558389288564
196, 1558389288, 1558389288644
229, 1558389289, 1558389288724
229, 1558389289, 1558389288803
229, 1558389289, 1558389288881
229, 1558389289, 1558389288959
229, 1558389289, 1558389289036
229, 1558389289, 1558389289112
229, 1558389289, 1558389289191
229, 1558389289, 1558389289270
229, 1558389289, 1558389289346
229, 1558389289, 1558389289424
229, 1558389289, 1558389289503
229, 1558389289, 1558389289581
229, 1558389289, 1558389289659
240, 1558389289, 1558389289738
240, 1558389290, 1558389289816
240, 1558389290, 1558389289892
240, 1558389290, 1558389289970
240, 1558389290, 1558389290052
240, 1558389290, 1558389290131
240, 1558389290, 1558389290210
240, 1558389290, 1558389290287
240, 1558389290, 1558389290364
240, 1558389290, 1558389290444
240, 1558389290, 1558389290523
240, 1558389290, 1558389290600
241, 1558389290, 1558389290681
241, 1558389291, 1558389290763
241, 1558389291, 1558389290842
241, 1558389291, 1558389290921
241, 1558389291, 1558389290997
241, 1558389291, 1558389291075
241, 1558389291, 1558389291153
241, 1558389291, 1558389291232
241, 1558389291, 1558389291309
241, 1558389291, 1558389291386
241, 1558389291, 1558389291466
241, 1558389291, 1558389291545
241, 1558389291, 1558389291623
239, 1558389291, 1558389291702
239, 1558389292, 1558389291783
239, 1558389292, 1558389291861
239, 1558389292, 1558389291939
239, 1558389292, 1558389292017
239, 1558389292, 1558389292096
239, 1558389292, 1558389292175
239, 1558389292, 1558389292253
239, 1558389292, 1558389292330
239, 1558389292, 1558389292408
239, 1558389292, 1558389292485
239, 1558389292, 1558389292563
239, 1558389292, 1558389292642
236, 1558389293, 1558389292720
236, 1558389293, 1558389292797
236, 1558389293, 1558389292874
236, 1558389293, 1558389292953
236, 1558389293, 1558389293031
236, 1558389293, 1558389293109
236, 1558389293, 1558389293186
236, 1558389293, 1558389293266
236, 1558389293, 1558389293345
236, 1558389293, 1558389293423
236, 1558389293, 1558389293499
236, 1558389293, 1558389293578
236, 1558389293, 1558389293656
236, 1558389293, 1558389293734
236, 1558389294, 1558389293813
236, 1558389294, 1558389293891
236, 1558389294, 1558389293968
236, 1558389294, 1558389294046
236, 1558389294, 1558389294124
236, 1558389294, 1558389294203
236, 1558389294, 1558389294281
236, 1558389294, 1558389294358
236, 1558389294, 1558389294436
236, 1558389294, 1558389294515
236, 1558389294, 1558389294594
236, 1558389294, 1558389294671
236, 1558389294, 1558389294778
243, 1558389295, 1558389294882
243, 1558389295, 1558389294987
243, 1558389295, 1558389295095
243, 1558389295, 1558389295203
243, 1558389295, 1558389295310
243, 1558389295, 1558389295417
243, 1558389295, 1558389295521
243, 1558389295, 1558389295625
