Power(W), TimePDU(S), TimeNODE(mS)
182, 1558867880, 1558867879918
182, 1558867881, 1558867879998
182, 1558867881, 1558867880076
182, 1558867881, 1558867880153
182, 1558867881, 1558867880233
182, 1558867881, 1558867880311
182, 1558867881, 1558867880391
182, 1558867881, 1558867880468
182, 1558867881, 1558867880544
182, 1558867881, 1558867880621
182, 1558867881, 1558867880697
182, 1558867881, 1558867880776
182, 1558867881, 1558867880853
280, 1558867881, 1558867880933
280, 1558867881, 1558867881011
280, 1558867881, 1558867881086
280, 1558867881, 1558867881165
280, 1558867881, 1558867881243
280, 1558867881, 1558867881319
280, 1558867881, 1558867881397
280, 1558867881, 1558867881475
280, 1558867881, 1558867881553
280, 1558867881, 1558867881629
280, 1558867881, 1558867881706
280, 1558867881, 1558867881786
280, 1558867881, 1558867881864
291, 1558867881, 1558867881943
291, 1558867883, 1558867882020
291, 1558867883, 1558867882098
291, 1558867883, 1558867882174
291, 1558867883, 1558867882252
291, 1558867883, 1558867882330
291, 1558867883, 1558867882407
291, 1558867883, 1558867882485
291, 1558867883, 1558867882564
291, 1558867883, 1558867882644
291, 1558867883, 1558867882721
291, 1558867883, 1558867882798
291, 1558867883, 1558867882874
291, 1558867883, 1558867882951
270, 1558867884, 1558867883030
270, 1558867884, 1558867883105
270, 1558867884, 1558867883184
270, 1558867884, 1558867883260
270, 1558867884, 1558867883336
270, 1558867884, 1558867883415
270, 1558867884, 1558867883494
270, 1558867884, 1558867883570
270, 1558867884, 1558867883648
270, 1558867884, 1558867883725
270, 1558867884, 1558867883805
270, 1558867884, 1558867883883
291, 1558867885, 1558867883964
291, 1558867885, 1558867884043
291, 1558867885, 1558867884120
291, 1558867885, 1558867884199
291, 1558867885, 1558867884276
291, 1558867885, 1558867884353
291, 1558867885, 1558867884429
291, 1558867885, 1558867884505
291, 1558867885, 1558867884584
291, 1558867885, 1558867884662
291, 1558867885, 1558867884739
291, 1558867885, 1558867884815
290, 1558867885, 1558867884894
290, 1558867886, 1558867884973
290, 1558867886, 1558867885052
290, 1558867886, 1558867885130
290, 1558867886, 1558867885207
290, 1558867886, 1558867885285
290, 1558867886, 1558867885364
290, 1558867886, 1558867885441
290, 1558867886, 1558867885517
290, 1558867886, 1558867885595
290, 1558867886, 1558867885674
290, 1558867886, 1558867885752
290, 1558867886, 1558867885830
270, 1558867886, 1558867885908
270, 1558867887, 1558867885988
270, 1558867887, 1558867886066
270, 1558867887, 1558867886142
270, 1558867887, 1558867886219
270, 1558867887, 1558867886298
270, 1558867887, 1558867886376
270, 1558867887, 1558867886454
270, 1558867887, 1558867886533
270, 1558867887, 1558867886612
270, 1558867887, 1558867886688
270, 1558867887, 1558867886767
270, 1558867887, 1558867886845
292, 1558867887, 1558867886925
292, 1558867887, 1558867887004
292, 1558867887, 1558867887083
292, 1558867887, 1558867887159
292, 1558867887, 1558867887236
292, 1558867887, 1558867887314
292, 1558867887, 1558867887392
292, 1558867887, 1558867887471
292, 1558867887, 1558867887547
292, 1558867887, 1558867887624
292, 1558867887, 1558867887701
292, 1558867887, 1558867887779
