Power(W), TimePDU(S), TimeNODE(mS)
166, 1558672281, 1558672282462
166, 1558672281, 1558672282582
166, 1558672281, 1558672282704
175, 1558672282, 1558672282830
175, 1558672282, 1558672282949
175, 1558672282, 1558672283068
175, 1558672282, 1558672283187
175, 1558672282, 1558672283308
175, 1558672282, 1558672283426
175, 1558672282, 1558672283543
175, 1558672282, 1558672283657
186, 1558672282, 1558672283772
186, 1558672283, 1558672283889
186, 1558672283, 1558672284001
186, 1558672283, 1558672284117
186, 1558672283, 1558672284235
186, 1558672283, 1558672284352
186, 1558672283, 1558672284466
186, 1558672283, 1558672284576
186, 1558672283, 1558672284687
186, 1558672283, 1558672284796
186, 1558672283, 1558672284904
186, 1558672283, 1558672285010
188, 1558672283, 1558672285120
188, 1558672284, 1558672285233
188, 1558672284, 1558672285346
188, 1558672284, 1558672285459
188, 1558672284, 1558672285573
190, 1558672284, 1558672285688
190, 1558672285, 1558672285805
190, 1558672285, 1558672285920
190, 1558672285, 1558672286033
190, 1558672285, 1558672286143
190, 1558672285, 1558672286254
190, 1558672285, 1558672286365
190, 1558672285, 1558672286480
190, 1558672285, 1558672286595
190, 1558672285, 1558672286708
189, 1558672285, 1558672286822
189, 1558672286, 1558672286938
189, 1558672286, 1558672287051
189, 1558672286, 1558672287165
189, 1558672286, 1558672287281
189, 1558672286, 1558672287397
189, 1558672286, 1558672287514
189, 1558672286, 1558672287628
189, 1558672286, 1558672287742
189, 1558672286, 1558672287859
189, 1558672287, 1558672287973
189, 1558672287, 1558672288082
189, 1558672287, 1558672288191
189, 1558672287, 1558672288303
189, 1558672287, 1558672288416
189, 1558672287, 1558672288532
189, 1558672287, 1558672288641
189, 1558672287, 1558672288748
189, 1558672287, 1558672288855
189, 1558672288, 1558672288964
189, 1558672288, 1558672289075
189, 1558672288, 1558672289181
189, 1558672288, 1558672289291
189, 1558672288, 1558672289399
189, 1558672288, 1558672289510
189, 1558672288, 1558672289623
189, 1558672288, 1558672289737
189, 1558672289, 1558672289856
189, 1558672289, 1558672289972
189, 1558672289, 1558672290086
189, 1558672289, 1558672290197
189, 1558672289, 1558672290309
189, 1558672289, 1558672290423
189, 1558672289, 1558672290539
189, 1558672289, 1558672290650
189, 1558672289, 1558672290762
189, 1558672289, 1558672290881
189, 1558672289, 1558672290995
189, 1558672290, 1558672291104
189, 1558672290, 1558672291212
189, 1558672290, 1558672291316
189, 1558672290, 1558672291423
189, 1558672290, 1558672291537
189, 1558672290, 1558672291652
189, 1558672290, 1558672291762
189, 1558672291, 1558672291876
189, 1558672291, 1558672291985
189, 1558672291, 1558672292091
189, 1558672291, 1558672292200
189, 1558672291, 1558672292304
189, 1558672291, 1558672292411
189, 1558672291, 1558672292516
189, 1558672291, 1558672292622
189, 1558672291, 1558672292725
189, 1558672291, 1558672292829
189, 1558672292, 1558672292937
189, 1558672292, 1558672293041
189, 1558672292, 1558672293144
189, 1558672292, 1558672293247
189, 1558672292, 1558672293352
189, 1558672292, 1558672293458
189, 1558672292, 1558672293564
189, 1558672292, 1558672293669
189, 1558672292, 1558672293776
189, 1558672293, 1558672293889
189, 1558672293, 1558672293995
189, 1558672293, 1558672294102
189, 1558672293, 1558672294210
189, 1558672293, 1558672294313
189, 1558672293, 1558672294413
189, 1558672293, 1558672294518
189, 1558672293, 1558672294623
189, 1558672293, 1558672294730
189, 1558672293, 1558672294835
189, 1558672293, 1558672294940
189, 1558672293, 1558672295044
189, 1558672293, 1558672295141
189, 1558672293, 1558672295238
189, 1558672293, 1558672295331
189, 1558672293, 1558672295425
186, 1558672293, 1558672295521
186, 1558672294, 1558672295613
186, 1558672294, 1558672295710
187, 1558672294, 1558672295806
187, 1558672295, 1558672295900
187, 1558672295, 1558672295996
187, 1558672295, 1558672296091
187, 1558672295, 1558672296184
187, 1558672295, 1558672296277
187, 1558672295, 1558672296370
187, 1558672295, 1558672296464
187, 1558672295, 1558672296559
187, 1558672295, 1558672296654
187, 1558672295, 1558672296749
186, 1558672296, 1558672296852
186, 1558672296, 1558672296949
186, 1558672296, 1558672297048
186, 1558672296, 1558672297158
186, 1558672296, 1558672297271
186, 1558672296, 1558672297386
186, 1558672296, 1558672297506
186, 1558672296, 1558672297627
186, 1558672296, 1558672297747
186, 1558672296, 1558672297866
186, 1558672297, 1558672297984
186, 1558672297, 1558672298104
186, 1558672297, 1558672298226
186, 1558672297, 1558672298346
186, 1558672297, 1558672298467
186, 1558672297, 1558672298588
186, 1558672297, 1558672298711
186, 1558672297, 1558672298831
186, 1558672298, 1558672298955
186, 1558672298, 1558672299076
186, 1558672298, 1558672299197
186, 1558672298, 1558672299318
186, 1558672298, 1558672299439
186, 1558672298, 1558672299559
186, 1558672298, 1558672299682
186, 1558672298, 1558672299804
186, 1558672299, 1558672299926
186, 1558672299, 1558672300047
186, 1558672299, 1558672300169
186, 1558672299, 1558672300290
186, 1558672299, 1558672300407
186, 1558672299, 1558672300526
186, 1558672299, 1558672300646
186, 1558672299, 1558672300765
186, 1558672299, 1558672300886
186, 1558672300, 1558672301004
186, 1558672300, 1558672301121
186, 1558672300, 1558672301238
186, 1558672300, 1558672301353
186, 1558672300, 1558672301470
186, 1558672300, 1558672301585
186, 1558672300, 1558672301705
186, 1558672300, 1558672301820
186, 1558672301, 1558672301936
186, 1558672301, 1558672302054
186, 1558672301, 1558672302167
186, 1558672301, 1558672302280
186, 1558672301, 1558672302394
186, 1558672301, 1558672302510
186, 1558672301, 1558672302625
186, 1558672301, 1558672302743
186, 1558672302, 1558672302863
186, 1558672302, 1558672302980
186, 1558672302, 1558672303103
186, 1558672302, 1558672303222
186, 1558672302, 1558672303339
186, 1558672302, 1558672303458
186, 1558672302, 1558672303579
186, 1558672302, 1558672303698
186, 1558672302, 1558672303817
186, 1558672303, 1558672303938
186, 1558672303, 1558672304058
186, 1558672303, 1558672304177
186, 1558672303, 1558672304296
186, 1558672303, 1558672304416
186, 1558672303, 1558672304536
186, 1558672303, 1558672304655
186, 1558672303, 1558672304775
186, 1558672303, 1558672304895
186, 1558672304, 1558672305013
186, 1558672304, 1558672305135
186, 1558672304, 1558672305257
186, 1558672304, 1558672305375
186, 1558672304, 1558672305509
186, 1558672304, 1558672305623
186, 1558672304, 1558672305737
186, 1558672305, 1558672305856
186, 1558672305, 1558672305972
186, 1558672305, 1558672306087
186, 1558672305, 1558672306204
186, 1558672305, 1558672306315
186, 1558672305, 1558672306422
186, 1558672305, 1558672306539
186, 1558672305, 1558672306657
186, 1558672305, 1558672306777
186, 1558672305, 1558672306897
186, 1558672306, 1558672307019
186, 1558672306, 1558672307139
186, 1558672306, 1558672307260
186, 1558672306, 1558672307378
186, 1558672306, 1558672307492
186, 1558672306, 1558672307594
186, 1558672306, 1558672307691
186, 1558672306, 1558672307789
187, 1558672307, 1558672307896
187, 1558672307, 1558672308002
187, 1558672307, 1558672308111
187, 1558672307, 1558672308221
187, 1558672307, 1558672308325
187, 1558672307, 1558672308433
187, 1558672307, 1558672308538
187, 1558672307, 1558672308644
187, 1558672307, 1558672308750
186, 1558672307, 1558672308859
186, 1558672308, 1558672308965
186, 1558672308, 1558672309072
186, 1558672308, 1558672309183
186, 1558672308, 1558672309287
186, 1558672308, 1558672309391
186, 1558672308, 1558672309499
186, 1558672308, 1558672309599
186, 1558672308, 1558672309704
187, 1558672308, 1558672309808
187, 1558672309, 1558672309912
187, 1558672309, 1558672310013
187, 1558672309, 1558672310112
187, 1558672309, 1558672310213
187, 1558672309, 1558672310312
187, 1558672309, 1558672310411
187, 1558672309, 1558672310510
187, 1558672309, 1558672310612
187, 1558672309, 1558672310710
187, 1558672309, 1558672310804
186, 1558672310, 1558672310900
186, 1558672310, 1558672310995
186, 1558672310, 1558672311090
186, 1558672310, 1558672311187
186, 1558672310, 1558672311283
186, 1558672310, 1558672311382
186, 1558672310, 1558672311480
186, 1558672310, 1558672311574
186, 1558672310, 1558672311674
186, 1558672310, 1558672311768
187, 1558672310, 1558672311864
187, 1558672311, 1558672311963
187, 1558672311, 1558672312056
187, 1558672311, 1558672312150
187, 1558672311, 1558672312243
187, 1558672311, 1558672312339
187, 1558672311, 1558672312439
187, 1558672311, 1558672312534
187, 1558672311, 1558672312631
187, 1558672311, 1558672312725
187, 1558672311, 1558672312819
187, 1558672311, 1558672312914
187, 1558672312, 1558672313009
187, 1558672312, 1558672313100
187, 1558672312, 1558672313197
187, 1558672312, 1558672313295
187, 1558672312, 1558672313393
187, 1558672312, 1558672313487
187, 1558672312, 1558672313583
187, 1558672312, 1558672313677
187, 1558672312, 1558672313770
187, 1558672312, 1558672313864
187, 1558672312, 1558672313963
187, 1558672313, 1558672314061
187, 1558672313, 1558672314157
187, 1558672313, 1558672314252
187, 1558672313, 1558672314347
187, 1558672313, 1558672314448
187, 1558672313, 1558672314545
187, 1558672313, 1558672314641
187, 1558672313, 1558672314736
187, 1558672313, 1558672314829
187, 1558672314, 1558672314929
187, 1558672314, 1558672315022
187, 1558672314, 1558672315114
187, 1558672314, 1558672315207
187, 1558672314, 1558672315305
187, 1558672314, 1558672315398
187, 1558672314, 1558672315494
187, 1558672314, 1558672315587
187, 1558672314, 1558672315681
187, 1558672314, 1558672315778
187, 1558672314, 1558672315870
187, 1558672315, 1558672315976
187, 1558672315, 1558672316077
187, 1558672315, 1558672316177
187, 1558672315, 1558672316275
187, 1558672315, 1558672316373
187, 1558672315, 1558672316471
187, 1558672315, 1558672316572
187, 1558672315, 1558672316666
187, 1558672315, 1558672316761
187, 1558672315, 1558672316853
187, 1558672316, 1558672316955
187, 1558672316, 1558672317052
187, 1558672316, 1558672317144
187, 1558672316, 1558672317241
187, 1558672316, 1558672317334
187, 1558672316, 1558672317429
187, 1558672316, 1558672317525
187, 1558672316, 1558672317623
187, 1558672316, 1558672317722
187, 1558672316, 1558672317818
186, 1558672317, 1558672317916
186, 1558672317, 1558672318011
186, 1558672317, 1558672318109
186, 1558672317, 1558672318206
186, 1558672317, 1558672318306
186, 1558672317, 1558672318405
186, 1558672317, 1558672318500
186, 1558672317, 1558672318593
186, 1558672317, 1558672318690
186, 1558672317, 1558672318787
187, 1558672318, 1558672318886
187, 1558672318, 1558672318979
187, 1558672318, 1558672319073
187, 1558672318, 1558672319171
187, 1558672318, 1558672319268
187, 1558672318, 1558672319364
187, 1558672318, 1558672319461
187, 1558672318, 1558672319558
187, 1558672318, 1558672319653
187, 1558672318, 1558672319749
187, 1558672318, 1558672319842
187, 1558672319, 1558672319945
187, 1558672319, 1558672320084
187, 1558672319, 1558672320259
187, 1558672319, 1558672320405
187, 1558672319, 1558672320523
187, 1558672319, 1558672320638
187, 1558672319, 1558672320753
193, 1558672320, 1558672320873
193, 1558672320, 1558672320991
193, 1558672320, 1558672321107
193, 1558672320, 1558672321221
193, 1558672320, 1558672321335
193, 1558672320, 1558672321450
193, 1558672320, 1558672321565
193, 1558672320, 1558672321682
193, 1558672320, 1558672321799
188, 1558672320, 1558672321914
188, 1558672321, 1558672322031
188, 1558672321, 1558672322150
188, 1558672321, 1558672322265
188, 1558672321, 1558672322384
188, 1558672321, 1558672322502
188, 1558672321, 1558672322623
188, 1558672321, 1558672322742
189, 1558672321, 1558672322859
189, 1558672322, 1558672322981
189, 1558672322, 1558672323100
189, 1558672322, 1558672323217
189, 1558672322, 1558672323336
189, 1558672322, 1558672323458
189, 1558672322, 1558672323577
189, 1558672322, 1558672323698
189, 1558672322, 1558672323816
189, 1558672322, 1558672323935
189, 1558672322, 1558672324054
189, 1558672322, 1558672324171
189, 1558672323, 1558672324288
189, 1558672323, 1558672324406
189, 1558672323, 1558672324524
189, 1558672323, 1558672324646
189, 1558672323, 1558672324762
188, 1558672323, 1558672324880
188, 1558672324, 1558672324998
188, 1558672324, 1558672325115
188, 1558672324, 1558672325231
188, 1558672324, 1558672325346
188, 1558672324, 1558672325466
188, 1558672324, 1558672325585
188, 1558672324, 1558672325706
187, 1558672324, 1558672325827
187, 1558672325, 1558672325946
187, 1558672325, 1558672326066
187, 1558672325, 1558672326182
187, 1558672325, 1558672326295
187, 1558672325, 1558672326409
187, 1558672325, 1558672326522
187, 1558672325, 1558672326636
187, 1558672325, 1558672326748
186, 1558672325, 1558672326859
186, 1558672326, 1558672326966
186, 1558672326, 1558672327076
186, 1558672326, 1558672327185
186, 1558672326, 1558672327297
186, 1558672326, 1558672327408
186, 1558672326, 1558672327519
186, 1558672326, 1558672327626
186, 1558672326, 1558672327735
187, 1558672326, 1558672327846
187, 1558672327, 1558672327958
187, 1558672327, 1558672328072
187, 1558672327, 1558672328185
187, 1558672327, 1558672328302
187, 1558672327, 1558672328420
187, 1558672327, 1558672328538
187, 1558672327, 1558672328657
187, 1558672327, 1558672328780
187, 1558672328, 1558672328904
187, 1558672328, 1558672329023
187, 1558672328, 1558672329140
187, 1558672328, 1558672329254
187, 1558672328, 1558672329369
187, 1558672328, 1558672329483
187, 1558672328, 1558672329595
187, 1558672328, 1558672329708
187, 1558672328, 1558672329819
187, 1558672328, 1558672329931
187, 1558672328, 1558672330043
187, 1558672328, 1558672330157
186, 1558672329, 1558672330273
186, 1558672329, 1558672330388
186, 1558672329, 1558672330498
186, 1558672329, 1558672330609
186, 1558672329, 1558672330725
187, 1558672329, 1558672330842
187, 1558672330, 1558672330961
187, 1558672330, 1558672331079
187, 1558672330, 1558672331196
187, 1558672330, 1558672331313
187, 1558672330, 1558672331427
187, 1558672330, 1558672331545
187, 1558672330, 1558672331659
187, 1558672330, 1558672331771
187, 1558672330, 1558672331885
187, 1558672331, 1558672332001
187, 1558672331, 1558672332117
187, 1558672331, 1558672332231
