Power(W), TimePDU(S), TimeNODE(mS)
247, 1558822466, 1558822466505
247, 1558822466, 1558822466621
247, 1558822466, 1558822466736
247, 1558822466, 1558822466854
247, 1558822466, 1558822466970
260, 1558822466, 1558822467086
260, 1558822467, 1558822467201
260, 1558822467, 1558822467316
260, 1558822467, 1558822467429
260, 1558822467, 1558822467543
260, 1558822467, 1558822467657
260, 1558822467, 1558822467772
260, 1558822467, 1558822467888
260, 1558822467, 1558822468005
275, 1558822467, 1558822468122
275, 1558822468, 1558822468238
275, 1558822468, 1558822468354
275, 1558822468, 1558822468468
275, 1558822468, 1558822468583
275, 1558822468, 1558822468698
275, 1558822468, 1558822468815
275, 1558822468, 1558822468932
273, 1558822468, 1558822469052
273, 1558822469, 1558822469170
273, 1558822469, 1558822469253
273, 1558822469, 1558822469331
273, 1558822469, 1558822469410
273, 1558822469, 1558822469488
273, 1558822469, 1558822469566
273, 1558822469, 1558822469643
273, 1558822469, 1558822469723
273, 1558822469, 1558822469799
273, 1558822469, 1558822469877
273, 1558822469, 1558822469955
273, 1558822469, 1558822470032
273, 1558822470, 1558822470111
273, 1558822470, 1558822470187
273, 1558822470, 1558822470265
273, 1558822470, 1558822470344
273, 1558822470, 1558822470422
273, 1558822470, 1558822470502
273, 1558822470, 1558822470581
273, 1558822470, 1558822470660
273, 1558822470, 1558822470736
273, 1558822470, 1558822470815
273, 1558822470, 1558822470893
273, 1558822470, 1558822470973
275, 1558822470, 1558822471052
275, 1558822471, 1558822471132
275, 1558822471, 1558822471207
275, 1558822471, 1558822471282
275, 1558822471, 1558822471359
275, 1558822471, 1558822471438
275, 1558822471, 1558822471516
275, 1558822471, 1558822471593
275, 1558822471, 1558822471669
275, 1558822471, 1558822471747
275, 1558822471, 1558822471824
275, 1558822471, 1558822471903
274, 1558822471, 1558822471983
274, 1558822472, 1558822472063
274, 1558822472, 1558822472141
274, 1558822472, 1558822472219
274, 1558822472, 1558822472297
274, 1558822472, 1558822472376
274, 1558822472, 1558822472453
274, 1558822472, 1558822472531
274, 1558822472, 1558822472607
274, 1558822472, 1558822472685
274, 1558822472, 1558822472762
274, 1558822472, 1558822472841
274, 1558822472, 1558822472919
274, 1558822472, 1558822472997
274, 1558822473, 1558822473076
274, 1558822473, 1558822473155
274, 1558822473, 1558822473234
274, 1558822473, 1558822473315
274, 1558822473, 1558822473394
274, 1558822473, 1558822473474
274, 1558822473, 1558822473551
274, 1558822473, 1558822473630
274, 1558822473, 1558822473709
274, 1558822473, 1558822473788
274, 1558822473, 1558822473867
274, 1558822473, 1558822473944
275, 1558822474, 1558822474025
275, 1558822474, 1558822474103
275, 1558822474, 1558822474184
275, 1558822474, 1558822474263
275, 1558822474, 1558822474339
275, 1558822474, 1558822474417
275, 1558822474, 1558822474496
275, 1558822474, 1558822474572
275, 1558822474, 1558822474650
275, 1558822474, 1558822474727
275, 1558822474, 1558822474807
275, 1558822474, 1558822474885
275, 1558822474, 1558822474966
275, 1558822474, 1558822475044
275, 1558822475, 1558822475125
275, 1558822475, 1558822475204
275, 1558822475, 1558822475284
275, 1558822475, 1558822475364
275, 1558822475, 1558822475444
275, 1558822475, 1558822475523
275, 1558822475, 1558822475599
275, 1558822475, 1558822475676
275, 1558822475, 1558822475755
275, 1558822475, 1558822475834
275, 1558822475, 1558822475912
275, 1558822475, 1558822475989
275, 1558822475, 1558822476067
275, 1558822476, 1558822476146
275, 1558822476, 1558822476225
275, 1558822476, 1558822476305
275, 1558822476, 1558822476385
275, 1558822476, 1558822476463
275, 1558822476, 1558822476541
275, 1558822476, 1558822476617
275, 1558822476, 1558822476693
275, 1558822476, 1558822476771
275, 1558822476, 1558822476850
275, 1558822476, 1558822476927
275, 1558822476, 1558822477006
275, 1558822477, 1558822477085
275, 1558822477, 1558822477163
275, 1558822477, 1558822477243
275, 1558822477, 1558822477320
275, 1558822477, 1558822477400
275, 1558822477, 1558822477478
