Power(W), TimePDU(S), TimeNODE(mS)
257, 1557899261, 1557899261306
257, 1557899261, 1557899261827
257, 1557899261, 1557899261901
257, 1557899261, 1557899261972
314, 1557899261, 1557899262046
314, 1557899262, 1557899262121
314, 1557899262, 1557899262195
314, 1557899262, 1557899262266
314, 1557899262, 1557899262341
314, 1557899262, 1557899262416
314, 1557899262, 1557899262491
314, 1557899262, 1557899262563
314, 1557899262, 1557899262636
314, 1557899262, 1557899262709
314, 1557899262, 1557899262782
314, 1557899262, 1557899262855
314, 1557899262, 1557899262930
314, 1557899262, 1557899263004
314, 1557899262, 1557899263078
342, 1557899263, 1557899263152
342, 1557899263, 1557899263227
342, 1557899263, 1557899263298
342, 1557899263, 1557899263372
342, 1557899263, 1557899263444
342, 1557899263, 1557899263517
342, 1557899263, 1557899263593
342, 1557899263, 1557899263667
342, 1557899263, 1557899263741
342, 1557899263, 1557899263814
342, 1557899263, 1557899263888
342, 1557899263, 1557899263964
342, 1557899263, 1557899264040
342, 1557899264, 1557899264115
342, 1557899264, 1557899264190
342, 1557899264, 1557899264264
342, 1557899264, 1557899264337
342, 1557899264, 1557899264412
342, 1557899264, 1557899264486
342, 1557899264, 1557899264559
342, 1557899264, 1557899264634
342, 1557899264, 1557899264707
342, 1557899264, 1557899264779
342, 1557899264, 1557899264852
342, 1557899264, 1557899264927
342, 1557899264, 1557899265002
333, 1557899264, 1557899265079
333, 1557899265, 1557899265153
333, 1557899265, 1557899265228
333, 1557899265, 1557899265300
333, 1557899265, 1557899265375
333, 1557899265, 1557899265451
333, 1557899265, 1557899265525
333, 1557899265, 1557899265602
333, 1557899265, 1557899265677
333, 1557899265, 1557899265752
333, 1557899265, 1557899265826
333, 1557899265, 1557899265902
333, 1557899265, 1557899265978
342, 1557899266, 1557899266055
342, 1557899266, 1557899266127
342, 1557899266, 1557899266200
342, 1557899266, 1557899266276
342, 1557899266, 1557899266350
342, 1557899266, 1557899266425
342, 1557899266, 1557899266502
342, 1557899266, 1557899266577
342, 1557899266, 1557899266652
342, 1557899266, 1557899266726
342, 1557899266, 1557899266800
342, 1557899266, 1557899266872
342, 1557899266, 1557899266948
342, 1557899266, 1557899267023
343, 1557899267, 1557899267099
343, 1557899267, 1557899267173
343, 1557899267, 1557899267244
343, 1557899267, 1557899267316
343, 1557899267, 1557899267390
343, 1557899267, 1557899267465
343, 1557899267, 1557899267539
343, 1557899267, 1557899267611
343, 1557899267, 1557899267686
343, 1557899267, 1557899267760
343, 1557899267, 1557899267834
343, 1557899267, 1557899267906
343, 1557899267, 1557899267980
344, 1557899268, 1557899268058
344, 1557899268, 1557899268132
344, 1557899268, 1557899268204
344, 1557899268, 1557899268277
344, 1557899268, 1557899268351
