Power(W), TimePDU(S), TimeNODE(mS)
248, 1558866012, 1558866012643
248, 1558866012, 1558866012738
248, 1558866012, 1558866012832
248, 1558866012, 1558866012925
248, 1558866012, 1558866013021
248, 1558866012, 1558866013116
248, 1558866012, 1558866013212
258, 1558866013, 1558866013308
258, 1558866013, 1558866013404
258, 1558866013, 1558866013500
258, 1558866013, 1558866013595
258, 1558866013, 1558866013689
258, 1558866013, 1558866013783
258, 1558866013, 1558866013876
258, 1558866013, 1558866013969
258, 1558866013, 1558866014065
273, 1558866013, 1558866014163
273, 1558866014, 1558866014262
273, 1558866014, 1558866014358
273, 1558866014, 1558866014451
273, 1558866014, 1558866014546
273, 1558866014, 1558866014643
273, 1558866014, 1558866014740
273, 1558866014, 1558866014837
273, 1558866014, 1558866014930
273, 1558866014, 1558866015022
273, 1558866014, 1558866015120
274, 1558866015, 1558866015221
274, 1558866015, 1558866015316
274, 1558866015, 1558866015409
274, 1558866015, 1558866015501
274, 1558866015, 1558866015596
274, 1558866015, 1558866015691
274, 1558866015, 1558866015786
274, 1558866015, 1558866015884
274, 1558866015, 1558866015980
274, 1558866015, 1558866016074
274, 1558866015, 1558866016171
274, 1558866016, 1558866016269
274, 1558866016, 1558866016364
274, 1558866016, 1558866016459
274, 1558866016, 1558866016554
274, 1558866016, 1558866016650
274, 1558866016, 1558866016745
274, 1558866016, 1558866016839
274, 1558866016, 1558866016934
274, 1558866016, 1558866017030
274, 1558866016, 1558866017124
274, 1558866016, 1558866017219
274, 1558866017, 1558866017317
274, 1558866017, 1558866017412
274, 1558866017, 1558866017506
274, 1558866017, 1558866017602
274, 1558866017, 1558866017696
274, 1558866017, 1558866017789
274, 1558866017, 1558866017884
274, 1558866017, 1558866017977
274, 1558866017, 1558866018071
274, 1558866017, 1558866018167
274, 1558866018, 1558866018264
274, 1558866018, 1558866018360
274, 1558866018, 1558866018458
274, 1558866018, 1558866018553
274, 1558866018, 1558866018650
274, 1558866018, 1558866018745
274, 1558866018, 1558866018841
274, 1558866018, 1558866018936
274, 1558866018, 1558866019032
274, 1558866018, 1558866019129
275, 1558866018, 1558866019227
275, 1558866019, 1558866019342
275, 1558866019, 1558866019453
275, 1558866019, 1558866019568
275, 1558866019, 1558866019682
275, 1558866019, 1558866019794
275, 1558866019, 1558866019904
275, 1558866019, 1558866020014
275, 1558866019, 1558866020125
275, 1558866020, 1558866020236
275, 1558866020, 1558866020341
275, 1558866020, 1558866020445
275, 1558866020, 1558866020550
275, 1558866020, 1558866020653
275, 1558866020, 1558866020755
275, 1558866020, 1558866020855
275, 1558866020, 1558866020956
275, 1558866020, 1558866021056
274, 1558866021, 1558866021157
274, 1558866021, 1558866021254
274, 1558866021, 1558866021348
274, 1558866021, 1558866021444
274, 1558866021, 1558866021539
274, 1558866021, 1558866021636
274, 1558866021, 1558866021734
274, 1558866021, 1558866021831
274, 1558866021, 1558866021926
274, 1558866021, 1558866022021
274, 1558866021, 1558866022118
274, 1558866021, 1558866022213
274, 1558866022, 1558866022312
274, 1558866022, 1558866022406
274, 1558866022, 1558866022502
274, 1558866022, 1558866022596
274, 1558866022, 1558866022692
274, 1558866022, 1558866022785
274, 1558866022, 1558866022881
274, 1558866022, 1558866022976
274, 1558866022, 1558866023071
274, 1558866022, 1558866023165
273, 1558866023, 1558866023268
273, 1558866023, 1558866023365
273, 1558866023, 1558866023462
273, 1558866023, 1558866023561
273, 1558866023, 1558866023655
273, 1558866023, 1558866023749
273, 1558866023, 1558866023842
273, 1558866023, 1558866023935
273, 1558866023, 1558866024031
273, 1558866023, 1558866024126
274, 1558866024, 1558866024232
274, 1558866024, 1558866024325
274, 1558866024, 1558866024420
274, 1558866024, 1558866024516
274, 1558866024, 1558866024612
274, 1558866024, 1558866024707
274, 1558866024, 1558866024801
274, 1558866024, 1558866024894
274, 1558866024, 1558866024991
274, 1558866024, 1558866025085
274, 1558866024, 1558866025179
273, 1558866025, 1558866025276
273, 1558866025, 1558866025370
273, 1558866025, 1558866025464
273, 1558866025, 1558866025558
273, 1558866025, 1558866025651
273, 1558866025, 1558866025747
273, 1558866025, 1558866025843
