Power(W), TimePDU(S), TimeNODE(mS)
257, 1558253258, 1558253258563
257, 1558253258, 1558253258675
257, 1558253258, 1558253258787
257, 1558253258, 1558253258900
257, 1558253258, 1558253259013
257, 1558253258, 1558253259127
257, 1558253258, 1558253259240
257, 1558253258, 1558253259353
373, 1558253258, 1558253259466
373, 1558253259, 1558253259578
373, 1558253259, 1558253259689
373, 1558253259, 1558253259798
373, 1558253259, 1558253259909
373, 1558253259, 1558253260017
373, 1558253259, 1558253260127
373, 1558253259, 1558253260238
373, 1558253259, 1558253260347
373, 1558253259, 1558253260456
373, 1558253259, 1558253260564
373, 1558253259, 1558253260674
393, 1558253260, 1558253260787
393, 1558253260, 1558253260895
393, 1558253260, 1558253261006
393, 1558253260, 1558253261115
393, 1558253260, 1558253261230
393, 1558253260, 1558253261341
394, 1558253260, 1558253261455
394, 1558253261, 1558253261565
394, 1558253261, 1558253261675
394, 1558253261, 1558253261787
394, 1558253261, 1558253261899
394, 1558253261, 1558253262010
394, 1558253261, 1558253262120
394, 1558253261, 1558253262231
394, 1558253261, 1558253262343
395, 1558253261, 1558253262458
395, 1558253262, 1558253262572
395, 1558253262, 1558253262686
395, 1558253262, 1558253262798
395, 1558253262, 1558253262912
395, 1558253262, 1558253263029
395, 1558253262, 1558253263142
395, 1558253262, 1558253263253
395, 1558253262, 1558253263366
395, 1558253262, 1558253263479
395, 1558253263, 1558253263598
395, 1558253263, 1558253263715
395, 1558253263, 1558253263833
395, 1558253263, 1558253263950
395, 1558253263, 1558253264066
395, 1558253263, 1558253264144
395, 1558253263, 1558253264222
395, 1558253263, 1558253264298
395, 1558253263, 1558253264377
395, 1558253263, 1558253264455
396, 1558253264, 1558253264534
396, 1558253264, 1558253264614
396, 1558253264, 1558253264687
396, 1558253264, 1558253264760
396, 1558253264, 1558253264834
396, 1558253264, 1558253264910
396, 1558253264, 1558253264988
396, 1558253264, 1558253265064
396, 1558253264, 1558253265141
396, 1558253264, 1558253265217
396, 1558253264, 1558253265294
396, 1558253264, 1558253265370
396, 1558253264, 1558253265446
396, 1558253265, 1558253265522
396, 1558253265, 1558253265599
396, 1558253265, 1558253265674
396, 1558253265, 1558253265751
396, 1558253265, 1558253265826
396, 1558253265, 1558253265902
396, 1558253265, 1558253265979
396, 1558253265, 1558253266054
396, 1558253265, 1558253266131
396, 1558253265, 1558253266208
396, 1558253265, 1558253266285
396, 1558253265, 1558253266362
396, 1558253265, 1558253266440
397, 1558253266, 1558253266521
397, 1558253266, 1558253266597
397, 1558253266, 1558253266673
397, 1558253266, 1558253266750
397, 1558253266, 1558253266828
397, 1558253266, 1558253266906
397, 1558253266, 1558253266982
397, 1558253266, 1558253267060
397, 1558253266, 1558253267136
397, 1558253266, 1558253267213
397, 1558253266, 1558253267290
397, 1558253266, 1558253267367
397, 1558253266, 1558253267443
397, 1558253267, 1558253267522
397, 1558253267, 1558253267597
397, 1558253267, 1558253267674
397, 1558253267, 1558253267751
397, 1558253267, 1558253267829
397, 1558253267, 1558253267906
397, 1558253267, 1558253267982
397, 1558253267, 1558253268059
397, 1558253267, 1558253268135
397, 1558253267, 1558253268212
397, 1558253267, 1558253268290
397, 1558253267, 1558253268367
397, 1558253267, 1558253268443
397, 1558253268, 1558253268523
397, 1558253268, 1558253268600
397, 1558253268, 1558253268677
397, 1558253268, 1558253268754
397, 1558253268, 1558253268831
397, 1558253268, 1558253268908
397, 1558253268, 1558253268984
397, 1558253268, 1558253269061
397, 1558253268, 1558253269139
397, 1558253268, 1558253269215
397, 1558253268, 1558253269292
397, 1558253268, 1558253269370
396, 1558253268, 1558253269446
396, 1558253269, 1558253269523
396, 1558253269, 1558253269601
396, 1558253269, 1558253269677
396, 1558253269, 1558253269756
396, 1558253269, 1558253269834
396, 1558253269, 1558253269913
396, 1558253269, 1558253269991
396, 1558253269, 1558253270069
396, 1558253269, 1558253270147
396, 1558253269, 1558253270225
396, 1558253269, 1558253270304
396, 1558253269, 1558253270383
398, 1558253269, 1558253270462
398, 1558253270, 1558253270540
398, 1558253270, 1558253270617
398, 1558253270, 1558253270695
398, 1558253270, 1558253270773
398, 1558253270, 1558253270849
398, 1558253270, 1558253270925
398, 1558253270, 1558253271003
398, 1558253270, 1558253271080
398, 1558253270, 1558253271158
398, 1558253270, 1558253271235
398, 1558253270, 1558253271313
398, 1558253270, 1558253271392
397, 1558253270, 1558253271470
397, 1558253271, 1558253271548
397, 1558253271, 1558253271625
397, 1558253271, 1558253271704
397, 1558253271, 1558253271781
397, 1558253271, 1558253271857
397, 1558253271, 1558253271934
397, 1558253271, 1558253272012
397, 1558253271, 1558253272091
397, 1558253271, 1558253272169
397, 1558253271, 1558253272248
397, 1558253271, 1558253272326
397, 1558253271, 1558253272405
397, 1558253271, 1558253272483
397, 1558253272, 1558253272562
397, 1558253272, 1558253272639
397, 1558253272, 1558253272716
397, 1558253272, 1558253272794
397, 1558253272, 1558253272872
397, 1558253272, 1558253272951
397, 1558253272, 1558253273029
397, 1558253272, 1558253273108
397, 1558253272, 1558253273186
397, 1558253272, 1558253273264
397, 1558253272, 1558253273343
397, 1558253272, 1558253273421
397, 1558253272, 1558253273500
397, 1558253273, 1558253273580
397, 1558253273, 1558253273659
397, 1558253273, 1558253273737
397, 1558253273, 1558253273816
397, 1558253273, 1558253273894
397, 1558253273, 1558253273974
397, 1558253273, 1558253274052
397, 1558253273, 1558253274129
397, 1558253273, 1558253274206
397, 1558253273, 1558253274285
397, 1558253273, 1558253274361
397, 1558253273, 1558253274439
397, 1558253274, 1558253274519
397, 1558253274, 1558253274599
397, 1558253274, 1558253274675
397, 1558253274, 1558253274752
397, 1558253274, 1558253274848
397, 1558253274, 1558253274943
397, 1558253274, 1558253275039
397, 1558253274, 1558253275133
397, 1558253274, 1558253275229
397, 1558253274, 1558253275322
397, 1558253274, 1558253275420
397, 1558253274, 1558253275515
397, 1558253274, 1558253275608
397, 1558253274, 1558253275710
397, 1558253274, 1558253275809
398, 1558253274, 1558253275907
398, 1558253275, 1558253276006
398, 1558253275, 1558253276106
398, 1558253275, 1558253276205
398, 1558253275, 1558253276301
398, 1558253275, 1558253276399
400, 1558253275, 1558253276496
400, 1558253276, 1558253276595
400, 1558253276, 1558253276695
400, 1558253276, 1558253276796
400, 1558253276, 1558253276897
400, 1558253276, 1558253276996
400, 1558253276, 1558253277098
400, 1558253276, 1558253277199
400, 1558253276, 1558253277301
400, 1558253276, 1558253277407
399, 1558253277, 1558253277514
399, 1558253277, 1558253277619
399, 1558253277, 1558253277719
399, 1558253277, 1558253277823
399, 1558253277, 1558253277930
399, 1558253277, 1558253278031
399, 1558253277, 1558253278134
399, 1558253277, 1558253278236
399, 1558253277, 1558253278340
399, 1558253277, 1558253278442
399, 1558253277, 1558253278542
399, 1558253277, 1558253278640
399, 1558253277, 1558253278738
400, 1558253277, 1558253278838
400, 1558253278, 1558253278933
400, 1558253278, 1558253279029
400, 1558253278, 1558253279123
400, 1558253278, 1558253279218
400, 1558253278, 1558253279314
400, 1558253278, 1558253279410
401, 1558253279, 1558253279507
401, 1558253279, 1558253279602
401, 1558253279, 1558253279696
401, 1558253279, 1558253279793
401, 1558253279, 1558253279888
401, 1558253279, 1558253279983
401, 1558253279, 1558253280129
401, 1558253279, 1558253280264
401, 1558253279, 1558253280395
401, 1558253279, 1558253280496
401, 1558253280, 1558253280600
401, 1558253280, 1558253280706
401, 1558253280, 1558253280812
401, 1558253280, 1558253280919
401, 1558253280, 1558253281029
401, 1558253280, 1558253281137
401, 1558253280, 1558253281248
401, 1558253280, 1558253281359
401, 1558253280, 1558253281470
402, 1558253280, 1558253281580
402, 1558253281, 1558253281693
402, 1558253281, 1558253281801
402, 1558253281, 1558253281912
402, 1558253281, 1558253282023
402, 1558253281, 1558253282135
402, 1558253281, 1558253282246
402, 1558253281, 1558253282354
402, 1558253281, 1558253282461
402, 1558253282, 1558253282569
402, 1558253282, 1558253282674
402, 1558253282, 1558253282780
402, 1558253282, 1558253282885
402, 1558253282, 1558253282989
402, 1558253282, 1558253283095
402, 1558253282, 1558253283201
402, 1558253282, 1558253283307
402, 1558253282, 1558253283414
402, 1558253282, 1558253283524
402, 1558253283, 1558253283635
402, 1558253283, 1558253283745
402, 1558253283, 1558253283854
402, 1558253283, 1558253283964
402, 1558253283, 1558253284073
402, 1558253283, 1558253284182
402, 1558253283, 1558253284289
402, 1558253283, 1558253284391
401, 1558253283, 1558253284495
401, 1558253284, 1558253284603
401, 1558253284, 1558253284710
401, 1558253284, 1558253284816
401, 1558253284, 1558253284923
401, 1558253284, 1558253285032
401, 1558253284, 1558253285138
401, 1558253284, 1558253285243
401, 1558253284, 1558253285348
401, 1558253284, 1558253285457
402, 1558253285, 1558253285571
402, 1558253285, 1558253285681
402, 1558253285, 1558253285793
402, 1558253285, 1558253285907
402, 1558253285, 1558253286020
402, 1558253285, 1558253286134
402, 1558253285, 1558253286246
402, 1558253285, 1558253286356
401, 1558253285, 1558253286467
401, 1558253286, 1558253286583
401, 1558253286, 1558253286698
401, 1558253286, 1558253286814
401, 1558253286, 1558253286931
401, 1558253286, 1558253287047
401, 1558253286, 1558253287162
401, 1558253286, 1558253287275
401, 1558253286, 1558253287388
401, 1558253286, 1558253287500
401, 1558253286, 1558253287617
401, 1558253287, 1558253287730
401, 1558253287, 1558253287840
401, 1558253287, 1558253287950
401, 1558253287, 1558253288060
401, 1558253287, 1558253288174
401, 1558253287, 1558253288290
401, 1558253287, 1558253288405
401, 1558253287, 1558253288523
401, 1558253288, 1558253288641
401, 1558253288, 1558253288759
401, 1558253288, 1558253288878
401, 1558253288, 1558253289000
401, 1558253288, 1558253289123
401, 1558253288, 1558253289243
401, 1558253288, 1558253289362
401, 1558253288, 1558253289481
401, 1558253289, 1558253289603
401, 1558253289, 1558253289721
401, 1558253289, 1558253289840
401, 1558253289, 1558253289960
401, 1558253289, 1558253290078
401, 1558253289, 1558253290199
401, 1558253289, 1558253290318
401, 1558253289, 1558253290438
401, 1558253290, 1558253290563
401, 1558253290, 1558253290682
401, 1558253290, 1558253290802
401, 1558253290, 1558253290922
401, 1558253290, 1558253291042
401, 1558253290, 1558253291163
401, 1558253290, 1558253291283
401, 1558253290, 1558253291398
401, 1558253290, 1558253291518
401, 1558253291, 1558253291640
401, 1558253291, 1558253291757
401, 1558253291, 1558253291875
401, 1558253291, 1558253291991
401, 1558253291, 1558253292105
401, 1558253291, 1558253292218
401, 1558253291, 1558253292328
401, 1558253291, 1558253292439
402, 1558253291, 1558253292549
402, 1558253292, 1558253292662
402, 1558253292, 1558253292771
402, 1558253292, 1558253292883
402, 1558253292, 1558253292993
402, 1558253292, 1558253293102
402, 1558253292, 1558253293210
402, 1558253292, 1558253293321
402, 1558253292, 1558253293430
402, 1558253292, 1558253293540
402, 1558253292, 1558253293653
402, 1558253292, 1558253293765
403, 1558253293, 1558253293881
403, 1558253293, 1558253293993
403, 1558253293, 1558253294107
403, 1558253293, 1558253294220
403, 1558253293, 1558253294334
403, 1558253293, 1558253294444
402, 1558253293, 1558253294555
402, 1558253294, 1558253294669
402, 1558253294, 1558253294778
402, 1558253294, 1558253294890
402, 1558253294, 1558253295003
402, 1558253294, 1558253295114
402, 1558253294, 1558253295222
402, 1558253294, 1558253295328
402, 1558253294, 1558253295437
402, 1558253295, 1558253295556
402, 1558253295, 1558253295667
402, 1558253295, 1558253295779
402, 1558253295, 1558253295892
402, 1558253295, 1558253296004
402, 1558253295, 1558253296115
402, 1558253295, 1558253296228
402, 1558253295, 1558253296336
402, 1558253295, 1558253296444
402, 1558253295, 1558253296549
402, 1558253295, 1558253296652
402, 1558253295, 1558253296757
403, 1558253295, 1558253296863
403, 1558253296, 1558253296964
403, 1558253296, 1558253297063
403, 1558253296, 1558253297162
403, 1558253296, 1558253297259
403, 1558253296, 1558253297354
403, 1558253296, 1558253297451
403, 1558253296, 1558253297547
402, 1558253297, 1558253297646
402, 1558253297, 1558253297740
402, 1558253297, 1558253297836
402, 1558253297, 1558253297932
402, 1558253297, 1558253298027
402, 1558253297, 1558253298122
402, 1558253297, 1558253298216
402, 1558253297, 1558253298311
402, 1558253297, 1558253298404
402, 1558253297, 1558253298502
403, 1558253298, 1558253298600
403, 1558253298, 1558253298694
403, 1558253298, 1558253298790
403, 1558253298, 1558253298883
403, 1558253298, 1558253298974
403, 1558253298, 1558253299072
403, 1558253298, 1558253299168
403, 1558253298, 1558253299262
403, 1558253298, 1558253299358
403, 1558253298, 1558253299454
403, 1558253299, 1558253299552
403, 1558253299, 1558253299646
403, 1558253299, 1558253299736
403, 1558253299, 1558253299831
403, 1558253299, 1558253299924
403, 1558253299, 1558253300016
403, 1558253299, 1558253300112
403, 1558253299, 1558253300207
403, 1558253299, 1558253300302
403, 1558253299, 1558253300399
403, 1558253299, 1558253300495
403, 1558253299, 1558253300591
403, 1558253299, 1558253300686
403, 1558253299, 1558253300782
403, 1558253299, 1558253300877
403, 1558253300, 1558253300974
403, 1558253300, 1558253301071
403, 1558253300, 1558253301166
403, 1558253300, 1558253301260
403, 1558253300, 1558253301357
403, 1558253300, 1558253301453
403, 1558253300, 1558253301551
403, 1558253301, 1558253301665
403, 1558253301, 1558253301777
403, 1558253301, 1558253301889
403, 1558253301, 1558253302000
403, 1558253301, 1558253302107
403, 1558253301, 1558253302217
403, 1558253301, 1558253302329
403, 1558253301, 1558253302442
403, 1558253301, 1558253302558
403, 1558253302, 1558253302677
403, 1558253302, 1558253302797
403, 1558253302, 1558253302917
403, 1558253302, 1558253303036
403, 1558253302, 1558253303156
403, 1558253302, 1558253303278
403, 1558253302, 1558253303400
403, 1558253302, 1558253303520
405, 1558253302, 1558253303640
405, 1558253303, 1558253303760
405, 1558253303, 1558253303879
405, 1558253303, 1558253303998
405, 1558253303, 1558253304119
405, 1558253303, 1558253304240
405, 1558253303, 1558253304361
405, 1558253303, 1558253304483
404, 1558253303, 1558253304604
404, 1558253304, 1558253304727
404, 1558253304, 1558253304849
404, 1558253304, 1558253304970
