Power(W), TimePDU(S), TimeNODE(mS)
157, 1558418090, 1558418090711
164, 1558418090, 1558418090789
164, 1558418091, 1558418090870
164, 1558418091, 1558418090947
164, 1558418091, 1558418091025
164, 1558418091, 1558418091103
164, 1558418091, 1558418091181
164, 1558418091, 1558418091257
164, 1558418091, 1558418091337
164, 1558418091, 1558418091414
164, 1558418091, 1558418091492
164, 1558418091, 1558418091572
164, 1558418091, 1558418091649
164, 1558418091, 1558418091728
178, 1558418092, 1558418091806
178, 1558418092, 1558418091883
178, 1558418092, 1558418091959
178, 1558418092, 1558418092036
178, 1558418092, 1558418092113
178, 1558418092, 1558418092191
178, 1558418092, 1558418092268
178, 1558418092, 1558418092346
178, 1558418092, 1558418092426
178, 1558418092, 1558418092503
178, 1558418092, 1558418092583
178, 1558418092, 1558418092662
178, 1558418092, 1558418092741
182, 1558418092, 1558418092818
182, 1558418093, 1558418092896
182, 1558418093, 1558418092974
182, 1558418093, 1558418093052
182, 1558418093, 1558418093130
182, 1558418093, 1558418093210
182, 1558418093, 1558418093288
182, 1558418093, 1558418093365
182, 1558418093, 1558418093445
182, 1558418093, 1558418093523
182, 1558418093, 1558418093603
182, 1558418093, 1558418093682
182, 1558418093, 1558418093759
182, 1558418094, 1558418093837
182, 1558418094, 1558418093915
182, 1558418094, 1558418093994
182, 1558418094, 1558418094074
182, 1558418094, 1558418094153
182, 1558418094, 1558418094231
182, 1558418094, 1558418094307
182, 1558418094, 1558418094384
182, 1558418094, 1558418094463
182, 1558418094, 1558418094541
182, 1558418094, 1558418094619
182, 1558418094, 1558418094696
182, 1558418094, 1558418094775
181, 1558418095, 1558418094856
181, 1558418095, 1558418094933
181, 1558418095, 1558418095012
181, 1558418095, 1558418095090
181, 1558418095, 1558418095167
181, 1558418095, 1558418095244
181, 1558418095, 1558418095323
181, 1558418095, 1558418095404
181, 1558418095, 1558418095482
181, 1558418095, 1558418095560
181, 1558418095, 1558418095637
181, 1558418095, 1558418095715
181, 1558418095, 1558418095792
181, 1558418096, 1558418095871
181, 1558418096, 1558418095948
181, 1558418096, 1558418096068
181, 1558418096, 1558418096186
181, 1558418096, 1558418096304
181, 1558418096, 1558418096419
181, 1558418096, 1558418096534
181, 1558418096, 1558418096649
181, 1558418096, 1558418096763
174, 1558418097, 1558418096881
174, 1558418097, 1558418096996
174, 1558418097, 1558418097110
174, 1558418097, 1558418097225
174, 1558418097, 1558418097340
174, 1558418097, 1558418097455
174, 1558418097, 1558418097571
174, 1558418097, 1558418097689
181, 1558418097, 1558418097807
181, 1558418098, 1558418097926
181, 1558418098, 1558418098043
181, 1558418098, 1558418098160
181, 1558418098, 1558418098276
181, 1558418098, 1558418098392
181, 1558418098, 1558418098507
181, 1558418098, 1558418098623
181, 1558418098, 1558418098740
181, 1558418098, 1558418098857
181, 1558418099, 1558418098977
181, 1558418099, 1558418099095
181, 1558418099, 1558418099211
181, 1558418099, 1558418099328
181, 1558418099, 1558418099444
181, 1558418099, 1558418099561
181, 1558418099, 1558418099678
181, 1558418099, 1558418099794
181, 1558418099, 1558418099909
181, 1558418099, 1558418100020
181, 1558418099, 1558418100135
181, 1558418100, 1558418100252
181, 1558418100, 1558418100372
181, 1558418100, 1558418100489
181, 1558418100, 1558418100602
181, 1558418100, 1558418100717
181, 1558418100, 1558418100833
181, 1558418101, 1558418100951
181, 1558418101, 1558418101068
181, 1558418101, 1558418101185
181, 1558418101, 1558418101300
