Power(W), TimePDU(S), TimeNODE(mS)
157, 1558244375, 1558244374661
157, 1558244375, 1558244374739
157, 1558244375, 1558244374816
157, 1558244375, 1558244374895
165, 1558244375, 1558244374972
165, 1558244376, 1558244375054
165, 1558244376, 1558244375132
165, 1558244376, 1558244375210
165, 1558244376, 1558244375288
165, 1558244376, 1558244375366
165, 1558244376, 1558244375445
165, 1558244376, 1558244375523
165, 1558244376, 1558244375602
165, 1558244376, 1558244375680
165, 1558244376, 1558244375757
165, 1558244376, 1558244375836
165, 1558244376, 1558244375915
179, 1558244376, 1558244375993
179, 1558244377, 1558244376074
179, 1558244377, 1558244376153
179, 1558244377, 1558244376230
179, 1558244377, 1558244376305
179, 1558244377, 1558244376380
179, 1558244377, 1558244376458
179, 1558244377, 1558244376535
179, 1558244377, 1558244376614
179, 1558244377, 1558244376689
179, 1558244377, 1558244376764
179, 1558244377, 1558244376842
179, 1558244377, 1558244376921
180, 1558244378, 1558244376999
180, 1558244378, 1558244377075
180, 1558244378, 1558244377151
180, 1558244378, 1558244377227
180, 1558244378, 1558244377305
180, 1558244378, 1558244377381
180, 1558244378, 1558244377458
180, 1558244378, 1558244377536
180, 1558244378, 1558244377614
180, 1558244378, 1558244377692
180, 1558244378, 1558244377769
180, 1558244378, 1558244377846
180, 1558244378, 1558244377925
180, 1558244378, 1558244378002
180, 1558244379, 1558244378082
180, 1558244379, 1558244378157
180, 1558244379, 1558244378331
180, 1558244379, 1558244378408
180, 1558244379, 1558244378485
180, 1558244379, 1558244378564
180, 1558244379, 1558244378643
180, 1558244379, 1558244378719
180, 1558244379, 1558244378795
180, 1558244379, 1558244378872
180, 1558244379, 1558244378950
180, 1558244380, 1558244379029
180, 1558244380, 1558244379107
180, 1558244380, 1558244379185
180, 1558244380, 1558244379264
180, 1558244380, 1558244379341
180, 1558244380, 1558244379418
180, 1558244380, 1558244379496
180, 1558244380, 1558244379573
180, 1558244380, 1558244379648
180, 1558244380, 1558244379724
180, 1558244380, 1558244379800
180, 1558244380, 1558244379877
181, 1558244381, 1558244379956
181, 1558244381, 1558244380032
181, 1558244381, 1558244380129
181, 1558244381, 1558244380226
181, 1558244381, 1558244380324
181, 1558244381, 1558244380420
181, 1558244381, 1558244380514
181, 1558244381, 1558244380609
181, 1558244381, 1558244380704
181, 1558244381, 1558244380800
181, 1558244381, 1558244380892
181, 1558244381, 1558244380988
181, 1558244382, 1558244381089
181, 1558244382, 1558244381186
181, 1558244382, 1558244381281
181, 1558244382, 1558244381376
181, 1558244382, 1558244381472
181, 1558244382, 1558244381569
181, 1558244382, 1558244381666
181, 1558244382, 1558244381761
181, 1558244382, 1558244381854
181, 1558244382, 1558244381950
181, 1558244382, 1558244382047
181, 1558244383, 1558244382141
181, 1558244383, 1558244382239
181, 1558244383, 1558244382333
181, 1558244383, 1558244382428
181, 1558244383, 1558244382523
181, 1558244383, 1558244382618
181, 1558244383, 1558244382711
181, 1558244383, 1558244382808
181, 1558244383, 1558244382905
181, 1558244383, 1558244382999
181, 1558244383, 1558244383096
181, 1558244384, 1558244383194
181, 1558244384, 1558244383295
181, 1558244384, 1558244383387
181, 1558244384, 1558244383480
