Power(W), TimePDU(S), TimeNODE(mS)
176, 1558839617, 1558839617846
176, 1558839617, 1558839617949
176, 1558839617, 1558839618055
176, 1558839617, 1558839618159
176, 1558839617, 1558839618263
176, 1558839617, 1558839618366
176, 1558839617, 1558839618470
176, 1558839617, 1558839618573
188, 1558839617, 1558839618680
188, 1558839618, 1558839618786
188, 1558839618, 1558839618887
188, 1558839618, 1558839618990
188, 1558839618, 1558839619092
188, 1558839618, 1558839619193
188, 1558839618, 1558839619293
188, 1558839618, 1558839619390
188, 1558839618, 1558839619489
188, 1558839618, 1558839619585
188, 1558839618, 1558839619682
191, 1558839618, 1558839619778
191, 1558839620, 1558839619878
191, 1558839620, 1558839619977
191, 1558839620, 1558839620075
191, 1558839620, 1558839620174
191, 1558839620, 1558839620271
191, 1558839620, 1558839620368
191, 1558839620, 1558839620463
191, 1558839620, 1558839620558
191, 1558839620, 1558839620656
191, 1558839620, 1558839620750
191, 1558839620, 1558839620846
191, 1558839621, 1558839620947
191, 1558839621, 1558839621047
191, 1558839621, 1558839621148
191, 1558839621, 1558839621248
191, 1558839621, 1558839621350
191, 1558839621, 1558839621450
191, 1558839621, 1558839621551
191, 1558839621, 1558839621650
191, 1558839621, 1558839621749
192, 1558839621, 1558839621850
192, 1558839622, 1558839621947
192, 1558839622, 1558839622043
192, 1558839622, 1558839622139
192, 1558839622, 1558839622234
192, 1558839622, 1558839622332
192, 1558839622, 1558839622426
192, 1558839622, 1558839622522
192, 1558839622, 1558839622618
192, 1558839622, 1558839622713
192, 1558839622, 1558839622808
191, 1558839623, 1558839622906
191, 1558839623, 1558839623001
191, 1558839623, 1558839623096
191, 1558839623, 1558839623193
191, 1558839623, 1558839623289
191, 1558839623, 1558839623384
191, 1558839623, 1558839623480
191, 1558839623, 1558839623578
191, 1558839623, 1558839623674
191, 1558839623, 1558839623770
192, 1558839624, 1558839623872
192, 1558839624, 1558839623967
192, 1558839624, 1558839624062
192, 1558839624, 1558839624158
192, 1558839624, 1558839624252
192, 1558839624, 1558839624347
192, 1558839624, 1558839624440
192, 1558839624, 1558839624533
192, 1558839624, 1558839624628
192, 1558839624, 1558839624724
192, 1558839624, 1558839624820
191, 1558839625, 1558839624923
191, 1558839625, 1558839625021
191, 1558839625, 1558839625118
191, 1558839625, 1558839625215
191, 1558839625, 1558839625312
191, 1558839625, 1558839625409
191, 1558839625, 1558839625505
191, 1558839625, 1558839625600
191, 1558839625, 1558839625696
191, 1558839625, 1558839625793
192, 1558839626, 1558839625891
192, 1558839626, 1558839625985
192, 1558839626, 1558839626081
192, 1558839626, 1558839626178
192, 1558839626, 1558839626273
192, 1558839626, 1558839626368
192, 1558839626, 1558839626463
192, 1558839626, 1558839626558
192, 1558839626, 1558839626653
192, 1558839626, 1558839626750
192, 1558839626, 1558839626846
192, 1558839627, 1558839626947
192, 1558839627, 1558839627045
192, 1558839627, 1558839627144
192, 1558839627, 1558839627241
192, 1558839627, 1558839627338
192, 1558839627, 1558839627433
192, 1558839627, 1558839627529
192, 1558839627, 1558839627627
192, 1558839627, 1558839627725
193, 1558839628, 1558839627826
193, 1558839628, 1558839627921
193, 1558839628, 1558839628018
193, 1558839628, 1558839628114
193, 1558839628, 1558839628194
193, 1558839628, 1558839628274
193, 1558839628, 1558839628350
193, 1558839628, 1558839628428
193, 1558839628, 1558839628507
193, 1558839628, 1558839628585
193, 1558839628, 1558839628663
193, 1558839628, 1558839628740
193, 1558839628, 1558839628817
193, 1558839628, 1558839628896
193, 1558839628, 1558839628976
192, 1558839628, 1558839629055
192, 1558839629, 1558839629134
192, 1558839629, 1558839629212
192, 1558839629, 1558839629290
192, 1558839629, 1558839629368
192, 1558839629, 1558839629446
192, 1558839629, 1558839629522
192, 1558839629, 1558839629601
192, 1558839629, 1558839629679
192, 1558839629, 1558839629757
193, 1558839630, 1558839629834
193, 1558839630, 1558839629913
193, 1558839630, 1558839629993
193, 1558839630, 1558839630071
