Power(W), TimePDU(S), TimeNODE(mS)
179, 1558800941, 1558800942177
179, 1558800941, 1558800942278
179, 1558800941, 1558800942375
184, 1558800942, 1558800942478
184, 1558800942, 1558800942577
184, 1558800942, 1558800942673
184, 1558800942, 1558800942769
184, 1558800942, 1558800942863
184, 1558800942, 1558800942957
184, 1558800942, 1558800943055
184, 1558800942, 1558800943152
184, 1558800942, 1558800943248
184, 1558800942, 1558800943342
198, 1558800942, 1558800943436
198, 1558800943, 1558800943534
198, 1558800943, 1558800943629
198, 1558800943, 1558800943724
198, 1558800943, 1558800943818
198, 1558800943, 1558800943912
198, 1558800943, 1558800944007
198, 1558800943, 1558800944101
198, 1558800943, 1558800944194
198, 1558800943, 1558800944292
198, 1558800943, 1558800944386
200, 1558800944, 1558800944488
200, 1558800944, 1558800944582
200, 1558800944, 1558800944676
200, 1558800944, 1558800944769
200, 1558800944, 1558800944863
200, 1558800944, 1558800944959
200, 1558800944, 1558800945054
200, 1558800944, 1558800945152
200, 1558800944, 1558800945246
200, 1558800944, 1558800945342
200, 1558800945, 1558800945443
200, 1558800945, 1558800945539
200, 1558800945, 1558800945634
200, 1558800945, 1558800945729
200, 1558800945, 1558800945825
200, 1558800945, 1558800945919
200, 1558800945, 1558800946012
200, 1558800945, 1558800946110
200, 1558800945, 1558800946205
200, 1558800945, 1558800946300
201, 1558800945, 1558800946396
201, 1558800946, 1558800946491
201, 1558800946, 1558800946584
201, 1558800946, 1558800946679
201, 1558800946, 1558800946775
201, 1558800946, 1558800946869
201, 1558800946, 1558800946962
201, 1558800946, 1558800947056
201, 1558800946, 1558800947149
201, 1558800946, 1558800947243
201, 1558800946, 1558800947338
201, 1558800947, 1558800947436
201, 1558800947, 1558800947533
201, 1558800947, 1558800947627
201, 1558800947, 1558800947724
201, 1558800947, 1558800947817
201, 1558800947, 1558800947913
201, 1558800947, 1558800948009
201, 1558800947, 1558800948101
201, 1558800947, 1558800948194
201, 1558800947, 1558800948291
201, 1558800947, 1558800948386
201, 1558800948, 1558800948480
201, 1558800948, 1558800948576
201, 1558800948, 1558800948672
201, 1558800948, 1558800948766
201, 1558800948, 1558800948862
201, 1558800948, 1558800948956
201, 1558800948, 1558800949055
201, 1558800948, 1558800949147
201, 1558800948, 1558800949239
201, 1558800948, 1558800949336
200, 1558800948, 1558800949431
200, 1558800949, 1558800949528
200, 1558800949, 1558800949621
200, 1558800949, 1558800949716
200, 1558800949, 1558800949811
200, 1558800949, 1558800949906
200, 1558800949, 1558800950001
200, 1558800949, 1558800950096
200, 1558800949, 1558800950190
200, 1558800949, 1558800950286
200, 1558800949, 1558800950382
199, 1558800950, 1558800950481
199, 1558800950, 1558800950576
199, 1558800950, 1558800950674
199, 1558800950, 1558800950770
199, 1558800950, 1558800950866
199, 1558800950, 1558800950963
199, 1558800950, 1558800951058
199, 1558800950, 1558800951152
199, 1558800950, 1558800951247
199, 1558800950, 1558800951342
199, 1558800950, 1558800951437
200, 1558800951, 1558800951538
200, 1558800951, 1558800951634
200, 1558800951, 1558800951729
200, 1558800951, 1558800951824
200, 1558800951, 1558800951919
200, 1558800951, 1558800952015
200, 1558800951, 1558800952110
200, 1558800951, 1558800952204
200, 1558800951, 1558800952300
200, 1558800951, 1558800952399
200, 1558800952, 1558800952495
200, 1558800952, 1558800952589
200, 1558800952, 1558800952685
200, 1558800952, 1558800952781
200, 1558800952, 1558800952877
200, 1558800952, 1558800952977
200, 1558800952, 1558800953075
200, 1558800952, 1558800953173
200, 1558800952, 1558800953273
200, 1558800952, 1558800953370
200, 1558800953, 1558800953473
200, 1558800953, 1558800953566
200, 1558800953, 1558800953662
200, 1558800953, 1558800953757
200, 1558800953, 1558800953853
200, 1558800953, 1558800953948
200, 1558800953, 1558800954043
200, 1558800953, 1558800954140
200, 1558800953, 1558800954234
200, 1558800953, 1558800954332
200, 1558800953, 1558800954427
199, 1558800954, 1558800954524
199, 1558800954, 1558800954622
199, 1558800954, 1558800954717
199, 1558800954, 1558800954812
199, 1558800954, 1558800954905
199, 1558800954, 1558800955002
199, 1558800954, 1558800955097
199, 1558800954, 1558800955191
199, 1558800954, 1558800955287
199, 1558800954, 1558800955382
199, 1558800954, 1558800955484
199, 1558800954, 1558800955580
199, 1558800954, 1558800955674
200, 1558800955, 1558800955769
200, 1558800955, 1558800955863
200, 1558800955, 1558800955959
200, 1558800955, 1558800956053
200, 1558800955, 1558800956146
200, 1558800955, 1558800956243
200, 1558800955, 1558800956338
200, 1558800955, 1558800956433
200, 1558800956, 1558800956528
200, 1558800956, 1558800956622
200, 1558800956, 1558800956718
200, 1558800956, 1558800956814
200, 1558800956, 1558800956913
200, 1558800956, 1558800957008
200, 1558800956, 1558800957101
200, 1558800956, 1558800957195
200, 1558800956, 1558800957291
200, 1558800956, 1558800957386
200, 1558800957, 1558800957483
200, 1558800957, 1558800957579
200, 1558800957, 1558800957673
200, 1558800957, 1558800957772
200, 1558800957, 1558800957864
200, 1558800957, 1558800957959
200, 1558800957, 1558800958054
200, 1558800957, 1558800958150
200, 1558800957, 1558800958247
200, 1558800957, 1558800958344
200, 1558800957, 1558800958445
200, 1558800957, 1558800958542
200, 1558800957, 1558800958636
200, 1558800958, 1558800958732
200, 1558800958, 1558800958828
200, 1558800958, 1558800958923
200, 1558800958, 1558800959020
200, 1558800958, 1558800959114
200, 1558800958, 1558800959211
200, 1558800958, 1558800959305
200, 1558800958, 1558800959403
200, 1558800959, 1558800959498
200, 1558800959, 1558800959592
200, 1558800959, 1558800959688
200, 1558800959, 1558800959785
200, 1558800959, 1558800959881
200, 1558800959, 1558800959977
200, 1558800959, 1558800960155
200, 1558800959, 1558800960303
200, 1558800959, 1558800960394
204, 1558800960, 1558800960496
204, 1558800960, 1558800960593
204, 1558800960, 1558800960690
204, 1558800960, 1558800960785
204, 1558800960, 1558800960880
204, 1558800960, 1558800960973
204, 1558800960, 1558800961071
204, 1558800960, 1558800961166
204, 1558800960, 1558800961263
204, 1558800960, 1558800961356
203, 1558800961, 1558800961459
203, 1558800961, 1558800961552
203, 1558800961, 1558800961647
203, 1558800961, 1558800961743
203, 1558800961, 1558800961837
203, 1558800961, 1558800961933
203, 1558800961, 1558800962028
203, 1558800961, 1558800962124
203, 1558800961, 1558800962221
203, 1558800961, 1558800962319
203, 1558800961, 1558800962414
202, 1558800962, 1558800962513
202, 1558800962, 1558800962609
202, 1558800962, 1558800962703
202, 1558800962, 1558800962796
202, 1558800962, 1558800962889
202, 1558800962, 1558800962984
202, 1558800962, 1558800963079
202, 1558800962, 1558800963175
202, 1558800962, 1558800963268
202, 1558800962, 1558800963362
202, 1558800963, 1558800963465
202, 1558800963, 1558800963557
202, 1558800963, 1558800963656
