Power(W), TimePDU(S), TimeNODE(mS)
249, 1558650818, 1558650819064
249, 1558650818, 1558650819183
249, 1558650818, 1558650819298
249, 1558650818, 1558650819417
249, 1558650818, 1558650819534
249, 1558650818, 1558650819654
249, 1558650818, 1558650819774
249, 1558650818, 1558650819894
266, 1558650819, 1558650820057
266, 1558650819, 1558650820176
266, 1558650819, 1558650820293
266, 1558650819, 1558650820412
266, 1558650819, 1558650820528
266, 1558650819, 1558650820646
266, 1558650819, 1558650820763
266, 1558650819, 1558650820885
273, 1558650819, 1558650821005
273, 1558650820, 1558650821149
273, 1558650820, 1558650821269
273, 1558650820, 1558650821389
273, 1558650820, 1558650821509
273, 1558650820, 1558650821629
273, 1558650820, 1558650821748
273, 1558650820, 1558650821865
273, 1558650820, 1558650821978
272, 1558650821, 1558650822137
272, 1558650821, 1558650822252
272, 1558650821, 1558650822369
272, 1558650821, 1558650822484
272, 1558650821, 1558650822598
272, 1558650821, 1558650822709
272, 1558650821, 1558650822822
272, 1558650821, 1558650822939
272, 1558650821, 1558650823089
272, 1558650821, 1558650823205
273, 1558650821, 1558650823322
273, 1558650822, 1558650823440
273, 1558650822, 1558650823556
273, 1558650822, 1558650823673
273, 1558650822, 1558650823789
273, 1558650822, 1558650823904
273, 1558650822, 1558650824020
273, 1558650823, 1558650824138
273, 1558650823, 1558650824254
273, 1558650823, 1558650824368
273, 1558650823, 1558650824482
273, 1558650823, 1558650824596
273, 1558650823, 1558650824710
273, 1558650823, 1558650824822
273, 1558650823, 1558650824934
264, 1558650824, 1558650825053
264, 1558650824, 1558650825167
264, 1558650824, 1558650825281
264, 1558650824, 1558650825394
264, 1558650824, 1558650825508
264, 1558650824, 1558650825619
264, 1558650824, 1558650825729
264, 1558650824, 1558650825837
264, 1558650824, 1558650825949
272, 1558650824, 1558650826064
272, 1558650825, 1558650826175
272, 1558650825, 1558650826287
272, 1558650825, 1558650826400
272, 1558650825, 1558650826514
272, 1558650825, 1558650826628
272, 1558650825, 1558650826738
272, 1558650825, 1558650826848
273, 1558650825, 1558650826958
273, 1558650826, 1558650827078
273, 1558650826, 1558650827190
273, 1558650826, 1558650827304
273, 1558650826, 1558650827417
273, 1558650826, 1558650827530
273, 1558650826, 1558650827641
273, 1558650826, 1558650827753
273, 1558650826, 1558650827865
273, 1558650826, 1558650827979
273, 1558650827, 1558650828097
273, 1558650827, 1558650828211
273, 1558650827, 1558650828326
273, 1558650827, 1558650828442
273, 1558650827, 1558650828554
273, 1558650827, 1558650828668
273, 1558650827, 1558650828782
273, 1558650827, 1558650828896
273, 1558650827, 1558650829009
272, 1558650827, 1558650829126
272, 1558650829, 1558650829237
272, 1558650829, 1558650829350
272, 1558650829, 1558650829462
272, 1558650829, 1558650829573
272, 1558650829, 1558650829686
272, 1558650829, 1558650829797
272, 1558650829, 1558650829907
273, 1558650829, 1558650830017
273, 1558650830, 1558650830132
273, 1558650830, 1558650830243
273, 1558650830, 1558650830354
273, 1558650830, 1558650830466
273, 1558650830, 1558650830576
273, 1558650830, 1558650830689
273, 1558650830, 1558650830802
273, 1558650830, 1558650830916
273, 1558650830, 1558650831029
273, 1558650831, 1558650831139
273, 1558650831, 1558650831248
273, 1558650831, 1558650831355
273, 1558650831, 1558650831459
273, 1558650831, 1558650831562
273, 1558650831, 1558650831665
273, 1558650831, 1558650831768
273, 1558650831, 1558650831871
273, 1558650831, 1558650831974
273, 1558650832, 1558650832085
273, 1558650832, 1558650832198
273, 1558650832, 1558650832312
273, 1558650832, 1558650832425
273, 1558650832, 1558650832536
273, 1558650832, 1558650832646
273, 1558650832, 1558650832756
273, 1558650832, 1558650832867
273, 1558650832, 1558650832979
273, 1558650832, 1558650833091
273, 1558650832, 1558650833202
273, 1558650832, 1558650833314
273, 1558650833, 1558650833431
273, 1558650833, 1558650833544
273, 1558650833, 1558650833664
273, 1558650833, 1558650833783
273, 1558650833, 1558650833897
273, 1558650833, 1558650834011
273, 1558650833, 1558650834125
273, 1558650833, 1558650834204
273, 1558650833, 1558650834283
272, 1558650834, 1558650834363
272, 1558650834, 1558650834442
272, 1558650834, 1558650834520
