Power(W), TimePDU(S), TimeNODE(mS)
248, 1558851493, 1558851493165
248, 1558851493, 1558851493243
248, 1558851493, 1558851493322
248, 1558851493, 1558851493400
248, 1558851493, 1558851493478
248, 1558851493, 1558851493557
258, 1558851493, 1558851493636
258, 1558851494, 1558851493716
258, 1558851494, 1558851493792
258, 1558851494, 1558851493870
258, 1558851494, 1558851493947
258, 1558851494, 1558851494025
258, 1558851494, 1558851494103
258, 1558851494, 1558851494181
258, 1558851494, 1558851494258
258, 1558851494, 1558851494336
258, 1558851494, 1558851494414
258, 1558851494, 1558851494492
258, 1558851494, 1558851494572
272, 1558851494, 1558851494648
272, 1558851495, 1558851494727
272, 1558851495, 1558851494806
272, 1558851495, 1558851494884
272, 1558851495, 1558851494962
272, 1558851495, 1558851495040
272, 1558851495, 1558851495117
272, 1558851495, 1558851495195
272, 1558851495, 1558851495274
272, 1558851495, 1558851495352
272, 1558851495, 1558851495429
272, 1558851495, 1558851495506
272, 1558851495, 1558851495584
272, 1558851496, 1558851495662
272, 1558851496, 1558851495740
272, 1558851496, 1558851495817
272, 1558851496, 1558851495894
272, 1558851496, 1558851495972
272, 1558851496, 1558851496050
272, 1558851496, 1558851496127
272, 1558851496, 1558851496205
272, 1558851496, 1558851496283
272, 1558851496, 1558851496363
272, 1558851496, 1558851496441
272, 1558851496, 1558851496520
272, 1558851496, 1558851496598
272, 1558851496, 1558851496676
272, 1558851497, 1558851496754
272, 1558851497, 1558851496832
272, 1558851497, 1558851496909
272, 1558851497, 1558851496984
272, 1558851497, 1558851497064
272, 1558851497, 1558851497142
272, 1558851497, 1558851497219
272, 1558851497, 1558851497297
272, 1558851497, 1558851497376
272, 1558851497, 1558851497452
272, 1558851497, 1558851497530
272, 1558851497, 1558851497608
272, 1558851497, 1558851497684
272, 1558851498, 1558851497765
272, 1558851498, 1558851497842
272, 1558851498, 1558851497920
272, 1558851498, 1558851497998
272, 1558851498, 1558851498075
272, 1558851498, 1558851498153
272, 1558851498, 1558851498233
272, 1558851498, 1558851498311
272, 1558851498, 1558851498388
272, 1558851498, 1558851498483
272, 1558851498, 1558851498577
272, 1558851498, 1558851498670
272, 1558851499, 1558851498768
272, 1558851499, 1558851498863
272, 1558851499, 1558851498958
272, 1558851499, 1558851499053
272, 1558851499, 1558851499148
272, 1558851499, 1558851499243
272, 1558851499, 1558851499338
272, 1558851499, 1558851499434
272, 1558851499, 1558851499529
272, 1558851499, 1558851499624
272, 1558851500, 1558851499727
272, 1558851500, 1558851499822
272, 1558851500, 1558851499915
272, 1558851500, 1558851500011
272, 1558851500, 1558851500106
272, 1558851500, 1558851500200
272, 1558851500, 1558851500296
272, 1558851500, 1558851500390
272, 1558851500, 1558851500487
272, 1558851500, 1558851500587
272, 1558851500, 1558851500682
272, 1558851501, 1558851500779
272, 1558851501, 1558851500875
272, 1558851501, 1558851500970
272, 1558851501, 1558851501064
272, 1558851501, 1558851501160
272, 1558851501, 1558851501258
272, 1558851501, 1558851501356
272, 1558851501, 1558851501455
272, 1558851501, 1558851501554
272, 1558851501, 1558851501651
272, 1558851502, 1558851501753
272, 1558851502, 1558851501848
272, 1558851502, 1558851501941
272, 1558851502, 1558851502038
272, 1558851502, 1558851502136
272, 1558851502, 1558851502234
272, 1558851502, 1558851502331
272, 1558851502, 1558851502428
272, 1558851502, 1558851502525
272, 1558851502, 1558851502621
272, 1558851502, 1558851502717
272, 1558851503, 1558851502817
272, 1558851503, 1558851502912
