Power(W), TimePDU(S), TimeNODE(mS)
246, 1558768125, 1558768125674
246, 1558768125, 1558768125751
246, 1558768125, 1558768125826
246, 1558768125, 1558768125904
246, 1558768125, 1558768125983
246, 1558768125, 1558768126060
246, 1558768125, 1558768126137
246, 1558768125, 1558768126215
246, 1558768125, 1558768126294
262, 1558768125, 1558768126372
262, 1558768126, 1558768126449
262, 1558768126, 1558768126527
262, 1558768126, 1558768126606
262, 1558768126, 1558768126684
262, 1558768126, 1558768126762
262, 1558768126, 1558768126839
262, 1558768126, 1558768126917
262, 1558768126, 1558768126994
262, 1558768126, 1558768127072
262, 1558768126, 1558768127151
262, 1558768126, 1558768127228
262, 1558768126, 1558768127306
271, 1558768126, 1558768127383
271, 1558768127, 1558768127461
271, 1558768127, 1558768127538
271, 1558768127, 1558768127616
271, 1558768127, 1558768127694
271, 1558768127, 1558768127770
271, 1558768127, 1558768127848
271, 1558768127, 1558768127927
271, 1558768127, 1558768128005
271, 1558768127, 1558768128083
271, 1558768127, 1558768128162
271, 1558768127, 1558768128240
271, 1558768127, 1558768128317
270, 1558768128, 1558768128394
270, 1558768128, 1558768128473
270, 1558768128, 1558768128549
270, 1558768128, 1558768128626
270, 1558768128, 1558768128703
270, 1558768128, 1558768128782
270, 1558768128, 1558768128859
270, 1558768128, 1558768128942
270, 1558768128, 1558768129019
270, 1558768128, 1558768129098
270, 1558768128, 1558768129174
270, 1558768128, 1558768129254
270, 1558768128, 1558768129332
270, 1558768129, 1558768129433
270, 1558768129, 1558768129532
270, 1558768129, 1558768129631
270, 1558768129, 1558768129729
270, 1558768129, 1558768129826
270, 1558768129, 1558768129922
270, 1558768129, 1558768130017
270, 1558768129, 1558768130112
270, 1558768129, 1558768130208
270, 1558768129, 1558768130302
270, 1558768129, 1558768130395
270, 1558768130, 1558768130499
270, 1558768130, 1558768130594
270, 1558768130, 1558768130691
270, 1558768130, 1558768130786
270, 1558768130, 1558768130884
270, 1558768130, 1558768130982
270, 1558768130, 1558768131078
270, 1558768130, 1558768131174
270, 1558768130, 1558768131269
270, 1558768130, 1558768131363
271, 1558768130, 1558768131461
271, 1558768131, 1558768131558
271, 1558768131, 1558768131652
271, 1558768131, 1558768131748
271, 1558768131, 1558768131844
271, 1558768131, 1558768131940
271, 1558768131, 1558768132033
271, 1558768131, 1558768132129
271, 1558768131, 1558768132224
271, 1558768131, 1558768132318
271, 1558768131, 1558768132412
271, 1558768131, 1558768132506
271, 1558768131, 1558768132597
271, 1558768131, 1558768132691
271, 1558768132, 1558768132795
271, 1558768132, 1558768132892
271, 1558768132, 1558768132984
271, 1558768132, 1558768133078
271, 1558768132, 1558768133170
271, 1558768132, 1558768133264
271, 1558768132, 1558768133360
271, 1558768133, 1558768133460
271, 1558768133, 1558768133582
271, 1558768133, 1558768133695
271, 1558768133, 1558768133804
271, 1558768133, 1558768133916
271, 1558768133, 1558768134029
271, 1558768133, 1558768134144
