Power(W), TimePDU(S), TimeNODE(mS)
266, 1558118540, 1558118541569
266, 1558118541, 1558118541692
266, 1558118541, 1558118541811
266, 1558118541, 1558118541930
266, 1558118541, 1558118542048
266, 1558118541, 1558118542165
266, 1558118541, 1558118542282
266, 1558118541, 1558118542396
266, 1558118541, 1558118542509
282, 1558118541, 1558118542642
282, 1558118542, 1558118542760
282, 1558118542, 1558118542877
282, 1558118542, 1558118542997
282, 1558118542, 1558118543112
282, 1558118542, 1558118543226
282, 1558118542, 1558118543338
282, 1558118542, 1558118543452
287, 1558118542, 1558118543566
287, 1558118543, 1558118543682
287, 1558118543, 1558118543798
287, 1558118543, 1558118543913
287, 1558118543, 1558118544029
287, 1558118543, 1558118544144
287, 1558118543, 1558118544263
287, 1558118543, 1558118544381
287, 1558118543, 1558118544498
287, 1558118543, 1558118544616
287, 1558118543, 1558118544734
287, 1558118543, 1558118544854
287, 1558118543, 1558118544975
287, 1558118543, 1558118545096
287, 1558118543, 1558118545217
287, 1558118544, 1558118545337
287, 1558118544, 1558118545454
287, 1558118544, 1558118545572
287, 1558118544, 1558118545692
287, 1558118544, 1558118545812
287, 1558118544, 1558118545931
287, 1558118546, 1558118546056
287, 1558118546, 1558118546177
287, 1558118546, 1558118546296
287, 1558118546, 1558118546420
287, 1558118546, 1558118546540
286, 1558118546, 1558118546658
286, 1558118547, 1558118546775
286, 1558118547, 1558118546889
286, 1558118547, 1558118547002
286, 1558118547, 1558118547119
286, 1558118547, 1558118547233
286, 1558118547, 1558118547348
286, 1558118547, 1558118547464
286, 1558118547, 1558118547620
285, 1558118548, 1558118547716
285, 1558118548, 1558118547811
285, 1558118548, 1558118547908
285, 1558118548, 1558118548004
285, 1558118548, 1558118548100
285, 1558118548, 1558118548195
285, 1558118548, 1558118548290
285, 1558118548, 1558118548387
285, 1558118548, 1558118548484
285, 1558118548, 1558118548581
285, 1558118548, 1558118548674
286, 1558118549, 1558118548769
286, 1558118549, 1558118548861
286, 1558118549, 1558118548955
286, 1558118549, 1558118549051
286, 1558118549, 1558118549145
286, 1558118549, 1558118549241
286, 1558118549, 1558118549336
286, 1558118549, 1558118549432
286, 1558118549, 1558118549528
286, 1558118549, 1558118549620
286, 1558118549, 1558118549715
285, 1558118550, 1558118549814
285, 1558118550, 1558118549906
285, 1558118550, 1558118550003
285, 1558118550, 1558118550099
285, 1558118550, 1558118550194
