Power(W), TimePDU(S), TimeNODE(mS)
263, 1558588694, 1558588694564
263, 1558588694, 1558588694660
263, 1558588694, 1558588694753
263, 1558588694, 1558588694848
263, 1558588694, 1558588694944
263, 1558588694, 1558588695039
263, 1558588694, 1558588695133
263, 1558588694, 1558588695230
263, 1558588694, 1558588695328
263, 1558588694, 1558588695421
280, 1558588695, 1558588695534
280, 1558588695, 1558588695628
280, 1558588695, 1558588695723
280, 1558588695, 1558588695821
280, 1558588695, 1558588695912
280, 1558588695, 1558588696007
280, 1558588695, 1558588696099
280, 1558588695, 1558588696194
280, 1558588695, 1558588696291
280, 1558588695, 1558588696387
280, 1558588695, 1558588696479
287, 1558588696, 1558588696581
287, 1558588696, 1558588696674
287, 1558588696, 1558588696771
287, 1558588696, 1558588696867
287, 1558588696, 1558588696961
287, 1558588696, 1558588697054
287, 1558588696, 1558588697148
287, 1558588696, 1558588697242
287, 1558588696, 1558588697338
287, 1558588696, 1558588697431
286, 1558588697, 1558588697530
286, 1558588697, 1558588697624
286, 1558588697, 1558588697717
286, 1558588697, 1558588697809
286, 1558588697, 1558588697904
286, 1558588697, 1558588697998
286, 1558588697, 1558588698093
286, 1558588697, 1558588698190
286, 1558588697, 1558588698286
286, 1558588697, 1558588698380
286, 1558588697, 1558588698473
286, 1558588698, 1558588698571
286, 1558588698, 1558588698668
286, 1558588698, 1558588698765
286, 1558588698, 1558588698862
286, 1558588698, 1558588698956
286, 1558588698, 1558588699048
286, 1558588698, 1558588699145
286, 1558588698, 1558588699238
286, 1558588698, 1558588699334
286, 1558588698, 1558588699430
286, 1558588699, 1558588699526
286, 1558588699, 1558588699620
286, 1558588699, 1558588699715
286, 1558588699, 1558588699806
286, 1558588699, 1558588699899
286, 1558588699, 1558588699997
286, 1558588699, 1558588700093
286, 1558588699, 1558588700190
286, 1558588699, 1558588700283
286, 1558588699, 1558588700381
286, 1558588700, 1558588700484
286, 1558588700, 1558588700580
286, 1558588700, 1558588700674
286, 1558588700, 1558588700768
286, 1558588700, 1558588700863
286, 1558588700, 1558588700958
286, 1558588700, 1558588701051
286, 1558588700, 1558588701144
286, 1558588700, 1558588701240
286, 1558588700, 1558588701334
286, 1558588700, 1558588701429
286, 1558588700, 1558588701523
286, 1558588701, 1558588701622
286, 1558588701, 1558588701718
286, 1558588701, 1558588701812
286, 1558588701, 1558588701907
286, 1558588701, 1558588702002
286, 1558588701, 1558588702100
286, 1558588701, 1558588702195
286, 1558588701, 1558588702295
286, 1558588701, 1558588702394
286, 1558588702, 1558588702502
286, 1558588702, 1558588702598
286, 1558588702, 1558588702695
286, 1558588702, 1558588702797
286, 1558588702, 1558588702900
286, 1558588702, 1558588703005
286, 1558588702, 1558588703111
286, 1558588702, 1558588703223
286, 1558588702, 1558588703331
286, 1558588702, 1558588703441
286, 1558588703, 1558588703547
286, 1558588703, 1558588703659
286, 1558588703, 1558588703774
286, 1558588703, 1558588703886
286, 1558588703, 1558588703995
286, 1558588703, 1558588704109
286, 1558588703, 1558588704225
286, 1558588703, 1558588704337
286, 1558588703, 1558588704449
286, 1558588703, 1558588704564
286, 1558588703, 1558588704682
287, 1558588705, 1558588704802
287, 1558588705, 1558588704920
287, 1558588705, 1558588705040
287, 1558588705, 1558588705156
287, 1558588705, 1558588705274
287, 1558588705, 1558588705390
286, 1558588705, 1558588705508
286, 1558588705, 1558588705628
286, 1558588705, 1558588705747
286, 1558588705, 1558588705867
286, 1558588705, 1558588705985
286, 1558588705, 1558588706102
286, 1558588705, 1558588706218
286, 1558588705, 1558588706334
286, 1558588705, 1558588706452
286, 1558588705, 1558588706573
286, 1558588705, 1558588706696
286, 1558588707, 1558588706814
286, 1558588707, 1558588706930
286, 1558588707, 1558588707045
286, 1558588707, 1558588707167
286, 1558588707, 1558588707286
286, 1558588707, 1558588707407
286, 1558588707, 1558588707522
286, 1558588707, 1558588707642
286, 1558588707, 1558588707763
286, 1558588707, 1558588707889
286, 1558588707, 1558588708007
286, 1558588707, 1558588708127
286, 1558588707, 1558588708251
286, 1558588707, 1558588708371
286, 1558588707, 1558588708489
286, 1558588708, 1558588708610
286, 1558588708, 1558588708728
286, 1558588708, 1558588708848
286, 1558588708, 1558588708968
286, 1558588708, 1558588709092
286, 1558588708, 1558588709210
286, 1558588708, 1558588709331
287, 1558588708, 1558588709450
287, 1558588709, 1558588709570
287, 1558588709, 1558588709687
287, 1558588709, 1558588709807
287, 1558588709, 1558588709926
287, 1558588709, 1558588710041
287, 1558588709, 1558588710158
287, 1558588709, 1558588710277
287, 1558588709, 1558588710395
287, 1558588710, 1558588710512
287, 1558588710, 1558588710630
287, 1558588710, 1558588710747
287, 1558588710, 1558588710866
287, 1558588710, 1558588710987
287, 1558588710, 1558588711105
287, 1558588710, 1558588711224
287, 1558588710, 1558588711346
287, 1558588710, 1558588711466
287, 1558588711, 1558588711587
287, 1558588711, 1558588711704
287, 1558588711, 1558588711823
287, 1558588711, 1558588711943
287, 1558588711, 1558588712064
287, 1558588711, 1558588712183
287, 1558588711, 1558588712305
288, 1558588711, 1558588712427
288, 1558588712, 1558588712547
288, 1558588712, 1558588712665
288, 1558588712, 1558588712781
288, 1558588712, 1558588712903
288, 1558588712, 1558588713025
288, 1558588712, 1558588713142
288, 1558588712, 1558588713258
288, 1558588712, 1558588713376
287, 1558588713, 1558588713496
287, 1558588713, 1558588713609
287, 1558588713, 1558588713725
287, 1558588713, 1558588713838
287, 1558588713, 1558588713949
287, 1558588713, 1558588714056
287, 1558588713, 1558588714163
287, 1558588713, 1558588714276
287, 1558588713, 1558588714390
287, 1558588714, 1558588714508
287, 1558588714, 1558588714626
287, 1558588714, 1558588714739
287, 1558588714, 1558588714855
287, 1558588714, 1558588714971
287, 1558588714, 1558588715087
287, 1558588714, 1558588715202
287, 1558588714, 1558588715320
287, 1558588714, 1558588715436
287, 1558588715, 1558588715554
287, 1558588715, 1558588715668
287, 1558588715, 1558588715781
287, 1558588715, 1558588715894
287, 1558588715, 1558588716006
287, 1558588715, 1558588716122
287, 1558588715, 1558588716238
287, 1558588715, 1558588716349
287, 1558588715, 1558588716461
287, 1558588716, 1558588716574
287, 1558588716, 1558588716682
287, 1558588716, 1558588716792
287, 1558588716, 1558588716903
287, 1558588716, 1558588717014
287, 1558588716, 1558588717125
287, 1558588716, 1558588717237
287, 1558588716, 1558588717349
285, 1558588716, 1558588717465
285, 1558588717, 1558588717585
285, 1558588717, 1558588717703
285, 1558588717, 1558588717820
285, 1558588717, 1558588717940
286, 1558588719, 1558588719471
286, 1558588719, 1558588719590
286, 1558588719, 1558588719708
286, 1558588719, 1558588719826
286, 1558588719, 1558588719945
286, 1558588719, 1558588720059
286, 1558588719, 1558588720172
286, 1558588719, 1558588720287
285, 1558588719, 1558588720402
285, 1558588720, 1558588720516
285, 1558588720, 1558588720627
285, 1558588720, 1558588720736
285, 1558588720, 1558588720848
285, 1558588720, 1558588720957
285, 1558588720, 1558588721070
285, 1558588720, 1558588721183
285, 1558588720, 1558588721296
285, 1558588720, 1558588721408
285, 1558588720, 1558588721522
285, 1558588721, 1558588721629
285, 1558588721, 1558588721738
285, 1558588721, 1558588721845
285, 1558588721, 1558588721956
285, 1558588721, 1558588722068
285, 1558588721, 1558588722180
285, 1558588721, 1558588722292
285, 1558588721, 1558588722405
285, 1558588722, 1558588722523
285, 1558588722, 1558588722637
285, 1558588722, 1558588722750
285, 1558588722, 1558588722864
285, 1558588722, 1558588722976
285, 1558588722, 1558588723090
285, 1558588722, 1558588723204
285, 1558588722, 1558588723318
286, 1558588722, 1558588723433
286, 1558588723, 1558588723551
286, 1558588723, 1558588723667
286, 1558588723, 1558588723782
286, 1558588723, 1558588723893
286, 1558588723, 1558588724005
286, 1558588723, 1558588724118
286, 1558588723, 1558588724230
286, 1558588723, 1558588724341
286, 1558588723, 1558588724454
286, 1558588723, 1558588724569
286, 1558588724, 1558588724685
286, 1558588724, 1558588724801
286, 1558588724, 1558588724917
286, 1558588724, 1558588725036
286, 1558588724, 1558588725152
286, 1558588724, 1558588725266
286, 1558588724, 1558588725379
286, 1558588724, 1558588725492
286, 1558588725, 1558588725608
286, 1558588725, 1558588725725
286, 1558588725, 1558588725843
286, 1558588725, 1558588725959
286, 1558588725, 1558588726076
286, 1558588725, 1558588726194
286, 1558588725, 1558588726316
286, 1558588725, 1558588726438
286, 1558588726, 1558588726558
286, 1558588726, 1558588726677
286, 1558588726, 1558588726796
286, 1558588726, 1558588726912
286, 1558588726, 1558588727028
286, 1558588726, 1558588727145
286, 1558588726, 1558588727261
286, 1558588726, 1558588727379
286, 1558588726, 1558588727497
286, 1558588727, 1558588727617
286, 1558588727, 1558588727737
286, 1558588727, 1558588727857
286, 1558588727, 1558588727974
286, 1558588727, 1558588728095
286, 1558588727, 1558588728212
286, 1558588727, 1558588728329
286, 1558588727, 1558588728448
285, 1558588728, 1558588728566
285, 1558588728, 1558588728686
285, 1558588728, 1558588728803
285, 1558588728, 1558588728923
285, 1558588728, 1558588729042
285, 1558588728, 1558588729165
285, 1558588728, 1558588729287
285, 1558588728, 1558588729407
285, 1558588728, 1558588729527
285, 1558588728, 1558588729647
285, 1558588728, 1558588729765
286, 1558588730, 1558588729888
286, 1558588730, 1558588730005
286, 1558588730, 1558588730123
286, 1558588730, 1558588730240
286, 1558588730, 1558588730358
285, 1558588730, 1558588730476
285, 1558588730, 1558588730598
285, 1558588730, 1558588730718
285, 1558588730, 1558588730837
285, 1558588730, 1558588730957
285, 1558588730, 1558588731078
285, 1558588730, 1558588731199
285, 1558588730, 1558588731316
285, 1558588730, 1558588731434
285, 1558588731, 1558588731552
285, 1558588731, 1558588731670
285, 1558588731, 1558588731789
285, 1558588731, 1558588731904
285, 1558588731, 1558588732021
285, 1558588731, 1558588732141
285, 1558588731, 1558588732260
285, 1558588731, 1558588732380
285, 1558588731, 1558588732505
285, 1558588732, 1558588732621
285, 1558588732, 1558588732737
285, 1558588732, 1558588732851
285, 1558588732, 1558588732962
285, 1558588732, 1558588733078
285, 1558588732, 1558588733190
285, 1558588732, 1558588733307
285, 1558588732, 1558588733422
286, 1558588733, 1558588733543
286, 1558588733, 1558588733662
286, 1558588733, 1558588733776
286, 1558588733, 1558588733893
286, 1558588733, 1558588734015
286, 1558588733, 1558588734136
286, 1558588733, 1558588734255
286, 1558588733, 1558588734376
285, 1558588733, 1558588734498
285, 1558588734, 1558588734622
285, 1558588734, 1558588734741
285, 1558588734, 1558588734855
285, 1558588734, 1558588734973
285, 1558588734, 1558588735093
285, 1558588734, 1558588735209
285, 1558588734, 1558588735327
285, 1558588734, 1558588735447
285, 1558588735, 1558588735569
285, 1558588735, 1558588735689
285, 1558588735, 1558588735807
285, 1558588735, 1558588735924
285, 1558588735, 1558588736040
285, 1558588735, 1558588736153
285, 1558588735, 1558588736271
285, 1558588735, 1558588736390
285, 1558588735, 1558588736510
285, 1558588736, 1558588736627
285, 1558588736, 1558588736742
285, 1558588736, 1558588736854
285, 1558588736, 1558588736974
285, 1558588736, 1558588737092
285, 1558588736, 1558588737205
285, 1558588736, 1558588737318
285, 1558588736, 1558588737435
285, 1558588736, 1558588737549
285, 1558588737, 1558588737666
285, 1558588737, 1558588737782
