Power(W), TimePDU(S), TimeNODE(mS)
162, 1558564981, 1558564982286
162, 1558564981, 1558564982365
162, 1558564981, 1558564982442
162, 1558564981, 1558564982521
162, 1558564981, 1558564982600
162, 1558564981, 1558564982677
162, 1558564981, 1558564982755
162, 1558564981, 1558564982835
162, 1558564981, 1558564982913
173, 1558564983, 1558564982994
173, 1558564983, 1558564983074
173, 1558564983, 1558564983151
173, 1558564983, 1558564983228
173, 1558564983, 1558564983304
173, 1558564983, 1558564983382
173, 1558564983, 1558564983459
173, 1558564983, 1558564983536
173, 1558564983, 1558564983616
173, 1558564983, 1558564983693
173, 1558564983, 1558564983772
173, 1558564983, 1558564983850
174, 1558564983, 1558564983930
174, 1558564983, 1558564984007
174, 1558564983, 1558564984087
174, 1558564983, 1558564984164
174, 1558564983, 1558564984243
174, 1558564983, 1558564984321
174, 1558564983, 1558564984399
174, 1558564983, 1558564984477
174, 1558564983, 1558564984555
174, 1558564983, 1558564984633
174, 1558564983, 1558564984711
174, 1558564983, 1558564984790
175, 1558564983, 1558564984869
175, 1558564984, 1558564984948
175, 1558564984, 1558564985025
175, 1558564984, 1558564985103
175, 1558564984, 1558564985180
175, 1558564984, 1558564985259
175, 1558564984, 1558564985336
175, 1558564984, 1558564985415
175, 1558564984, 1558564985493
175, 1558564984, 1558564985572
175, 1558564984, 1558564985650
175, 1558564984, 1558564985728
175, 1558564984, 1558564985805
175, 1558564984, 1558564985883
175, 1558564986, 1558564985962
175, 1558564986, 1558564986044
175, 1558564986, 1558564986121
175, 1558564986, 1558564986199
175, 1558564986, 1558564986276
175, 1558564986, 1558564986355
175, 1558564986, 1558564986432
175, 1558564986, 1558564986543
175, 1558564986, 1558564986655
175, 1558564986, 1558564986768
175, 1558564986, 1558564986880
174, 1558564986, 1558564986995
174, 1558564987, 1558564987114
174, 1558564987, 1558564987231
174, 1558564987, 1558564987348
174, 1558564987, 1558564987465
174, 1558564987, 1558564987583
174, 1558564987, 1558564987701
174, 1558564987, 1558564987816
175, 1558564987, 1558564987931
175, 1558564988, 1558564988047
175, 1558564988, 1558564988162
175, 1558564988, 1558564988278
175, 1558564988, 1558564988395
175, 1558564988, 1558564988514
175, 1558564988, 1558564988634
175, 1558564988, 1558564988756
175, 1558564988, 1558564988877
174, 1558564989, 1558564989000
174, 1558564989, 1558564989117
174, 1558564989, 1558564989234
174, 1558564989, 1558564989351
174, 1558564989, 1558564989466
174, 1558564989, 1558564989581
174, 1558564989, 1558564989692
174, 1558564989, 1558564989801
174, 1558564989, 1558564989909
174, 1558564990, 1558564990023
174, 1558564990, 1558564990137
174, 1558564990, 1558564990251
174, 1558564990, 1558564990368
174, 1558564990, 1558564990484
174, 1558564990, 1558564990601
174, 1558564990, 1558564990715
174, 1558564990, 1558564990829
174, 1558564990, 1558564990943
174, 1558564991, 1558564991058
174, 1558564991, 1558564991168
174, 1558564991, 1558564991281
174, 1558564991, 1558564991392
174, 1558564991, 1558564991501
174, 1558564991, 1558564991613
