Power(W), TimePDU(S), TimeNODE(mS)
176, 1558763584, 1558763584920
176, 1558763584, 1558763585020
176, 1558763584, 1558763585118
176, 1558763584, 1558763585215
176, 1558763584, 1558763585317
176, 1558763584, 1558763585417
176, 1558763584, 1558763585517
186, 1558763585, 1558763585622
186, 1558763585, 1558763585724
186, 1558763585, 1558763585823
186, 1558763585, 1558763585920
186, 1558763585, 1558763586018
186, 1558763585, 1558763586117
186, 1558763585, 1558763586213
186, 1558763585, 1558763586310
186, 1558763585, 1558763586406
186, 1558763585, 1558763586503
186, 1558763585, 1558763586607
186, 1558763585, 1558763586711
191, 1558763585, 1558763586815
191, 1558763586, 1558763586920
191, 1558763586, 1558763587024
191, 1558763586, 1558763587131
191, 1558763586, 1558763587238
191, 1558763586, 1558763587343
191, 1558763586, 1558763587451
190, 1558763587, 1558763587559
190, 1558763587, 1558763587666
190, 1558763587, 1558763587775
190, 1558763587, 1558763587885
190, 1558763587, 1558763587993
190, 1558763587, 1558763588099
190, 1558763587, 1558763588207
190, 1558763587, 1558763588312
190, 1558763587, 1558763588416
190, 1558763587, 1558763588525
190, 1558763587, 1558763588632
190, 1558763587, 1558763588739
190, 1558763588, 1558763588846
190, 1558763588, 1558763588953
190, 1558763588, 1558763589061
190, 1558763588, 1558763589167
190, 1558763588, 1558763589275
190, 1558763588, 1558763589384
189, 1558763588, 1558763589496
189, 1558763589, 1558763589607
189, 1558763589, 1558763589718
189, 1558763589, 1558763589831
189, 1558763589, 1558763589944
189, 1558763589, 1558763590060
189, 1558763589, 1558763590174
189, 1558763589, 1558763590291
187, 1558763589, 1558763590404
187, 1558763590, 1558763590522
187, 1558763590, 1558763590639
187, 1558763590, 1558763590756
187, 1558763590, 1558763590871
187, 1558763590, 1558763590987
187, 1558763590, 1558763591104
187, 1558763590, 1558763591224
187, 1558763590, 1558763591343
188, 1558763590, 1558763591457
188, 1558763591, 1558763591571
188, 1558763591, 1558763591685
188, 1558763591, 1558763591797
188, 1558763591, 1558763591906
188, 1558763591, 1558763592017
188, 1558763591, 1558763592128
188, 1558763591, 1558763592238
188, 1558763591, 1558763592351
188, 1558763591, 1558763592466
188, 1558763592, 1558763592590
188, 1558763592, 1558763592709
188, 1558763592, 1558763592823
188, 1558763592, 1558763592940
188, 1558763592, 1558763593053
188, 1558763592, 1558763593167
188, 1558763592, 1558763593281
188, 1558763592, 1558763593398
191, 1558763592, 1558763593514
191, 1558763593, 1558763593629
191, 1558763593, 1558763593745
191, 1558763593, 1558763593856
191, 1558763593, 1558763593967
191, 1558763593, 1558763594081
191, 1558763593, 1558763594199
191, 1558763593, 1558763594318
191, 1558763593, 1558763594436
187, 1558763594, 1558763594552
187, 1558763594, 1558763594668
187, 1558763594, 1558763594783
187, 1558763594, 1558763594901
187, 1558763594, 1558763595017
187, 1558763594, 1558763595130
187, 1558763594, 1558763595249
187, 1558763594, 1558763595366
189, 1558763594, 1558763595485
189, 1558763595, 1558763595606
189, 1558763595, 1558763595728
189, 1558763595, 1558763595847
189, 1558763595, 1558763595967
189, 1558763595, 1558763596087
189, 1558763595, 1558763596205
189, 1558763595, 1558763596318
189, 1558763595, 1558763596435
189, 1558763595, 1558763596551
189, 1558763596, 1558763596669
189, 1558763596, 1558763596787
189, 1558763596, 1558763596906
189, 1558763596, 1558763597026
189, 1558763596, 1558763597144
189, 1558763596, 1558763597261
189, 1558763596, 1558763597378
188, 1558763596, 1558763597498
188, 1558763597, 1558763597617
