Power(W), TimePDU(S), TimeNODE(mS)
157, 1558148952, 1558148951832
157, 1558148952, 1558148951905
157, 1558148952, 1558148951978
157, 1558148952, 1558148952055
157, 1558148952, 1558148952132
157, 1558148952, 1558148952209
157, 1558148952, 1558148952286
157, 1558148952, 1558148952363
157, 1558148952, 1558148952439
172, 1558148953, 1558148952518
172, 1558148953, 1558148952593
172, 1558148953, 1558148952671
172, 1558148953, 1558148952747
172, 1558148953, 1558148952821
172, 1558148953, 1558148952898
172, 1558148953, 1558148953192
172, 1558148953, 1558148953298
172, 1558148953, 1558148953403
184, 1558148953, 1558148953510
184, 1558148954, 1558148953620
184, 1558148954, 1558148953731
184, 1558148954, 1558148953844
184, 1558148954, 1558148953957
184, 1558148954, 1558148954072
184, 1558148954, 1558148954188
184, 1558148954, 1558148954304
184, 1558148954, 1558148954417
184, 1558148954, 1558148954529
184, 1558148955, 1558148954626
184, 1558148955, 1558148954724
184, 1558148955, 1558148954819
184, 1558148955, 1558148954915
184, 1558148955, 1558148955015
184, 1558148955, 1558148955113
184, 1558148955, 1558148955213
184, 1558148955, 1558148955307
184, 1558148955, 1558148955406
184, 1558148955, 1558148955506
178, 1558148956, 1558148955620
178, 1558148956, 1558148955726
178, 1558148956, 1558148955833
178, 1558148956, 1558148955941
178, 1558148956, 1558148956046
178, 1558148956, 1558148956151
178, 1558148956, 1558148956256
178, 1558148956, 1558148956364
178, 1558148956, 1558148956472
174, 1558148956, 1558148956583
174, 1558148957, 1558148956696
174, 1558148957, 1558148956806
174, 1558148957, 1558148956915
174, 1558148957, 1558148957024
174, 1558148957, 1558148957134
174, 1558148957, 1558148957244
174, 1558148957, 1558148957355
174, 1558148957, 1558148957471
174, 1558148957, 1558148957585
174, 1558148957, 1558148957701
183, 1558148958, 1558148957822
183, 1558148958, 1558148957940
183, 1558148958, 1558148958104
183, 1558148958, 1558148958224
183, 1558148958, 1558148958345
183, 1558148958, 1558148958467
184, 1558148958, 1558148958589
184, 1558148959, 1558148958710
184, 1558148959, 1558148958832
184, 1558148959, 1558148958951
184, 1558148959, 1558148959072
184, 1558148959, 1558148959192
184, 1558148959, 1558148959313
184, 1558148959, 1558148959432
184, 1558148959, 1558148959552
184, 1558148959, 1558148959672
179, 1558148959, 1558148959792
179, 1558148960, 1558148959917
179, 1558148960, 1558148960037
179, 1558148960, 1558148960156
179, 1558148960, 1558148960275
179, 1558148960, 1558148960395
179, 1558148960, 1558148960513
179, 1558148961, 1558148960637
179, 1558148961, 1558148960758
179, 1558148961, 1558148960879
179, 1558148961, 1558148960998
179, 1558148961, 1558148961118
179, 1558148961, 1558148961236
179, 1558148961, 1558148961356
184, 1558148961, 1558148961476
184, 1558148962, 1558148961598
184, 1558148962, 1558148961717
184, 1558148962, 1558148961836
184, 1558148962, 1558148961954
184, 1558148962, 1558148962074
184, 1558148962, 1558148962194
184, 1558148962, 1558148962317
184, 1558148962, 1558148962438
184, 1558148962, 1558148962559
184, 1558148963, 1558148962681
184, 1558148963, 1558148962802
184, 1558148963, 1558148962924
