Power(W), TimePDU(S), TimeNODE(mS)
171, 1558623821, 1558623821880
171, 1558623822, 1558623821999
171, 1558623822, 1558623822116
171, 1558623822, 1558623822232
171, 1558623822, 1558623822348
171, 1558623822, 1558623822467
171, 1558623822, 1558623822584
171, 1558623822, 1558623822701
171, 1558623822, 1558623822816
212, 1558623822, 1558623822929
212, 1558623823, 1558623823043
212, 1558623823, 1558623823156
212, 1558623823, 1558623823270
212, 1558623823, 1558623823382
212, 1558623823, 1558623823498
212, 1558623823, 1558623823612
212, 1558623823, 1558623823725
212, 1558623823, 1558623823840
219, 1558623823, 1558623823953
219, 1558623824, 1558623824067
219, 1558623824, 1558623824179
219, 1558623824, 1558623824292
219, 1558623824, 1558623824406
219, 1558623824, 1558623824519
219, 1558623824, 1558623824632
219, 1558623824, 1558623824746
203, 1558623824, 1558623824861
203, 1558623825, 1558623824979
203, 1558623825, 1558623825097
203, 1558623825, 1558623825212
203, 1558623825, 1558623825329
203, 1558623825, 1558623825445
203, 1558623825, 1558623825561
203, 1558623825, 1558623825678
203, 1558623825, 1558623825797
229, 1558623826, 1558623825922
229, 1558623826, 1558623826040
229, 1558623826, 1558623826157
229, 1558623826, 1558623826275
229, 1558623826, 1558623826394
229, 1558623826, 1558623826513
229, 1558623826, 1558623826632
229, 1558623826, 1558623826749
229, 1558623826, 1558623826866
201, 1558623826, 1558623826991
201, 1558623827, 1558623827110
201, 1558623827, 1558623827229
201, 1558623827, 1558623827347
201, 1558623827, 1558623827468
201, 1558623827, 1558623827589
201, 1558623827, 1558623827709
201, 1558623827, 1558623827830
228, 1558623827, 1558623827946
228, 1558623828, 1558623828065
228, 1558623828, 1558623828181
228, 1558623828, 1558623828300
228, 1558623828, 1558623828419
228, 1558623828, 1558623828539
228, 1558623828, 1558623828658
228, 1558623828, 1558623828776
228, 1558623828, 1558623828897
228, 1558623828, 1558623829019
228, 1558623828, 1558623829140
228, 1558623828, 1558623829258
194, 1558623829, 1558623829376
194, 1558623829, 1558623829494
194, 1558623829, 1558623829610
194, 1558623829, 1558623829726
194, 1558623829, 1558623829843
215, 1558623830, 1558623829963
215, 1558623830, 1558623830079
215, 1558623830, 1558623830194
215, 1558623830, 1558623830308
215, 1558623830, 1558623830422
215, 1558623830, 1558623830536
215, 1558623830, 1558623830650
215, 1558623830, 1558623830762
212, 1558623830, 1558623830873
212, 1558623831, 1558623830983
212, 1558623831, 1558623831096
212, 1558623831, 1558623831205
212, 1558623831, 1558623831313
212, 1558623831, 1558623831423
212, 1558623831, 1558623831534
212, 1558623831, 1558623831639
212, 1558623831, 1558623831748
212, 1558623831, 1558623831859
212, 1558623831, 1558623831974
212, 1558623831, 1558623832090
212, 1558623831, 1558623832205
196, 1558623832, 1558623832328
196, 1558623832, 1558623832446
196, 1558623832, 1558623832524
196, 1558623832, 1558623832603
196, 1558623832, 1558623832680
196, 1558623832, 1558623832758
196, 1558623832, 1558623832835
223, 1558623833, 1558623832917
223, 1558623833, 1558623832996
223, 1558623833, 1558623833074
223, 1558623833, 1558623833152
223, 1558623833, 1558623833229
223, 1558623833, 1558623833308
223, 1558623833, 1558623833387
223, 1558623833, 1558623833463
223, 1558623833, 1558623833542
223, 1558623833, 1558623833621
223, 1558623833, 1558623833699
223, 1558623833, 1558623833777
223, 1558623833, 1558623833855
190, 1558623833, 1558623833933
190, 1558623834, 1558623834012
190, 1558623834, 1558623834090
190, 1558623834, 1558623834167
190, 1558623834, 1558623834245
190, 1558623834, 1558623834324
190, 1558623834, 1558623834402
190, 1558623834, 1558623834481
190, 1558623834, 1558623834557
190, 1558623834, 1558623834636
190, 1558623834, 1558623834714
190, 1558623834, 1558623834793
190, 1558623834, 1558623834873
210, 1558623834, 1558623834952
210, 1558623835, 1558623835031
210, 1558623835, 1558623835109
210, 1558623835, 1558623835186
