Power(W), TimePDU(S), TimeNODE(mS)
175, 1558854136, 1558854137188
175, 1558854136, 1558854137295
175, 1558854136, 1558854137403
175, 1558854136, 1558854137513
175, 1558854136, 1558854137621
175, 1558854136, 1558854137732
186, 1558854136, 1558854137842
186, 1558854137, 1558854137953
186, 1558854137, 1558854138065
186, 1558854137, 1558854138173
186, 1558854137, 1558854138285
186, 1558854137, 1558854138397
186, 1558854137, 1558854138511
186, 1558854137, 1558854138624
199, 1558854137, 1558854138736
199, 1558854138, 1558854138850
199, 1558854138, 1558854138961
199, 1558854138, 1558854139073
199, 1558854138, 1558854139186
199, 1558854138, 1558854139300
199, 1558854138, 1558854139414
199, 1558854138, 1558854139528
199, 1558854138, 1558854139640
199, 1558854138, 1558854139753
198, 1558854138, 1558854139869
198, 1558854139, 1558854139984
198, 1558854139, 1558854140098
198, 1558854139, 1558854140211
198, 1558854139, 1558854140325
198, 1558854139, 1558854140438
198, 1558854139, 1558854140552
198, 1558854139, 1558854140665
198, 1558854139, 1558854140778
198, 1558854139, 1558854140895
198, 1558854140, 1558854141010
198, 1558854140, 1558854141123
198, 1558854140, 1558854141237
198, 1558854140, 1558854141350
198, 1558854140, 1558854141464
198, 1558854140, 1558854141543
198, 1558854140, 1558854141619
198, 1558854140, 1558854141695
198, 1558854140, 1558854141774
199, 1558854141, 1558854141854
199, 1558854141, 1558854141933
199, 1558854141, 1558854142010
199, 1558854141, 1558854142089
199, 1558854141, 1558854142166
199, 1558854141, 1558854142244
199, 1558854141, 1558854142322
199, 1558854141, 1558854142399
199, 1558854141, 1558854142476
199, 1558854141, 1558854142555
199, 1558854141, 1558854142632
199, 1558854141, 1558854142711
199, 1558854141, 1558854142789
199, 1558854142, 1558854142867
199, 1558854142, 1558854142944
199, 1558854142, 1558854143023
199, 1558854142, 1558854143100
199, 1558854142, 1558854143176
199, 1558854142, 1558854143254
199, 1558854142, 1558854143333
199, 1558854142, 1558854143413
199, 1558854142, 1558854143492
199, 1558854142, 1558854143570
199, 1558854142, 1558854143648
199, 1558854142, 1558854143725
199, 1558854142, 1558854143804
198, 1558854143, 1558854143883
198, 1558854143, 1558854143962
198, 1558854143, 1558854144037
198, 1558854143, 1558854144116
198, 1558854143, 1558854144192
198, 1558854143, 1558854144270
198, 1558854143, 1558854144346
198, 1558854143, 1558854144424
198, 1558854143, 1558854144503
198, 1558854143, 1558854144581
198, 1558854143, 1558854144659
198, 1558854143, 1558854144738
198, 1558854143, 1558854144815
198, 1558854143, 1558854144895
198, 1558854143, 1558854144973
198, 1558854143, 1558854145051
190, 1558854145, 1558854145132
190, 1558854145, 1558854145211
190, 1558854145, 1558854145287
190, 1558854145, 1558854145366
190, 1558854145, 1558854145444
190, 1558854145, 1558854145523
190, 1558854145, 1558854145602
190, 1558854145, 1558854145678
190, 1558854145, 1558854145756
199, 1558854145, 1558854145833
199, 1558854145, 1558854145913
199, 1558854145, 1558854145992
199, 1558854145, 1558854146068
199, 1558854145, 1558854146146
199, 1558854145, 1558854146225
199, 1558854145, 1558854146302
199, 1558854145, 1558854146380
199, 1558854145, 1558854146458
199, 1558854145, 1558854146537
199, 1558854145, 1558854146615
199, 1558854145, 1558854146692
199, 1558854145, 1558854146770
199, 1558854146, 1558854146851
199, 1558854146, 1558854146929
199, 1558854146, 1558854147009
199, 1558854146, 1558854147086
199, 1558854146, 1558854147164
199, 1558854146, 1558854147243
199, 1558854146, 1558854147320
199, 1558854146, 1558854147396
199, 1558854146, 1558854147473
199, 1558854146, 1558854147551
199, 1558854146, 1558854147628
199, 1558854146, 1558854147707
199, 1558854146, 1558854147784
199, 1558854147, 1558854147863
199, 1558854147, 1558854147939
199, 1558854147, 1558854148017
199, 1558854147, 1558854148095
199, 1558854147, 1558854148173
199, 1558854147, 1558854148249
199, 1558854147, 1558854148328
199, 1558854147, 1558854148405
199, 1558854147, 1558854148483
199, 1558854147, 1558854148560
199, 1558854147, 1558854148638
199, 1558854147, 1558854148716
198, 1558854147, 1558854148794
198, 1558854148, 1558854148874
198, 1558854148, 1558854148950
198, 1558854148, 1558854149027
198, 1558854148, 1558854149106
198, 1558854148, 1558854149182
198, 1558854148, 1558854149261
198, 1558854148, 1558854149337
198, 1558854148, 1558854149415
198, 1558854148, 1558854149493
198, 1558854148, 1558854149570
198, 1558854148, 1558854149648
198, 1558854148, 1558854149726
197, 1558854148, 1558854149804
197, 1558854149, 1558854149884
197, 1558854149, 1558854149963
197, 1558854149, 1558854150041
197, 1558854149, 1558854150118
197, 1558854149, 1558854150195
197, 1558854149, 1558854150273
197, 1558854149, 1558854150350
197, 1558854149, 1558854150427
197, 1558854149, 1558854150505
197, 1558854149, 1558854150583
197, 1558854149, 1558854150660
197, 1558854149, 1558854150739
198, 1558854150, 1558854150818
198, 1558854150, 1558854150895
198, 1558854150, 1558854150973
198, 1558854150, 1558854151054
198, 1558854150, 1558854151132
