Power(W), TimePDU(S), TimeNODE(mS)
160, 1558140186, 1558140186202
160, 1558140186, 1558140186279
160, 1558140186, 1558140186356
160, 1558140186, 1558140186434
160, 1558140186, 1558140186512
160, 1558140186, 1558140186589
160, 1558140186, 1558140186669
160, 1558140186, 1558140186745
160, 1558140186, 1558140186824
160, 1558140186, 1558140186901
160, 1558140186, 1558140186980
160, 1558140186, 1558140187058
160, 1558140186, 1558140187136
179, 1558140186, 1558140187214
179, 1558140187, 1558140187294
179, 1558140187, 1558140187372
179, 1558140187, 1558140187448
179, 1558140187, 1558140187527
179, 1558140187, 1558140187605
179, 1558140187, 1558140187683
179, 1558140187, 1558140187763
179, 1558140187, 1558140187841
179, 1558140187, 1558140187917
179, 1558140187, 1558140187994
179, 1558140187, 1558140188072
179, 1558140187, 1558140188151
185, 1558140188, 1558140188229
185, 1558140188, 1558140188307
185, 1558140188, 1558140188386
185, 1558140188, 1558140188465
185, 1558140188, 1558140188542
185, 1558140188, 1558140188620
185, 1558140188, 1558140188698
185, 1558140188, 1558140188775
185, 1558140188, 1558140188853
185, 1558140188, 1558140188931
185, 1558140188, 1558140189008
185, 1558140188, 1558140189085
185, 1558140188, 1558140189162
183, 1558140188, 1558140189239
183, 1558140189, 1558140189316
183, 1558140189, 1558140189392
183, 1558140189, 1558140189471
183, 1558140189, 1558140189548
183, 1558140189, 1558140189625
183, 1558140189, 1558140189705
183, 1558140189, 1558140189783
183, 1558140189, 1558140189864
183, 1558140189, 1558140189942
183, 1558140189, 1558140190020
183, 1558140189, 1558140190096
184, 1558140189, 1558140190172
184, 1558140190, 1558140190249
184, 1558140190, 1558140190327
184, 1558140190, 1558140190404
184, 1558140190, 1558140190483
184, 1558140190, 1558140190563
184, 1558140190, 1558140190640
184, 1558140190, 1558140190717
184, 1558140190, 1558140190793
184, 1558140190, 1558140190872
184, 1558140190, 1558140190952
184, 1558140190, 1558140191031
184, 1558140190, 1558140191108
184, 1558140190, 1558140191185
184, 1558140191, 1558140191264
184, 1558140191, 1558140191344
184, 1558140191, 1558140191419
184, 1558140191, 1558140191495
184, 1558140191, 1558140191572
184, 1558140191, 1558140191651
184, 1558140191, 1558140191728
184, 1558140191, 1558140191805
184, 1558140191, 1558140191883
184, 1558140191, 1558140191958
184, 1558140191, 1558140192035
184, 1558140191, 1558140192114
176, 1558140192, 1558140192237
176, 1558140192, 1558140192357
176, 1558140192, 1558140192632
176, 1558140192, 1558140192754
176, 1558140192, 1558140192876
176, 1558140192, 1558140192996
176, 1558140192, 1558140193115
181, 1558140192, 1558140193235
181, 1558140193, 1558140193353
181, 1558140193, 1558140193468
181, 1558140193, 1558140193577
181, 1558140193, 1558140193685
181, 1558140193, 1558140193790
181, 1558140193, 1558140193895
181, 1558140193, 1558140194004
181, 1558140193, 1558140194114
186, 1558140193, 1558140194222
186, 1558140194, 1558140194335
186, 1558140194, 1558140194445
186, 1558140194, 1558140194553
186, 1558140194, 1558140194664
