Power(W), TimePDU(S), TimeNODE(mS)
246, 1558766125, 1558766126361
252, 1558766125, 1558766126467
252, 1558766126, 1558766126573
252, 1558766126, 1558766126677
252, 1558766126, 1558766126782
252, 1558766126, 1558766126888
252, 1558766126, 1558766126993
252, 1558766126, 1558766127100
252, 1558766126, 1558766127205
252, 1558766126, 1558766127310
252, 1558766126, 1558766127415
272, 1558766126, 1558766127523
272, 1558766127, 1558766127633
272, 1558766127, 1558766127739
272, 1558766127, 1558766127846
272, 1558766127, 1558766127955
272, 1558766127, 1558766128060
272, 1558766127, 1558766128167
272, 1558766127, 1558766128272
272, 1558766127, 1558766128382
267, 1558766128, 1558766128494
267, 1558766128, 1558766128605
267, 1558766128, 1558766128712
267, 1558766128, 1558766128817
267, 1558766128, 1558766128924
267, 1558766128, 1558766129032
267, 1558766128, 1558766129141
267, 1558766128, 1558766129253
267, 1558766128, 1558766129363
270, 1558766128, 1558766129476
270, 1558766129, 1558766129592
270, 1558766129, 1558766129706
270, 1558766129, 1558766129816
270, 1558766129, 1558766129927
270, 1558766129, 1558766130036
270, 1558766129, 1558766130146
270, 1558766129, 1558766130259
270, 1558766129, 1558766130372
270, 1558766129, 1558766130484
270, 1558766130, 1558766130593
270, 1558766130, 1558766130702
270, 1558766130, 1558766130812
270, 1558766130, 1558766130916
270, 1558766130, 1558766131025
270, 1558766130, 1558766131133
270, 1558766130, 1558766131244
269, 1558766130, 1558766131355
269, 1558766131, 1558766131472
269, 1558766131, 1558766131580
269, 1558766131, 1558766131690
269, 1558766131, 1558766131806
269, 1558766131, 1558766131920
269, 1558766131, 1558766132034
269, 1558766131, 1558766132150
269, 1558766131, 1558766132267
269, 1558766131, 1558766132382
275, 1558766132, 1558766132518
275, 1558766132, 1558766132632
275, 1558766132, 1558766132743
275, 1558766132, 1558766132858
275, 1558766132, 1558766132974
275, 1558766132, 1558766133093
275, 1558766132, 1558766133209
275, 1558766132, 1558766133325
273, 1558766132, 1558766133442
273, 1558766133, 1558766133559
273, 1558766133, 1558766133669
273, 1558766133, 1558766133786
273, 1558766133, 1558766133906
273, 1558766133, 1558766134024
273, 1558766133, 1558766134152
273, 1558766133, 1558766134265
273, 1558766133, 1558766134383
273, 1558766133, 1558766134499
273, 1558766134, 1558766134616
273, 1558766134, 1558766134734
273, 1558766134, 1558766134852
273, 1558766134, 1558766134969
273, 1558766134, 1558766135087
273, 1558766134, 1558766135201
273, 1558766134, 1558766135317
273, 1558766134, 1558766135435
263, 1558766134, 1558766135550
263, 1558766135, 1558766135667
263, 1558766135, 1558766135784
263, 1558766135, 1558766135902
263, 1558766135, 1558766136022
263, 1558766135, 1558766136143
263, 1558766135, 1558766136264
263, 1558766135, 1558766136384
276, 1558766135, 1558766136507
276, 1558766136, 1558766136627
276, 1558766136, 1558766136745
276, 1558766136, 1558766136864
276, 1558766136, 1558766136979
276, 1558766136, 1558766137092
276, 1558766136, 1558766137210
276, 1558766136, 1558766137326
270, 1558766136, 1558766137442
270, 1558766137, 1558766137560
270, 1558766137, 1558766137677
270, 1558766137, 1558766137809
270, 1558766137, 1558766137907
270, 1558766137, 1558766138008
270, 1558766137, 1558766138108
270, 1558766137, 1558766138206
270, 1558766137, 1558766138308
270, 1558766137, 1558766138411
275, 1558766137, 1558766138518
275, 1558766138, 1558766138626
275, 1558766138, 1558766138732
275, 1558766138, 1558766138839
275, 1558766138, 1558766138948
275, 1558766138, 1558766139056
275, 1558766138, 1558766139162
275, 1558766138, 1558766139268
275, 1558766138, 1558766139374
263, 1558766138, 1558766139480
263, 1558766139, 1558766139585
263, 1558766139, 1558766139690
263, 1558766139, 1558766139794
263, 1558766139, 1558766139896
263, 1558766139, 1558766140002
263, 1558766139, 1558766140104
263, 1558766139, 1558766140208
263, 1558766139, 1558766140315
263, 1558766139, 1558766140418
275, 1558766139, 1558766140523
275, 1558766140, 1558766140628
275, 1558766140, 1558766140736
275, 1558766140, 1558766140848
275, 1558766140, 1558766140958
275, 1558766140, 1558766141066
275, 1558766140, 1558766141174
275, 1558766140, 1558766141281
275, 1558766140, 1558766141387
263, 1558766140, 1558766141498
263, 1558766141, 1558766141576
263, 1558766141, 1558766141653
263, 1558766141, 1558766141731
263, 1558766141, 1558766141807
263, 1558766141, 1558766141885
263, 1558766141, 1558766141961
263, 1558766141, 1558766142037
263, 1558766141, 1558766142116
263, 1558766141, 1558766142193
263, 1558766141, 1558766142270
263, 1558766141, 1558766142346
263, 1558766141, 1558766142422
272, 1558766141, 1558766142498
272, 1558766142, 1558766142575
272, 1558766142, 1558766142652
272, 1558766142, 1558766142732
