Power(W), TimePDU(S), TimeNODE(mS)
247, 1558792319, 1558792319843
247, 1558792319, 1558792319920
247, 1558792319, 1558792319997
259, 1558792319, 1558792320218
259, 1558792319, 1558792320341
259, 1558792319, 1558792320418
259, 1558792319, 1558792320493
259, 1558792319, 1558792320567
259, 1558792319, 1558792320641
259, 1558792319, 1558792320717
259, 1558792319, 1558792320795
259, 1558792319, 1558792320873
259, 1558792319, 1558792320949
259, 1558792319, 1558792321026
259, 1558792319, 1558792321104
273, 1558792319, 1558792321184
273, 1558792321, 1558792321264
273, 1558792321, 1558792321342
273, 1558792321, 1558792321420
273, 1558792321, 1558792321497
273, 1558792321, 1558792321576
273, 1558792321, 1558792321655
273, 1558792321, 1558792321734
273, 1558792321, 1558792321813
273, 1558792321, 1558792321893
273, 1558792321, 1558792321971
273, 1558792321, 1558792322048
273, 1558792321, 1558792322127
276, 1558792321, 1558792322205
276, 1558792322, 1558792322285
276, 1558792322, 1558792322364
276, 1558792322, 1558792322443
276, 1558792322, 1558792322521
276, 1558792322, 1558792322596
276, 1558792322, 1558792322675
276, 1558792322, 1558792322753
276, 1558792322, 1558792322830
276, 1558792322, 1558792322907
276, 1558792322, 1558792322986
276, 1558792322, 1558792323064
276, 1558792322, 1558792323144
274, 1558792323, 1558792323231
274, 1558792323, 1558792323309
274, 1558792323, 1558792323386
274, 1558792323, 1558792323464
274, 1558792323, 1558792323542
274, 1558792323, 1558792323621
274, 1558792323, 1558792323698
274, 1558792323, 1558792323776
274, 1558792323, 1558792323854
274, 1558792323, 1558792323934
274, 1558792323, 1558792324013
274, 1558792323, 1558792324093
272, 1558792323, 1558792324177
272, 1558792323, 1558792324255
272, 1558792323, 1558792324333
272, 1558792323, 1558792324413
272, 1558792323, 1558792324493
272, 1558792323, 1558792324572
272, 1558792323, 1558792324650
272, 1558792323, 1558792324729
272, 1558792323, 1558792324807
272, 1558792323, 1558792324912
272, 1558792323, 1558792325016
272, 1558792323, 1558792325123
272, 1558792323, 1558792325229
272, 1558792325, 1558792325335
272, 1558792325, 1558792325441
272, 1558792325, 1558792325550
272, 1558792325, 1558792325657
272, 1558792325, 1558792325765
272, 1558792325, 1558792325873
272, 1558792325, 1558792325981
272, 1558792325, 1558792326093
272, 1558792325, 1558792326206
272, 1558792326, 1558792326320
272, 1558792326, 1558792326433
272, 1558792326, 1558792326543
272, 1558792326, 1558792326655
272, 1558792326, 1558792326766
272, 1558792326, 1558792326878
272, 1558792326, 1558792326989
272, 1558792326, 1558792327101
274, 1558792326, 1558792327209
274, 1558792327, 1558792327314
274, 1558792327, 1558792327421
274, 1558792327, 1558792327528
274, 1558792327, 1558792327634
274, 1558792327, 1558792327738
274, 1558792327, 1558792327840
274, 1558792327, 1558792327942
274, 1558792327, 1558792328045
274, 1558792327, 1558792328151
271, 1558792327, 1558792328258
271, 1558792328, 1558792328364
271, 1558792328, 1558792328472
271, 1558792328, 1558792328577
271, 1558792328, 1558792328681
271, 1558792328, 1558792328782
271, 1558792328, 1558792328886
271, 1558792328, 1558792328991
271, 1558792328, 1558792329095
270, 1558792328, 1558792329197
270, 1558792329, 1558792329301
270, 1558792329, 1558792329403
270, 1558792329, 1558792329506
270, 1558792329, 1558792329608
270, 1558792329, 1558792329709
270, 1558792329, 1558792329811
270, 1558792329, 1558792329909
270, 1558792329, 1558792330006
270, 1558792329, 1558792330104
270, 1558792329, 1558792330200
270, 1558792329, 1558792330295
271, 1558792330, 1558792330393
271, 1558792330, 1558792330489
271, 1558792330, 1558792330583
271, 1558792330, 1558792330676
271, 1558792330, 1558792330771
271, 1558792330, 1558792330866
271, 1558792330, 1558792330962
271, 1558792330, 1558792331057
271, 1558792330, 1558792331151
271, 1558792330, 1558792331248
273, 1558792330, 1558792331343
273, 1558792331, 1558792331443
273, 1558792331, 1558792331539
273, 1558792331, 1558792331636
273, 1558792331, 1558792331731
273, 1558792331, 1558792331826
273, 1558792331, 1558792331921
273, 1558792331, 1558792332016
273, 1558792331, 1558792332111
273, 1558792331, 1558792332206
273, 1558792332, 1558792332308
273, 1558792332, 1558792332402
273, 1558792332, 1558792332496
273, 1558792332, 1558792332589
