Power(W), TimePDU(S), TimeNODE(mS)
263, 1557975572, 1557975573055
288, 1557975574, 1557975574222
288, 1557975574, 1557975574343
288, 1557975574, 1557975574417
288, 1557975574, 1557975574490
288, 1557975574, 1557975574566
288, 1557975574, 1557975574641
288, 1557975574, 1557975574715
288, 1557975574, 1557975574790
288, 1557975574, 1557975574864
288, 1557975574, 1557975574937
288, 1557975574, 1557975575012
288, 1557975575, 1557975575086
288, 1557975575, 1557975575160
288, 1557975575, 1557975575234
288, 1557975575, 1557975575309
288, 1557975575, 1557975575386
288, 1557975575, 1557975575461
288, 1557975575, 1557975575539
288, 1557975575, 1557975575615
288, 1557975575, 1557975575691
288, 1557975575, 1557975575768
288, 1557975575, 1557975575845
288, 1557975575, 1557975575922
288, 1557975575, 1557975575998
288, 1557975575, 1557975576074
288, 1557975576, 1557975576155
288, 1557975576, 1557975576232
288, 1557975576, 1557975576308
288, 1557975576, 1557975576383
288, 1557975576, 1557975576461
288, 1557975576, 1557975576537
288, 1557975576, 1557975576612
288, 1557975576, 1557975576686
288, 1557975576, 1557975576762
288, 1557975576, 1557975576836
288, 1557975576, 1557975576910
288, 1557975576, 1557975576987
288, 1557975576, 1557975577065
288, 1557975577, 1557975577144
288, 1557975577, 1557975577223
288, 1557975577, 1557975577300
288, 1557975577, 1557975577377
288, 1557975577, 1557975577451
288, 1557975577, 1557975577527
288, 1557975577, 1557975577603
288, 1557975577, 1557975577681
288, 1557975577, 1557975577754
288, 1557975577, 1557975577829
288, 1557975577, 1557975577903
288, 1557975577, 1557975577978
288, 1557975577, 1557975578053
287, 1557975578, 1557975578131
287, 1557975578, 1557975578207
287, 1557975578, 1557975578282
287, 1557975578, 1557975578358
287, 1557975578, 1557975578433
287, 1557975578, 1557975578511
287, 1557975578, 1557975578589
287, 1557975578, 1557975578665
287, 1557975578, 1557975578742
287, 1557975578, 1557975578815
287, 1557975578, 1557975578893
287, 1557975578, 1557975578967
288, 1557975578, 1557975579045
288, 1557975579, 1557975579123
288, 1557975579, 1557975579200
288, 1557975579, 1557975579320
288, 1557975579, 1557975579394
288, 1557975579, 1557975579467
288, 1557975579, 1557975579541
288, 1557975579, 1557975579617
288, 1557975579, 1557975579694
288, 1557975579, 1557975579770
288, 1557975579, 1557975579847
288, 1557975579, 1557975579923
288, 1557975579, 1557975580001
288, 1557975579, 1557975580076
288, 1557975580, 1557975580153
288, 1557975580, 1557975580232
288, 1557975580, 1557975580309
288, 1557975580, 1557975580387
288, 1557975580, 1557975580466
288, 1557975580, 1557975580543
288, 1557975580, 1557975580620
288, 1557975580, 1557975580697
288, 1557975580, 1557975580775
288, 1557975580, 1557975580853
288, 1557975580, 1557975580931
288, 1557975580, 1557975581006
288, 1557975581, 1557975581080
288, 1557975581, 1557975581155
288, 1557975581, 1557975581231
288, 1557975581, 1557975581306
288, 1557975581, 1557975581380
288, 1557975581, 1557975581453
288, 1557975581, 1557975581531
288, 1557975581, 1557975581609
288, 1557975581, 1557975581685
288, 1557975581, 1557975581761
288, 1557975581, 1557975581838
