Power(W), TimePDU(S), TimeNODE(mS)
259, 1558156685, 1558156685155
259, 1558156685, 1558156685263
259, 1558156685, 1558156685367
259, 1558156685, 1558156685471
259, 1558156685, 1558156685573
259, 1558156685, 1558156685676
259, 1558156685, 1558156685775
276, 1558156685, 1558156685877
276, 1558156686, 1558156685986
276, 1558156686, 1558156686094
276, 1558156686, 1558156686204
276, 1558156686, 1558156686315
276, 1558156686, 1558156686429
276, 1558156686, 1558156686543
276, 1558156686, 1558156686657
287, 1558156686, 1558156686774
287, 1558156687, 1558156686896
287, 1558156687, 1558156687013
287, 1558156687, 1558156687133
287, 1558156687, 1558156687253
287, 1558156687, 1558156687373
287, 1558156687, 1558156687494
287, 1558156687, 1558156687615
287, 1558156687, 1558156687736
287, 1558156687, 1558156687858
287, 1558156688, 1558156687980
287, 1558156688, 1558156688099
287, 1558156688, 1558156688215
287, 1558156688, 1558156688332
287, 1558156688, 1558156688447
287, 1558156688, 1558156688564
287, 1558156688, 1558156688678
287, 1558156688, 1558156688798
287, 1558156688, 1558156688919
287, 1558156689, 1558156689179
287, 1558156689, 1558156689300
287, 1558156689, 1558156689418
287, 1558156689, 1558156689534
287, 1558156689, 1558156689648
287, 1558156689, 1558156689767
286, 1558156689, 1558156689883
286, 1558156690, 1558156690000
286, 1558156690, 1558156690118
286, 1558156690, 1558156690235
286, 1558156690, 1558156690357
286, 1558156690, 1558156690477
286, 1558156690, 1558156690599
286, 1558156690, 1558156690715
286, 1558156690, 1558156690832
274, 1558156690, 1558156690953
274, 1558156691, 1558156691075
274, 1558156691, 1558156691197
274, 1558156691, 1558156691317
274, 1558156691, 1558156691435
274, 1558156691, 1558156691551
274, 1558156691, 1558156691669
274, 1558156691, 1558156691787
287, 1558156691, 1558156691907
287, 1558156692, 1558156692025
287, 1558156692, 1558156692139
287, 1558156692, 1558156692257
287, 1558156692, 1558156692373
287, 1558156692, 1558156692493
287, 1558156692, 1558156692614
287, 1558156692, 1558156692732
287, 1558156692, 1558156692850
286, 1558156692, 1558156692961
286, 1558156693, 1558156693076
286, 1558156693, 1558156693191
286, 1558156693, 1558156693308
286, 1558156693, 1558156693425
286, 1558156693, 1558156693542
286, 1558156693, 1558156693655
286, 1558156693, 1558156693765
287, 1558156693, 1558156693879
287, 1558156694, 1558156694030
287, 1558156694, 1558156694127
287, 1558156694, 1558156694224
287, 1558156694, 1558156694325
287, 1558156694, 1558156694421
287, 1558156694, 1558156694519
287, 1558156694, 1558156694613
287, 1558156694, 1558156694707
287, 1558156694, 1558156694803
287, 1558156694, 1558156694896
286, 1558156695, 1558156695000
286, 1558156695, 1558156695096
286, 1558156695, 1558156695195
286, 1558156695, 1558156695292
286, 1558156695, 1558156695388
