Power(W), TimePDU(S), TimeNODE(mS)
175, 1558767415, 1558767416367
175, 1558767415, 1558767416446
175, 1558767415, 1558767416524
175, 1558767415, 1558767416602
175, 1558767415, 1558767416680
175, 1558767415, 1558767416756
175, 1558767415, 1558767416834
185, 1558767415, 1558767416913
185, 1558767416, 1558767416991
185, 1558767416, 1558767417067
185, 1558767416, 1558767417142
185, 1558767416, 1558767417220
185, 1558767416, 1558767417297
185, 1558767416, 1558767417374
185, 1558767416, 1558767417451
185, 1558767416, 1558767417529
185, 1558767416, 1558767417605
185, 1558767416, 1558767417682
185, 1558767416, 1558767417759
185, 1558767416, 1558767417836
185, 1558767416, 1558767417914
191, 1558767417, 1558767417993
191, 1558767417, 1558767418069
191, 1558767417, 1558767418147
191, 1558767417, 1558767418223
191, 1558767417, 1558767418300
191, 1558767417, 1558767418378
191, 1558767417, 1558767418457
191, 1558767417, 1558767418534
191, 1558767417, 1558767418613
191, 1558767417, 1558767418691
191, 1558767417, 1558767418767
191, 1558767417, 1558767418843
191, 1558767417, 1558767418921
191, 1558767418, 1558767418998
191, 1558767418, 1558767419077
191, 1558767418, 1558767419180
191, 1558767418, 1558767419284
191, 1558767418, 1558767419387
191, 1558767418, 1558767419493
191, 1558767418, 1558767419599
191, 1558767418, 1558767419705
191, 1558767418, 1558767419810
190, 1558767418, 1558767419920
190, 1558767419, 1558767420031
190, 1558767419, 1558767420139
190, 1558767419, 1558767420248
190, 1558767419, 1558767420356
190, 1558767419, 1558767420462
190, 1558767419, 1558767420569
190, 1558767419, 1558767420675
190, 1558767419, 1558767420785
190, 1558767419, 1558767420896
191, 1558767419, 1558767421003
191, 1558767420, 1558767421112
191, 1558767420, 1558767421219
191, 1558767420, 1558767421328
191, 1558767420, 1558767421436
191, 1558767420, 1558767421545
191, 1558767420, 1558767421651
191, 1558767420, 1558767421759
191, 1558767420, 1558767421868
191, 1558767420, 1558767421976
191, 1558767421, 1558767422087
191, 1558767421, 1558767422193
191, 1558767421, 1558767422300
191, 1558767421, 1558767422408
191, 1558767421, 1558767422518
191, 1558767421, 1558767422625
191, 1558767421, 1558767422735
191, 1558767421, 1558767422844
191, 1558767421, 1558767422953
191, 1558767421, 1558767423055
191, 1558767421, 1558767423161
191, 1558767421, 1558767423269
190, 1558767423, 1558767423381
190, 1558767423, 1558767423487
190, 1558767423, 1558767423601
190, 1558767423, 1558767423714
190, 1558767423, 1558767423827
