Power(W), TimePDU(S), TimeNODE(mS)
166, 1558653408, 1558653408847
166, 1558653408, 1558653408942
166, 1558653408, 1558653409036
172, 1558653409, 1558653409133
172, 1558653409, 1558653409229
172, 1558653409, 1558653409326
172, 1558653409, 1558653409423
172, 1558653409, 1558653409519
172, 1558653409, 1558653409616
172, 1558653409, 1558653409710
172, 1558653409, 1558653409802
172, 1558653409, 1558653409896
172, 1558653409, 1558653409992
183, 1558653409, 1558653410092
183, 1558653410, 1558653410187
183, 1558653410, 1558653410282
183, 1558653410, 1558653410380
183, 1558653410, 1558653410473
183, 1558653410, 1558653410569
183, 1558653410, 1558653410663
183, 1558653410, 1558653410758
183, 1558653410, 1558653410854
183, 1558653410, 1558653410949
183, 1558653410, 1558653411044
186, 1558653411, 1558653411142
186, 1558653411, 1558653411240
186, 1558653411, 1558653411333
186, 1558653411, 1558653411429
186, 1558653411, 1558653411524
186, 1558653411, 1558653411618
186, 1558653411, 1558653411714
186, 1558653411, 1558653411811
186, 1558653411, 1558653411908
186, 1558653411, 1558653412003
185, 1558653412, 1558653412108
185, 1558653412, 1558653412205
185, 1558653412, 1558653412298
185, 1558653412, 1558653412393
185, 1558653412, 1558653412487
185, 1558653412, 1558653412579
185, 1558653412, 1558653412678
185, 1558653412, 1558653412772
185, 1558653412, 1558653412867
185, 1558653412, 1558653412962
185, 1558653412, 1558653413055
184, 1558653413, 1558653413151
184, 1558653413, 1558653413244
184, 1558653413, 1558653413341
184, 1558653413, 1558653413433
184, 1558653413, 1558653413531
184, 1558653413, 1558653413625
184, 1558653413, 1558653413720
184, 1558653413, 1558653413815
184, 1558653413, 1558653413907
184, 1558653413, 1558653414001
186, 1558653414, 1558653414102
186, 1558653414, 1558653414197
186, 1558653414, 1558653414293
186, 1558653414, 1558653414388
186, 1558653414, 1558653414483
186, 1558653414, 1558653414578
186, 1558653414, 1558653414672
186, 1558653414, 1558653414765
186, 1558653414, 1558653414859
186, 1558653414, 1558653414955
186, 1558653414, 1558653415048
186, 1558653414, 1558653415143
182, 1558653415, 1558653415242
182, 1558653415, 1558653415336
182, 1558653415, 1558653415431
182, 1558653415, 1558653415527
182, 1558653415, 1558653415624
182, 1558653415, 1558653415719
182, 1558653415, 1558653415813
182, 1558653415, 1558653415909
182, 1558653415, 1558653416004
185, 1558653416, 1558653416106
185, 1558653416, 1558653416202
185, 1558653416, 1558653416297
185, 1558653416, 1558653416392
185, 1558653416, 1558653416488
185, 1558653416, 1558653416582
185, 1558653416, 1558653416677
185, 1558653416, 1558653416774
185, 1558653416, 1558653416870
185, 1558653416, 1558653416964
185, 1558653416, 1558653417060
185, 1558653417, 1558653417153
185, 1558653417, 1558653417248
185, 1558653417, 1558653417342
185, 1558653417, 1558653417437
185, 1558653417, 1558653417532
185, 1558653417, 1558653417625
185, 1558653417, 1558653417718
185, 1558653417, 1558653417796
185, 1558653417, 1558653417875
185, 1558653417, 1558653417953
185, 1558653417, 1558653418030
185, 1558653418, 1558653418111
185, 1558653418, 1558653418189
185, 1558653418, 1558653418267
185, 1558653418, 1558653418346
185, 1558653418, 1558653418423
185, 1558653418, 1558653418502
185, 1558653418, 1558653418582
185, 1558653418, 1558653418659
185, 1558653418, 1558653418739
185, 1558653418, 1558653418817
185, 1558653418, 1558653418896
185, 1558653418, 1558653418975
185, 1558653419, 1558653419055
185, 1558653419, 1558653419133
185, 1558653419, 1558653419211
185, 1558653419, 1558653419289
185, 1558653419, 1558653419366
185, 1558653419, 1558653419442
185, 1558653419, 1558653419521
185, 1558653419, 1558653419601
185, 1558653419, 1558653419680
185, 1558653419, 1558653419757
185, 1558653419, 1558653419835
185, 1558653419, 1558653419916
