Power(W), TimePDU(S), TimeNODE(mS)
158, 1558560473, 1558560474512
158, 1558560473, 1558560474605
158, 1558560473, 1558560474701
158, 1558560473, 1558560474796
158, 1558560473, 1558560474893
158, 1558560473, 1558560474991
169, 1558560473, 1558560475087
169, 1558560474, 1558560475187
169, 1558560474, 1558560475284
169, 1558560474, 1558560475383
169, 1558560474, 1558560475480
169, 1558560474, 1558560475577
169, 1558560474, 1558560475672
169, 1558560474, 1558560475768
169, 1558560474, 1558560475865
169, 1558560474, 1558560475962
169, 1558560474, 1558560476059
182, 1558560474, 1558560476157
182, 1558560475, 1558560476258
182, 1558560475, 1558560476355
182, 1558560475, 1558560476451
182, 1558560475, 1558560476547
182, 1558560475, 1558560476641
182, 1558560475, 1558560476737
182, 1558560475, 1558560476834
182, 1558560475, 1558560476929
182, 1558560475, 1558560477025
182, 1558560476, 1558560477127
182, 1558560476, 1558560477223
182, 1558560476, 1558560477317
182, 1558560476, 1558560477412
182, 1558560476, 1558560477507
182, 1558560476, 1558560477603
182, 1558560476, 1558560477698
182, 1558560476, 1558560477794
182, 1558560476, 1558560477888
182, 1558560476, 1558560477984
182, 1558560476, 1558560478080
182, 1558560476, 1558560478183
182, 1558560476, 1558560478277
182, 1558560476, 1558560478369
182, 1558560477, 1558560478467
182, 1558560477, 1558560478565
182, 1558560477, 1558560478657
182, 1558560477, 1558560478750
182, 1558560477, 1558560478848
182, 1558560477, 1558560478943
182, 1558560477, 1558560479041
182, 1558560477, 1558560479138
183, 1558560477, 1558560479234
183, 1558560478, 1558560479330
183, 1558560478, 1558560479425
183, 1558560478, 1558560479520
183, 1558560478, 1558560479616
183, 1558560478, 1558560479713
183, 1558560478, 1558560479808
183, 1558560478, 1558560479903
183, 1558560478, 1558560479997
184, 1558560479, 1558560480161
184, 1558560479, 1558560480287
184, 1558560479, 1558560480380
184, 1558560479, 1558560480490
184, 1558560479, 1558560480592
184, 1558560479, 1558560480697
184, 1558560479, 1558560480805
184, 1558560479, 1558560480911
184, 1558560479, 1558560481020
184, 1558560479, 1558560481128
184, 1558560479, 1558560481234
184, 1558560479, 1558560481340
186, 1558560480, 1558560481468
186, 1558560480, 1558560481577
186, 1558560480, 1558560481690
186, 1558560480, 1558560481802
186, 1558560480, 1558560481911
186, 1558560480, 1558560482022
184, 1558560480, 1558560482134
184, 1558560481, 1558560482247
184, 1558560481, 1558560482359
184, 1558560481, 1558560482470
184, 1558560481, 1558560482582
184, 1558560481, 1558560482696
184, 1558560481, 1558560482808
184, 1558560481, 1558560482919
184, 1558560481, 1558560483031
184, 1558560482, 1558560483147
184, 1558560482, 1558560483257
